Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	./instancesSurcharges/alpha0_2/pmed/pmed11_4.txt	300	5	15	Optimal	1496.7204949855804	AB	492.0528856387345	515.8014497740211	1007.8543354127555	0.0	1607.0787964380954
LP	./instancesSurcharges/alpha0_2/pmed/pmed11_5.txt	300	5	20	Optimal	2295.5272789001465	AB	607.6575001113277	607.1013226899174	1214.758822801245	0.0	2129.3832526384895
LP	./instancesSurcharges/alpha0_2/pmed/pmed12_4.txt	300	10	15	Optimal	1133.2777349948883	AB	483.9555208421777	511.5845978442959	995.5401186864735	0.0	1527.9882507113505
LP	./instancesSurcharges/alpha0_2/pmed/pmed16_3.txt	400	5	10	Optimal	1846.572289943695	AB	204.72801278737074	205.9050709770492	410.63308376441995	0.0	866.1825192600854
LP	./instancesSurcharges/alpha0_2/pmed/pmed16_4.txt	400	5	15	Optimal	3603.3088521957397	AB	384.1312200848195	392.81604476211953	776.9472648469391	0.0	1356.5538333694378
LP	./instancesSurcharges/alpha0_2/pmed/pmed16_5.txt	400	5	20	Optimal	2731.0166709423065	AB	508.32491832458624	504.0680061269504	1012.3929244515366	0.0	1763.2330834038396
LP	./instancesSurcharges/alpha0_2/pmed/pmed17_4.txt	400	10	15	Optimal	2524.0944430828094	AB	355.5775232013333	358.6087920804794	714.1863152818128	0.0	1111.7927661829629
LP	./instancesSurcharges/alpha0_2/pmed/pmed21_3.txt	500	5	10	Optimal	3463.120362997055	AB	194.05459365746663	194.4436677811375	388.4982614386041	0.0	722.2797622302112
LP	./instancesSurcharges/alpha0_2/pmed/pmed22_3.txt	500	10	10	Optimal	1211.0043189525604	AB	253.53459801273095	259.9524222888749	513.4870203016059	0.0	766.2292568481535
LP	./instancesSurcharges/alpha0_2/pmed/pmed23_5.txt	500	50	20	Optimal	2519.953118085861	AB	596.5958765833981	606.3867638149887	1202.9826403983868	0.0	1250.0
LP	./instancesSurcharges/alpha0_2/pmed/pmed24_5.txt	500	100	20	Optimal	402.5153720378876	AB	672.8103189973317	694.4538562992195	1367.2641752965512	0.0	1389.0
