Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	./instancesSurcharges/alpha0_2/pmed/pmed11_4.txt	300	5	15	Optimal	1651.053354024887	A	569.0826047208795	738.2555547826527	1307.338159503532	0.0	803.1763301465496
LP	./instancesSurcharges/alpha0_2/pmed/pmed11_5.txt	300	5	20	Optimal	1797.0092918872833	A	607.9400596975645	724.9172419516619	1332.8573016492264	0.0	1064.6916263192443
LP	./instancesSurcharges/alpha0_2/pmed/pmed13_5.txt	300	30	20	Optimal	1219.5373871326447	A	850.3936364439676	1327.8482307025688	2178.2418671465366	0.0	860.0
LP	./instancesSurcharges/alpha0_2/pmed/pmed16_3.txt	400	5	10	Optimal	2796.6051700115204	A	195.9795658001426	242.50214424941788	438.4817100495605	0.0	433.0912596300428
LP	./instancesSurcharges/alpha0_2/pmed/pmed16_4.txt	400	5	15	Optimal	1926.9390180110931	A	524.4615296068763	634.4567221580833	1158.9182517649597	0.0	676.7593649389288
LP	./instancesSurcharges/alpha0_2/pmed/pmed16_5.txt	400	5	20	Optimal	3014.91725897789	A	772.5706524292111	810.2515275268563	1582.8221799560674	0.0	876.985502214219
LP	./instancesSurcharges/alpha0_2/pmed/pmed17_4.txt	400	10	15	Optimal	2883.517790079117	A	469.6299672763735	657.3921745027874	1127.0221417791608	0.0	551.9222578911832
LP	./instancesSurcharges/alpha0_2/pmed/pmed21_3.txt	500	5	10	Optimal	2166.866754055023	A	192.42839384294678	230.19429486884295	422.6226887117897	0.0	361.1398811151056
LP	./instancesSurcharges/alpha0_2/pmed/pmed22_4.txt	500	10	15	Optimal	3495.3429839611053	A	598.1345232537379	989.4010570181194	1587.5355802718573	0.0	606.375825679523
LP	./instancesSurcharges/alpha0_2/pmed/pmed23_5.txt	500	50	20	Optimal	2664.258472919464	A	598.6303306271426	934.0574462422163	1532.687776869359	0.0	600.0
