Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed24_4.txt	500	100	15	Optimal	1619.2976651191711	A	423.0	1069.0	1492.0	1.0	423.0	0.0
MIP	./instancesSurcharges/alpha0_2/pmed/pmed25_5.txt	500	167	20	TimeLimit	3601.476331949234	A	875.0	2033.0	2908.0	1.0	804.0	0.08114285714285714
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed25_5.txt	500	167	20	TimeLimit	3601.7198209762573	A	875.0	2033.0	2908.0	1.0	804.0	0.08114285714285714
MIP	./instancesSurcharges/alpha0_2/pmed/pmed26_1.txt	600	5	3	TimeLimit	3600.234164953232	A	118.0	235.0	353.0	1.0	110.0	0.06779661016949153
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed26_1.txt	600	5	3	TimeLimit	3600.2296230793	A	118.0	235.0	353.0	1.0	110.0	0.06779661016949153
MIP	./instancesSurcharges/alpha0_2/pmed/pmed26_2.txt	600	5	5	TimeLimit	3600.4286341667175	A	250.0	343.0	593.0	1.0	135.0	0.46
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed26_2.txt	600	5	5	TimeLimit	3600.4313950538635	A	250.0	343.0	593.0	1.0	135.0	0.46
MIP	./instancesSurcharges/alpha0_2/pmed/pmed26_3.txt	600	5	10	TimeLimit	3600.8162298202515	A	541.0	609.0	1150.0	1.0	359.0	0.3364140480591497
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed26_3.txt	600	5	10	TimeLimit	3600.8051068782806	A	541.0	609.0	1150.0	1.0	359.0	0.3364140480591497
MIP	./instancesSurcharges/alpha0_2/pmed/pmed27_2.txt	600	10	5	TimeLimit	3600.414199113846	A	204.0	341.0	545.0	1.0	151.0	0.25980392156862747
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed27_2.txt	600	10	5	TimeLimit	3600.4056408405304	A	204.0	341.0	545.0	1.0	151.0	0.25980392156862747
MIP	./instancesSurcharges/alpha0_2/pmed/pmed27_3.txt	600	10	10	TimeLimit	3601.731069803238	A	393.0	628.0	1021.0	1.0	334.0	0.15012722646310434
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed27_3.txt	600	10	10	TimeLimit	3600.702196121216	A	393.0	628.0	1021.0	1.0	334.0	0.15012722646310434
MIP	./instancesSurcharges/alpha0_2/pmed/pmed27_4.txt	600	10	15	TimeLimit	3601.268882036209	A	700.0	1062.0	1762.0	1.0	504.0	0.28
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed27_4.txt	600	10	15	TimeLimit	3601.37867808342	A	700.0	1062.0	1762.0	1.0	504.0	0.28
MIP	./instancesSurcharges/alpha0_2/pmed/pmed27_5.txt	600	10	20	TimeLimit	3601.7788410186768	A	1018.0	1462.0	2480.0	1.0	657.0	0.35461689587426326
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed27_5.txt	600	10	20	TimeLimit	3601.630786895752	A	1018.0	1462.0	2480.0	1.0	657.0	0.35461689587426326
MIP	./instancesSurcharges/alpha0_2/pmed/pmed28_3.txt	600	60	10	TimeLimit	3600.688639163971	A	528.0	851.0	1379.0	1.0	402.0	0.23863636363636365
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed28_4.txt	600	60	15	TimeLimit	3601.063094854355	A	809.0	1389.0	2198.0	1.0	589.0	0.2719406674907293
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed29_3.txt	600	120	10	Optimal	1528.9359300136566	A	306.0	674.0	980.0	1.0	306.0	0.0
MIP	./instancesSurcharges/alpha0_2/pmed/pmed28_4.txt	600	60	15	TimeLimit	3601.105782032013	A	809.0	1389.0	2198.0	1.0	589.0	0.2719406674907293
MIP	./instancesSurcharges/alpha0_2/pmed/pmed29_3.txt	600	120	10	Optimal	1582.9958209991455	A	306.0	674.0	980.0	1.0	306.0	0.0
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed29_5.txt	600	120	20	TimeLimit	3601.3837180137634	A	736.0	1655.0	2391.0	1.0	584.0	0.20652173913043478
MIP	./instancesSurcharges/alpha0_2/pmed/pmed29_5.txt	600	120	20	TimeLimit	3601.2413749694824	A	736.0	1655.0	2391.0	1.0	584.0	0.20652173913043478
MIP	./instancesSurcharges/alpha0_2/Beasley/p20_4.txt	100	10	15	TimeLimit	3600.017368078232	A	350.0	1640.0	1990.0	1171.0	331.0	0.054285714285714284
MIP	./instancesSurcharges/alpha0_2/Beasley/p20_5.txt	100	10	20	TimeLimit	3600.019679069519	A	495.0	2069.0	2564.0	785.0	429.0	0.13333333333333333
