Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	./instancesSurcharges/alpha0_2/pmed/pmed11_4.txt	300	5	15	Optimal	1593.2480459213257	B	507.7663296823203	525.3059495972163	1033.0722792795366	0.0	803.5393982190483
LP	./instancesSurcharges/alpha0_2/pmed/pmed11_5.txt	300	5	20	Optimal	1359.763948917389	B	608.6498508084413	606.8535163747827	1215.5033671832239	0.0	1064.6916263192445
LP	./instancesSurcharges/alpha0_2/pmed/pmed16_3.txt	400	5	10	Optimal	3576.4468910694122	B	195.4499885063883	202.8827085991105	398.3326971054988	0.0	433.0912596300428
LP	./instancesSurcharges/alpha0_2/pmed/pmed16_4.txt	400	5	15	Optimal	2442.4039330482483	B	389.0739183953084	387.66779612641506	776.7417145217235	0.0	678.2769166847188
LP	./instancesSurcharges/alpha0_2/pmed/pmed17_4.txt	400	10	15	Optimal	1756.776617050171	B	347.40818066072217	358.11490004563973	705.523080706362	0.0	555.8963830914815
LP	./instancesSurcharges/alpha0_2/pmed/pmed21_3.txt	500	5	10	Optimal	2640.080462217331	B	197.423668538651	194.0133073001669	391.4369758388179	0.0	361.13988111510577
LP	./instancesSurcharges/alpha0_2/pmed/pmed22_3.txt	500	10	10	Optimal	3320.419818162918	B	264.58763624381385	259.9857522369086	524.5733884807224	0.0	383.1146284240766
LP	./instancesSurcharges/alpha0_2/pmed/pmed23_5.txt	500	50	20	Optimal	2292.86988902092	B	597.9387277509416	607.7052319298825	1205.643959680824	0.0	625.0
LP	./instancesSurcharges/alpha0_2/pmed/pmed24_5.txt	500	100	20	Optimal	2258.61048579216	B	646.8623662056315	675.5029209816901	1322.3652871873214	0.0	694.5
LP	./instancesSurcharges/alpha0_2/pmed/pmed26_3.txt	600	5	10	Optimal	2862.4862389564514	B	198.3956864278155	205.53212318230942	403.9278096101249	0.0	353.8815707677111
