Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed12_5.txt	300	10	20	TimeLimit	3600.322035074234	B	1521.0	1632.0	3153.0	1.0	1267.0	0.22365196078431374
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed21_3.txt	500	5	10	TimeLimit	3600.776542186737	B	570.0	599.0	1169.0	1.0	412.0	0.3121869782971619
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed21_5.txt	500	5	20	TimeLimit	3601.2495818138123	B	1164.0	1196.0	2360.0	1.0	856.0	0.2842809364548495
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed22_4.txt	500	10	15	TimeLimit	3600.908101081848	B	815.0	919.0	1734.0	1.0	664.0	0.27747551686615884
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed22_5.txt	500	10	20	TimeLimit	3601.679836988449	B	1051.0	1093.0	2144.0	1.0	938.0	0.14181152790484905
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed23_2.txt	500	50	5	Optimal	1700.510281085968	B	174.0	174.0	348.0	1.0	174.0	0.0
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed23_3.txt	500	50	10	TimeLimit	3600.584249973297	B	406.0	446.0	852.0	1.0	330.0	0.2600896860986547
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed23_4.txt	500	50	15	TimeLimit	3600.6863310337067	B	591.0	758.0	1349.0	1.0	469.0	0.3812664907651715
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed23_5.txt	500	50	20	TimeLimit	3600.9477961063385	B	746.0	861.0	1607.0	1.0	600.0	0.30313588850174217
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed25_2.txt	500	167	5	Optimal	1533.728175163269	B	236.0	244.0	480.0	1.0	244.0	0.0
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed25_3.txt	500	167	10	Optimal	2555.588186979294	B	354.0	425.0	779.0	1.0	425.0	0.0
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed26_1.txt	600	5	3	TimeLimit	3600.280897140503	B	142.0	151.0	293.0	1.0	120.0	0.2052980132450331
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed26_2.txt	600	5	5	TimeLimit	3600.392954826355	B	255.0	282.0	537.0	1.0	135.0	0.5212765957446809
MIP	./instancesSurcharges/alpha_aleatoire/pmed/pmed27_1.txt	600	10	3	TimeLimit	3600.2235491275787	B	109.0	115.0	224.0	1.0	109.0	0.05217391304347826
