Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.0471041202545166	A	86.0	109.0	195.0	1.0	86.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.2146282196044922	A	133.0	184.0	317.0	1.0	133.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.059762001037597656	A	58.0	114.0	172.0	1.0	58.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	0.6111350059509277	A	104.0	196.0	300.0	5.0	104.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.032865047454833984	A	56.0	106.0	162.0	1.0	56.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.26058387756347656	A	114.0	231.0	345.0	1.0	114.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.5738658905029297	A	75.0	110.0	185.0	1.0	75.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.1889488697052002	A	185.0	261.0	446.0	1.0	185.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.3898642063140869	A	48.0	109.0	157.0	5.0	48.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	1.0027148723602295	A	147.0	269.0	416.0	45.0	147.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.06856012344360352	A	52.0	121.0	173.0	1.0	52.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.16107487678527832	A	187.0	274.0	461.0	1.0	187.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.13196706771850586	A	66.0	140.0	206.0	1.0	66.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	0.3332679271697998	A	145.0	314.0	459.0	1.0	145.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	1.230975866317749	A	99.0	148.0	247.0	40.0	99.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	1.7748339176177979	A	219.0	300.0	519.0	19.0	219.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	3.4237060546875	A	75.0	131.0	206.0	330.0	75.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	1.6222469806671143	A	148.0	286.0	434.0	41.0	148.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	1.2052929401397705	A	68.0	155.0	223.0	1.0	68.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	13.906888961791992	A	158.0	346.0	504.0	667.0	158.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	2.5997719764709473	A	105.0	156.0	261.0	53.0	105.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	5.504410028457642	A	251.0	383.0	634.0	54.0	251.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	13.508580207824707	A	77.0	153.0	230.0	1560.0	77.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	13.17143201828003	A	192.0	335.0	527.0	473.0	192.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea40_13_1.txt	40	13	4	Optimal	1.1981348991394043	A	83.0	197.0	280.0	5.0	83.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea40_13_2.txt	40	13	8	Optimal	15.43425989151001	A	178.0	360.0	538.0	589.0	178.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea40_4_1.txt	40	4	4	Optimal	6.767232179641724	A	117.0	199.0	316.0	178.0	117.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea40_4_2.txt	40	4	8	Optimal	16.9092960357666	A	264.0	418.0	682.0	312.0	264.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea40_8_1.txt	40	8	4	Optimal	2.998196840286255	A	97.0	203.0	300.0	1.0	97.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea40_8_2.txt	40	8	8	Optimal	9.304526090621948	A	216.0	370.0	586.0	208.0	216.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_15_1.txt	45	15	4	Optimal	0.4855458736419678	A	83.0	190.0	273.0	1.0	83.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_15_2.txt	45	15	9	Optimal	1.3698251247406006	A	174.0	392.0	566.0	1.0	174.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_4_1.txt	45	4	4	Optimal	21.045893907546997	A	117.0	181.0	298.0	491.0	117.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_4_2.txt	45	4	9	Optimal	10.908354997634888	A	254.0	464.0	718.0	34.0	254.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_9_1.txt	45	9	4	Optimal	0.6615948677062988	A	124.0	170.0	294.0	1.0	124.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea45_9_2.txt	45	9	9	Optimal	7.457646131515503	A	226.0	401.0	627.0	15.0	226.0	0.0
