Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap	 As_pmedian	 Bs_pmedian	 As+Bs_pmedian
../instancesSurcharges/alpha0_1/pmed/pmed10_1.txt	200	67	3	Optimal	8.78662896156311	A	149.0	402.0	551.0	1.0	149.0	0.0	65.34	162.24	227.58
../instancesSurcharges/alpha0_1/pmed/pmed10_2.txt	200	67	5	Optimal	19.18170404434204	A	321.0	731.0	1052.0	1.0	321.0	0.0	130.01	262.15	392.16
../instancesSurcharges/alpha0_1/pmed/pmed10_3.txt	200	67	10	Optimal	63.092341899871826	A	564.0	1356.0	1920.0	1.0	564.0	0.0	202.77	533.88	736.65
../instancesSurcharges/alpha0_1/pmed/pmed10_4.txt	200	67	15	Optimal	86.40115189552307	A	725.0	2167.0	2892.0	1.0	725.0	0.0	310.35	775.44	1085.79
../instancesSurcharges/alpha0_1/pmed/pmed10_5.txt	200	67	20	Optimal	107.15888404846191	A	909.0	2589.0	3498.0	1.0	909.0	0.0	363.13	1004.6	1367.73
../instancesSurcharges/alpha0_1/pmed/pmed11_1.txt	300	5	3	Optimal	1645.6293971538544	A	178.0	264.0	442.0	491.0	178.0	0.0	110.41	149.26	259.67
../instancesSurcharges/alpha0_1/pmed/pmed11_2.txt	300	5	5	Optimal	3203.444841146469	A	300.0	443.0	743.0	558.0	300.0	0.0	171.72	250.35	422.07
../instancesSurcharges/alpha0_1/pmed/pmed11_3.txt	300	5	10	TimeLimit	3600.217606782913	A	598.0	841.0	1439.0	1.0	567.0	0.051839464882943144	308.02	490.5	798.52
../instancesSurcharges/alpha0_1/pmed/pmed11_4.txt	300	5	15	TimeLimit	3600.2145569324493	A	986.0	1294.0	2280.0	1.0	834.0	0.15415821501014199	491.05	781.76	1272.81
../instancesSurcharges/alpha0_1/pmed/pmed11_5.txt	300	5	20	TimeLimit	3600.294135093689	A	1227.0	1703.0	2930.0	1.0	1103.0	0.10105949470252648	617.7	945.94	1563.64
../instancesSurcharges/alpha0_1/pmed/pmed12_1.txt	300	10	3	Optimal	131.9821388721466	A	193.0	333.0	526.0	1.0	193.0	0.0	116.5	175.23	291.73
../instancesSurcharges/alpha0_1/pmed/pmed12_2.txt	300	10	5	TimeLimit	3600.1008710861206	A	314.0	703.0	1017.0	1145.0	311.0	0.009554140127388535	181.87	412.19	594.06
../instancesSurcharges/alpha0_1/pmed/pmed12_3.txt	300	10	10	TimeLimit	3600.192335128784	A	655.0	1546.0	2201.0	1.0	538.0	0.17862595419847327	444.48	939.26	1383.74
../instancesSurcharges/alpha0_1/pmed/pmed12_4.txt	300	10	15	TimeLimit	3600.442076921463	A	980.0	1771.0	2751.0	1.0	806.0	0.17755102040816326	500.62	915.92	1416.54
../instancesSurcharges/alpha0_1/pmed/pmed12_5.txt	300	10	20	TimeLimit	3600.2790491580963	A	1473.0	2106.0	3579.0	1.0	1146.0	0.2219959266802444	634.82	1141.33	1776.15
../instancesSurcharges/alpha0_1/pmed/pmed13_1.txt	300	30	3	Optimal	76.00226497650146	A	153.0	350.0	503.0	1.0	153.0	0.0	78.37	140.32	218.69
../instancesSurcharges/alpha0_1/pmed/pmed13_2.txt	300	30	5	Optimal	96.2100179195404	A	253.0	497.0	750.0	1.0	253.0	0.0	135.3	242.74	378.04
../instancesSurcharges/alpha0_1/pmed/pmed13_3.txt	300	30	10	Optimal	932.5858161449432	A	461.0	1273.0	1734.0	113.0	461.0	0.0	337.89	833.85	1171.74
../instancesSurcharges/alpha0_1/pmed/pmed13_4.txt	300	30	15	TimeLimit	3600.2006599903107	A	825.0	1862.0	2687.0	9.0	702.0	0.14909090909090908	495.32	983.0	1478.32
../instancesSurcharges/alpha0_1/pmed/pmed13_5.txt	300	30	20	TimeLimit	3600.2516338825226	A	966.0	2510.0	3476.0	1.0	892.0	0.07660455486542443	607.95	1326.88	1934.83
../instancesSurcharges/alpha0_1/pmed/pmed14_1.txt	300	60	3	Optimal	30.95464301109314	A	178.0	349.0	527.0	1.0	178.0	0.0	75.42	137.44	212.86
../instancesSurcharges/alpha0_1/pmed/pmed14_2.txt	300	60	5	Optimal	55.71232080459595	A	287.0	650.0	937.0	1.0	287.0	0.0	132.44	238.47	370.91
../instancesSurcharges/alpha0_1/pmed/pmed14_3.txt	300	60	10	Optimal	141.5197470188141	A	581.0	1272.0	1853.0	1.0	581.0	0.0	256.03	503.38	759.41
../instancesSurcharges/alpha0_1/pmed/pmed14_4.txt	300	60	15	Optimal	225.23662400245667	A	742.0	1875.0	2617.0	1.0	742.0	0.0	331.78	740.94	1072.72
../instancesSurcharges/alpha0_1/pmed/pmed14_5.txt	300	60	20	Optimal	342.88823103904724	A	989.0	2729.0	3718.0	1.0	989.0	0.0	460.96	981.48	1442.44
../instancesSurcharges/alpha0_1/pmed/pmed15_1.txt	300	100	3	Optimal	29.000355005264282	A	131.0	323.0	454.0	1.0	131.0	0.0	63.41	131.97	195.38
../instancesSurcharges/alpha0_1/pmed/pmed15_2.txt	300	100	5	Optimal	55.61034417152405	A	235.0	489.0	724.0	1.0	235.0	0.0	121.25	222.95	344.2
../instancesSurcharges/alpha0_1/pmed/pmed15_3.txt	300	100	10	Optimal	97.71833109855652	A	498.0	1043.0	1541.0	1.0	498.0	0.0	223.78	434.95	658.73
../instancesSurcharges/alpha0_1/pmed/pmed15_4.txt	300	100	15	Optimal	167.73095297813416	A	597.0	1423.0	2020.0	1.0	597.0	0.0	267.56	615.9	883.46
../instancesSurcharges/alpha0_1/pmed/pmed15_5.txt	300	100	20	Optimal	320.4234068393707	A	988.0	2056.0	3044.0	1.0	988.0	0.0	438.18	917.97	1356.15
../instancesSurcharges/alpha0_1/pmed/pmed16_1.txt	400	5	3	Optimal	453.518217086792	A	144.0	223.0	367.0	1.0	144.0	0.0	75.75	110.76	186.51
../instancesSurcharges/alpha0_1/pmed/pmed16_2.txt	400	5	5	TimeLimit	3600.1524810791016	A	233.0	330.0	563.0	1.0	228.0	0.02145922746781116	129.55	186.15	315.7
../instancesSurcharges/alpha0_1/pmed/pmed16_3.txt	400	5	10	TimeLimit	3600.746038913727	A	487.0	1025.0	1512.0	1.0	451.0	0.07392197125256673	277.21	561.19	838.4
../instancesSurcharges/alpha0_1/pmed/pmed16_4.txt	400	5	15	TimeLimit	3600.5375669002533	A	745.0	983.0	1728.0	1.0	695.0	0.06711409395973154	376.47	581.65	958.12
../instancesSurcharges/alpha0_1/pmed/pmed16_5.txt	400	5	20	TimeLimit	3601.115084171295	A	982.0	1326.0	2308.0	1.0	906.0	0.07739307535641547	483.95	683.3	1167.25
../instancesSurcharges/alpha0_1/pmed/pmed17_1.txt	400	10	3	TimeLimit	3600.7087399959564	A	127.0	218.0	345.0	613.0	119.0	0.06299212598425197	75.57	125.6	201.17
../instancesSurcharges/alpha0_1/pmed/pmed17_2.txt	400	10	5	TimeLimit	3600.2029991149902	A	213.0	421.0	634.0	71.0	192.0	0.09859154929577464	136.79	229.17	365.96
../instancesSurcharges/alpha0_1/pmed/pmed17_3.txt	400	10	10	TimeLimit	3600.531858921051	A	461.0	814.0	1275.0	1.0	401.0	0.1301518438177874	212.15	361.62	573.77
../instancesSurcharges/alpha0_1/pmed/pmed17_4.txt	400	10	15	TimeLimit	3601.0062160491943	A	670.0	1047.0	1717.0	1.0	573.0	0.14477611940298507	342.64	587.66	930.3
../instancesSurcharges/alpha0_1/pmed/pmed17_5.txt	400	10	20	TimeLimit	3601.8045330047607	A	918.0	1482.0	2400.0	1.0	784.0	0.14596949891067537	429.78	757.05	1186.83
../instancesSurcharges/alpha0_1/pmed/pmed18_1.txt	400	40	3	Optimal	84.80708694458008	A	146.0	269.0	415.0	1.0	146.0	0.0	80.42	134.59	215.01
../instancesSurcharges/alpha0_1/pmed/pmed18_2.txt	400	40	5	Optimal	152.35163402557373	A	262.0	445.0	707.0	1.0	262.0	0.0	133.25	203.24	336.49
../instancesSurcharges/alpha0_1/pmed/pmed18_3.txt	400	40	10	Optimal	494.3998701572418	A	473.0	1101.0	1574.0	1.0	473.0	0.0	328.97	598.13	927.1
