Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_1.txt	50	5	3	Optimal	22.983892917633057	A	92.0	298.0	390.0	174.0	92.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_2.txt	50	5	5	Optimal	62.616671085357666	A	179.0	473.0	652.0	372.0	179.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_3.txt	50	5	10	Optimal	33.50928783416748	A	355.0	926.0	1281.0	81.0	355.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_4.txt	50	5	15	Optimal	140.31832909584045	A	536.0	1365.0	1901.0	131.0	536.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p10_5.txt	50	5	20	Optimal	3468.78800201416	A	748.0	2181.0	2929.0	541.0	748.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p11_1.txt	100	10	3	Optimal	190.7143111228943	A	62.0	310.0	372.0	1.0	62.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p11_2.txt	100	10	5	TimeLimit	3600.0677618980408	A	114.0	504.0	618.0	610.0	101.0	0.11403508771929824
MIP	../../instancesSurcharges/alpha0_2/Beasley/p11_3.txt	100	10	10	TimeLimit	3600.0710620880127	A	302.0	1130.0	1432.0	141.0	222.0	0.26490066225165565
MIP	../../instancesSurcharges/alpha0_2/Beasley/p11_4.txt	100	10	15	TimeLimit	3600.1872730255127	A	485.0	1437.0	1922.0	28.0	318.0	0.3443298969072165
MIP	../../instancesSurcharges/alpha0_2/Beasley/p11_5.txt	100	10	20	TimeLimit	3600.273843050003	A	528.0	2120.0	2648.0	97.0	430.0	0.1856060606060606
MIP	../../instancesSurcharges/alpha0_2/Beasley/p12_1.txt	100	10	3	Optimal	3001.0143151283264	A	65.0	316.0	381.0	3040.0	65.0	0.0
MIP	../../instancesSurcharges/alpha0_2/Beasley/p12_2.txt	100	10	5	TimeLimit	3600.058625936508	A	123.0	512.0	635.0	810.0	110.0	0.10569105691056911
