Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
../../instancesSurcharges/alpha0_2/Lorena/SJC1_1.dat	A	INFEASIBLE
../../instancesSurcharges/alpha0_2/Lorena/SJC1_2.dat	A	INFEASIBLE
../../instancesSurcharges/alpha0_2/Lorena/SJC1_3.dat	A	INFEASIBLE
../../instancesSurcharges/alpha0_2/Lorena/SJC1_4.dat	A	INFEASIBLE
../../instancesSurcharges/alpha0_2/Lorena/SJC1_5.dat	A	INFEASIBLE
../../instancesSurcharges/alpha0_2/Lorena/SJC2_1.dat	A	INFEASIBLE
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC2_4.dat	200	15	15	Optimal	3505.94207906723	A	4133.100661675237	23047.945431360746	27181.046093035984	0.0	4467.360174125561
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC3a_1.dat	300	25	3	Optimal	580.4805860519409	A	675.7439989354393	5331.278385546234	6007.022384481674	0.0	675.7439989354393
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC3a_2.dat	300	25	5	Optimal	1075.8873388767242	A	1120.5640034637577	8645.449569794862	9766.01357325862	0.0	1207.4892010879357
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC3b_1.dat	300	30	3	Optimal	931.0106348991394	A	646.0	4823.9506474089485	5469.9506474089485	0.0	646.0
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC3b_2.dat	300	30	5	Optimal	548.4143240451813	A	1074.3135119144483	7859.102209932027	8933.415721846475	0.0	1145.7474050526919
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC3b_3.dat	300	30	10	Optimal	3223.6054260730743	A	2630.236122055308	20581.735113630188	23211.971235685494	0.0	2686.1797359596026
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC4a_1.dat	402	30	3	Optimal	1752.1037991046906	A	681.0012144747284	5680.545667921701	6361.546882396429	0.0	681.0012144747284
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC4a_2.dat	402	30	5	Optimal	2232.55597615242	A	1168.8724635605158	10306.39070144554	11475.263165006056	0.0	1168.8724635605156
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC4b_1.dat	402	40	3	Optimal	1497.0264778137207	A	652.0	5181.8037670346675	5833.8037670346675	0.0	652.0
LP	../../instancesSurcharges/alpha0_2/Lorena/SJC4b_2.dat	402	40	5	Optimal	3198.593074798584	A	1109.0	8158.669077691857	9267.669077691857	0.0	1109.0
