Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap	 As_pmedian	 Bs_pmedian	 As+Bs_pmedian
../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.05868411064147949	A	86.0	109.0	195.0	1.0	86.0	0.0	43.3	75.51	118.81
../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.2663571834564209	A	133.0	184.0	317.0	1.0	133.0	0.0	76.27	148.05	224.32
../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.0739290714263916	A	58.0	114.0	172.0	1.0	58.0	0.0	32.68	79.45	112.13
../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	1.335569143295288	A	104.0	188.0	292.0	1.0	104.0	0.0	49.89	131.12	181.01
../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.04434394836425781	A	56.0	106.0	162.0	1.0	56.0	0.0	31.02	69.13	100.15
../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.20651698112487793	A	114.0	232.0	346.0	1.0	114.0	0.0	64.5	168.27	232.77
../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	1.0352251529693604	A	75.0	110.0	185.0	1.0	75.0	0.0	49.38	79.96	129.34
../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.2655501365661621	A	185.0	261.0	446.0	1.0	185.0	0.0	106.65	176.84	283.49
../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.3641080856323242	A	48.0	109.0	157.0	14.0	48.0	0.0	32.22	80.94	113.16
../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	1.589367151260376	A	147.0	274.0	421.0	80.0	147.0	0.0	94.05	193.74	287.79
../instancesSurcharges/alpha0_2/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.07708311080932617	A	52.0	122.0	174.0	1.0	52.0	0.0	24.71	62.3	87.01
../instancesSurcharges/alpha0_2/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.19791698455810547	A	187.0	281.0	468.0	1.0	187.0	0.0	101.51	167.04	268.55
../instancesSurcharges/alpha0_2/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.16867709159851074	A	66.0	139.0	205.0	1.0	66.0	0.0	32.06	83.82	115.88
../instancesSurcharges/alpha0_2/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	0.4514620304107666	A	145.0	321.0	466.0	1.0	145.0	0.0	82.31	206.34	288.65
../instancesSurcharges/alpha0_2/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	2.537316083908081	A	99.0	149.0	248.0	203.0	99.0	0.0	59.48	96.93	156.41
../instancesSurcharges/alpha0_2/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	2.332153081893921	A	219.0	299.0	518.0	67.0	219.0	0.0	130.19	213.46	343.65
../instancesSurcharges/alpha0_2/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	5.300885915756226	A	75.0	136.0	211.0	434.0	75.0	0.0	41.39	101.45	142.84
../instancesSurcharges/alpha0_2/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	3.8292620182037354	A	148.0	283.0	431.0	53.0	148.0	0.0	84.72	207.52	292.24
../instancesSurcharges/alpha0_2/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	0.841839075088501	A	68.0	156.0	224.0	6.0	68.0	0.0	46.53	115.92	162.45
../instancesSurcharges/alpha0_2/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	20.252370834350586	A	158.0	331.0	489.0	1471.0	158.0	0.0	88.04	232.31	320.35
../instancesSurcharges/alpha0_2/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	3.2822439670562744	A	105.0	156.0	261.0	163.0	105.0	0.0	69.56	103.83	173.39
../instancesSurcharges/alpha0_2/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	7.556848049163818	A	251.0	388.0	639.0	36.0	251.0	0.0	157.54	268.96	426.5
../instancesSurcharges/alpha0_2/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	12.597517967224121	A	77.0	156.0	233.0	1232.0	77.0	0.0	48.04	104.94	152.98
../instancesSurcharges/alpha0_2/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	11.30473017692566	A	192.0	374.0	566.0	337.0	192.0	0.0	113.35	289.54	402.89
../instancesSurcharges/alpha0_2/Aleatoire/alea40_13_1.txt	40	13	4	Optimal	0.9585111141204834	A	83.0	199.0	282.0	1.0	83.0	0.0	50.71	141.84	192.55
../instancesSurcharges/alpha0_2/Aleatoire/alea40_13_2.txt	40	13	8	Optimal	10.329704999923706	A	178.0	366.0	544.0	273.0	178.0	0.0	121.4	249.56	370.96
../instancesSurcharges/alpha0_2/Aleatoire/alea40_4_1.txt	40	4	4	Optimal	9.246734142303467	A	117.0	192.0	309.0	125.0	117.0	0.0	79.96	138.85	218.81
../instancesSurcharges/alpha0_2/Aleatoire/alea40_4_2.txt	40	4	8	Optimal	27.19528293609619	A	264.0	390.0	654.0	203.0	264.0	0.0	173.16	267.16	440.32
../instancesSurcharges/alpha0_2/Aleatoire/alea40_8_1.txt	40	8	4	Optimal	2.961310863494873	A	97.0	197.0	294.0	1.0	97.0	0.0	56.69	133.73	190.42
../instancesSurcharges/alpha0_2/Aleatoire/alea40_8_2.txt	40	8	8	Optimal	8.63730001449585	A	216.0	366.0	582.0	196.0	216.0	0.0	146.53	266.11	412.64
../instancesSurcharges/alpha0_2/Aleatoire/alea45_15_1.txt	45	15	4	Optimal	0.5233979225158691	A	83.0	177.0	260.0	1.0	83.0	0.0	49.34	107.94	157.28
../instancesSurcharges/alpha0_2/Aleatoire/alea45_15_2.txt	45	15	9	Optimal	1.3567168712615967	A	174.0	382.0	556.0	1.0	174.0	0.0	101.61	249.61	351.22
../instancesSurcharges/alpha0_2/Aleatoire/alea45_4_1.txt	45	4	4	Optimal	20.653822898864746	A	117.0	185.0	302.0	539.0	117.0	0.0	82.84	132.93	215.77
../instancesSurcharges/alpha0_2/Aleatoire/alea45_4_2.txt	45	4	9	Optimal	33.15721297264099	A	254.0	468.0	722.0	121.0	254.0	0.0	182.29	336.75	519.04
../instancesSurcharges/alpha0_2/Aleatoire/alea45_9_1.txt	45	9	4	Optimal	0.647529125213623	A	124.0	186.0	310.0	1.0	124.0	0.0	71.6	112.99	184.59
../instancesSurcharges/alpha0_2/Aleatoire/alea45_9_2.txt	45	9	9	Optimal	7.024339914321899	A	226.0	377.0	603.0	1.0	226.0	0.0	153.9	270.68	424.58
../instancesSurcharges/alpha0_2/Aleatoire/alea50_10_1.txt	50	10	5	Optimal	102.38422393798828	A	113.0	227.0	340.0	3283.0	113.0	0.0	68.8	157.18	225.98
../instancesSurcharges/alpha0_2/Aleatoire/alea50_10_2.txt	50	10	10	Optimal	110.17777919769287	A	240.0	480.0	720.0	1698.0	240.0	0.0	152.96	333.64	486.6
