Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.014837026596069336	A	80.0	98.6046511627907	178.6046511627907	0.0	83.34883720930233
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.046473026275634766	A	96.53628144538703	97.14791440396866	193.6841958493557	0.0	119.00876214518449
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.0171511173248291	A	48.860465116279066	48.325581395348834	97.1860465116279	0.0	51.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	0.056849002838134766	A	85.84899494915025	122.34824414715717	208.19723909630744	0.0	86.00686386594771
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.007401943206787109	A	55.0	46.684500057663506	101.68450005766351	0.0	55.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.0307309627532959	A	100.06666666666666	118.29639589169	218.36306255835666	0.0	105.09254901960784
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.032668113708496094	A	35.63754340421962	40.435128032966496	76.07267143718612	0.0	56.005847163554634
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.05124998092651367	A	97.36020197429127	107.82386361519579	205.18406558948706	0.0	159.77953457990117
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.025218963623046875	A	43.0	44.0	87.0	0.0	43.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	0.04577493667602539	A	98.20775731806162	123.71507731108304	221.92283462914466	0.0	128.936465360981
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.016832828521728516	A	52.0	42.4517185198024	94.4517185198024	0.0	52.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.037600040435791016	A	182.0	180.26440345368917	362.26440345368917	0.0	187.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.028234004974365234	A	66.0	135.5	201.5	0.0	66.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	0.043161869049072266	A	139.0	329.125	468.125	0.0	139.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	0.04254508018493652	A	54.57441976364318	65.69745124857468	120.27187101221786	0.0	73.56964851930218
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	0.11783099174499512	A	121.3890074620007	122.46100025639655	243.85000771839725	0.0	191.33277720636576
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	0.05855894088745117	A	46.723186015988176	81.77744010200684	128.500626117995	0.0	54.615754550543215
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	0.05444908142089844	A	117.79770894619168	155.5678156341722	273.36552458036385	0.0	127.04756005503978
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	0.06299591064453125	A	65.0	78.66827953301127	143.6682795330113	0.0	65.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	0.15516400337219238	A	126.5014459393374	174.41010845180472	300.9115543911421	0.0	126.92695785070293
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	0.09593796730041504	A	66.76466480842006	78.4035944682812	145.16825927670126	0.0	90.98600567469794
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	0.36933207511901855	A	139.92920483722975	193.61333421229963	333.5425390495294	0.0	221.99478545564392
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	0.11977791786193848	A	51.33077777457739	75.54932795683524	126.88010573141264	0.0	58.194432948977635
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	0.2434229850769043	A	114.14816503044415	136.58630714930075	250.7344721797449	0.0	165.31834495702552
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea40_13_1.txt	40	13	4	Optimal	0.09984993934631348	A	79.0	158.77314814814815	237.77314814814815	0.0	79.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea40_13_2.txt	40	13	8	Optimal	0.40376996994018555	A	157.88235294117646	231.3659103986659	389.24826333984237	0.0	162.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea40_4_1.txt	40	4	4	Optimal	0.14525604248046875	A	61.76220367575103	85.13859127812864	146.90079495387968	0.0	96.69512669318826
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea40_4_2.txt	40	4	8	Optimal	0.4742579460144043	A	116.21066849382369	142.62853809336875	258.83920658719245	0.0	216.4377993568811
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea40_8_1.txt	40	8	4	Optimal	0.31582188606262207	A	87.0	129.20883246554754	216.20883246554754	0.0	87.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea40_8_2.txt	40	8	8	Optimal	0.3932769298553467	A	175.18349381323512	310.194017614888	485.37751142812317	0.0	193.1271901052855
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea45_15_1.txt	45	15	4	Optimal	0.09651589393615723	A	83.0	156.0	239.0	0.0	83.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea45_15_2.txt	45	15	9	Optimal	0.23454594612121582	A	170.0	341.0	511.0	0.0	170.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea45_4_1.txt	45	4	4	Optimal	0.32989501953125	A	63.86319818868116	69.48421598035681	133.34741416903796	0.0	95.8139513470581
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea45_4_2.txt	45	4	9	Optimal	0.7066531181335449	A	144.50467421264122	184.0539385224775	328.5586127351187	0.0	230.0457043426663
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea45_9_1.txt	45	9	4	Optimal	0.2990241050720215	A	124.0	177.14510479658298	301.145104796583	0.0	124.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea45_9_2.txt	45	9	9	Optimal	0.965519905090332	A	217.0	288.30899879798267	505.30899879798267	0.0	217.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea50_10_1.txt	50	10	5	Optimal	0.504011869430542	A	83.97398574637393	120.33590612586151	204.30989187223543	0.0	93.92099369933194
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea50_10_2.txt	50	10	10	Optimal	0.6997840404510498	A	186.55520699953823	248.19472795146243	434.7499349510007	0.0	212.98605649777045
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea50_16_1.txt	50	16	5	Optimal	0.4001607894897461	A	82.53965792272244	127.06094529740614	209.60060322012856	0.0	92.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea50_16_2.txt	50	16	10	Optimal	0.40870213508605957	A	188.125	380.0	568.125	0.0	196.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea50_5_1.txt	50	5	5	Optimal	0.6271522045135498	A	72.56157927995788	110.24269458323295	182.80427386319082	0.0	120.59847708572329
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea50_5_2.txt	50	5	10	Optimal	0.9614100456237793	A	204.60295140405614	280.908067844796	485.5110192488521	0.0	254.6513485930229
