Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha0_3/Beasley/p10_1.txt	50	5	3	Optimal	0.2588810920715332	A	51.748630024951076	145.67966782358968	197.42829784854075	0.0	65.36150871464415
LP	../../instancesSurcharges/alpha0_3/Beasley/p10_2.txt	50	5	5	Optimal	0.9743320941925049	A	85.35266030186064	248.53418962663665	333.88684992849727	0.0	125.86479927938922
LP	../../instancesSurcharges/alpha0_3/Beasley/p10_3.txt	50	5	10	Optimal	0.809783935546875	A	247.07080400538516	454.9252761125634	701.9960801179485	0.0	304.57109546997015
LP	../../instancesSurcharges/alpha0_3/Beasley/p10_4.txt	50	5	15	Optimal	2.637683868408203	A	312.43292557192217	658.2529607017849	970.6858862737071	0.0	433.58200705835327
LP	../../instancesSurcharges/alpha0_3/Beasley/p10_5.txt	50	5	20	Optimal	4.7414469718933105	A	333.7107556157577	642.8059506926945	976.5167063084523	0.0	531.7085058512957
LP	../../instancesSurcharges/alpha0_3/Beasley/p11_1.txt	100	10	3	Optimal	3.272645950317383	A	55.0	173.92783119913457	228.92783119913457	0.0	55.0
LP	../../instancesSurcharges/alpha0_3/Beasley/p11_2.txt	100	10	5	Optimal	5.232605934143066	A	73.67261111308535	292.5444563034943	366.21706741657965	0.0	83.13434340394014
LP	../../instancesSurcharges/alpha0_3/Beasley/p11_3.txt	100	10	10	Optimal	16.269547939300537	A	147.3822492878386	521.6170912239693	668.9993405118079	0.0	184.0539503351409
LP	../../instancesSurcharges/alpha0_3/Beasley/p11_4.txt	100	10	15	Optimal	26.35322403907776	A	226.42889536265776	676.1679071121581	902.5968024748158	0.0	284.32949022149637
LP	../../instancesSurcharges/alpha0_3/Beasley/p11_5.txt	100	10	20	Optimal	28.38630509376526	A	319.6018883624152	981.7443817686021	1301.3462701310173	0.0	374.91821268389214
LP	../../instancesSurcharges/alpha0_3/Beasley/p12_1.txt	100	10	3	Optimal	8.206859111785889	A	43.820767392096215	203.72829222000695	247.54905961210318	0.0	48.1697398251539
LP	../../instancesSurcharges/alpha0_3/Beasley/p12_2.txt	100	10	5	Optimal	3.7556040287017822	A	84.67322336300619	276.06001490411614	360.7332382671223	0.0	94.39004532893499
LP	../../instancesSurcharges/alpha0_3/Beasley/p12_3.txt	100	10	10	Optimal	10.304639101028442	A	154.88431530901192	528.1406277938436	683.0249431028556	0.0	185.92526780434542
LP	../../instancesSurcharges/alpha0_3/Beasley/p12_4.txt	100	10	15	Optimal	40.81537103652954	A	296.1722286951092	1066.2683673242013	1362.4405960193105	0.0	331.3004437844721
LP	../../instancesSurcharges/alpha0_3/Beasley/p12_5.txt	100	10	20	Optimal	57.0837128162384	A	358.57578373381125	1055.5158937286837	1414.091677462495	0.0	421.97784707669604
LP	../../instancesSurcharges/alpha0_3/Beasley/p13_1.txt	100	10	3	Optimal	7.9197258949279785	A	58.448980359890896	210.78249544532827	269.23147580521913	0.0	60.16645397912982
LP	../../instancesSurcharges/alpha0_3/Beasley/p13_2.txt	100	10	5	Optimal	7.720605134963989	A	79.4960098940874	298.9271454896011	378.4231553836885	0.0	85.19428673525736
LP	../../instancesSurcharges/alpha0_3/Beasley/p13_3.txt	100	10	10	Optimal	21.555436849594116	A	151.4819900234727	534.2988654613431	685.7808554848158	0.0	181.6101176973487
LP	../../instancesSurcharges/alpha0_3/Beasley/p13_4.txt	100	10	15	Optimal	38.94066309928894	A	233.23467362324962	826.50865050217	1059.7433241254196	0.0	293.7196832183736
LP	../../instancesSurcharges/alpha0_3/Beasley/p13_5.txt	100	10	20	Optimal	120.45951318740845	A	340.7510638575062	923.690921010483	1264.441984867989	0.0	422.6624826076606
LP	../../instancesSurcharges/alpha0_3/Beasley/p14_1.txt	100	10	3	Optimal	15.381705045700073	A	54.0	210.0	264.0	0.0	54.0
LP	../../instancesSurcharges/alpha0_3/Beasley/p14_2.txt	100	10	5	Optimal	9.522022008895874	A	86.69290359322629	349.0157433049882	435.70864689821445	0.0	86.69290359322629
LP	../../instancesSurcharges/alpha0_3/Beasley/p14_3.txt	100	10	10	Optimal	26.708039045333862	A	195.5737252485528	715.1563591651367	910.7300844136895	0.0	209.27093159241636
LP	../../instancesSurcharges/alpha0_3/Beasley/p14_4.txt	100	10	15	Optimal	34.204227924346924	A	268.0060783907053	904.990027304876	1172.9961056955813	0.0	296.76598268409793
LP	../../instancesSurcharges/alpha0_3/Beasley/p14_5.txt	100	10	20	Optimal	82.1121118068695	A	366.9236846361933	1059.9152183257775	1426.8389029619707	0.0	440.49450649153556
LP	../../instancesSurcharges/alpha0_3/Beasley/p15_1.txt	100	10	3	Optimal	4.345067977905273	A	45.81814515340183	161.70601190231585	207.5241570557177	0.0	49.68295740085709
LP	../../instancesSurcharges/alpha0_3/Beasley/p15_2.txt	100	10	5	Optimal	16.217769861221313	A	77.90858238229522	298.79308967595733	376.70167205825254	0.0	94.20887959156609
LP	../../instancesSurcharges/alpha0_3/Beasley/p15_3.txt	100	10	10	Optimal	19.05596613883972	A	152.12289557610742	482.3642900501121	634.4871856262196	0.0	184.14702921687464
LP	../../instancesSurcharges/alpha0_3/Beasley/p15_4.txt	100	10	15	Optimal	40.25984597206116	A	267.6087371750997	988.9744694421282	1256.583206617228	0.0	295.68852669718234
LP	../../instancesSurcharges/alpha0_3/Beasley/p15_5.txt	100	10	20	Optimal	109.87329387664795	A	306.0491590558636	797.6594882193294	1103.708647275193	0.0	425.49277445348423
LP	../../instancesSurcharges/alpha0_3/Beasley/p16_1.txt	100	10	3	Optimal	5.076451063156128	A	47.63916892063095	206.27767490592285	253.91684382655382	0.0	52.152517740357794
LP	../../instancesSurcharges/alpha0_3/Beasley/p16_2.txt	100	10	5	Optimal	10.516805171966553	A	64.97096008216349	252.75198743132762	317.72294751349114	0.0	80.2306125910171
LP	../../instancesSurcharges/alpha0_3/Beasley/p16_3.txt	100	10	10	Optimal	21.481034994125366	A	172.1911592023684	537.6729502338544	709.8641094362229	0.0	201.94773057760113
LP	../../instancesSurcharges/alpha0_3/Beasley/p16_4.txt	100	10	15	Optimal	41.27505898475647	A	276.4381091408415	861.1460967069123	1137.5842058477538	0.0	299.99286740269906
LP	../../instancesSurcharges/alpha0_3/Beasley/p16_5.txt	100	10	20	Optimal	193.76386213302612	A	301.93166781500986	1115.5403981304914	1417.4720659455013	0.0	392.5072863042318
LP	../../instancesSurcharges/alpha0_3/Beasley/p17_1.txt	100	10	3	Optimal	22.515218019485474	A	49.77427686261669	240.756348603316	290.5306254659327	0.0	50.33359268029875
LP	../../instancesSurcharges/alpha0_3/Beasley/p17_2.txt	100	10	5	Optimal	8.297645092010498	A	65.84716686063051	327.4596960753657	393.3068629359962	0.0	79.60073653587389
LP	../../instancesSurcharges/alpha0_3/Beasley/p17_3.txt	100	10	10	Optimal	20.242079973220825	A	188.7295730457042	671.0558953525621	859.7854683982663	0.0	206.48649819317347
LP	../../instancesSurcharges/alpha0_3/Beasley/p17_4.txt	100	10	15	Optimal	47.118232011795044	A	329.7305901725589	1244.7295661306505	1574.4601563032093	0.0	337.23398023461186
LP	../../instancesSurcharges/alpha0_3/Beasley/p17_5.txt	100	10	20	Optimal	44.36838698387146	A	345.036668281803	1168.0778654081596	1513.1145336899626	0.0	383.9663706506236
LP	../../instancesSurcharges/alpha0_3/Beasley/p18_1.txt	100	10	3	Optimal	13.047369003295898	A	48.597701637960284	169.00227158686621	217.5999732248265	0.0	50.54780266126312
LP	../../instancesSurcharges/alpha0_3/Beasley/p18_2.txt	100	10	5	Optimal	13.10306191444397	A	73.20703151993916	249.2162340504543	322.4232655703935	0.0	85.01084102596943
LP	../../instancesSurcharges/alpha0_3/Beasley/p18_3.txt	100	10	10	Optimal	22.989990949630737	A	155.6683637964731	565.33050148438	720.9988652808531	0.0	184.56404656593523
LP	../../instancesSurcharges/alpha0_3/Beasley/p18_4.txt	100	10	15	Optimal	41.289483070373535	A	262.66550463895896	833.5498037834326	1096.2153084223914	0.0	293.06120180051926
LP	../../instancesSurcharges/alpha0_3/Beasley/p18_5.txt	100	10	20	Optimal	43.37688398361206	A	334.323002912135	1176.1648143602633	1510.4878172723984	0.0	372.7725573595137
LP	../../instancesSurcharges/alpha0_3/Beasley/p19_1.txt	100	10	3	Optimal	4.8446571826934814	A	55.5838630759746	194.41539328863803	249.99925636461262	0.0	58.21724466985985
LP	../../instancesSurcharges/alpha0_3/Beasley/p19_2.txt	100	10	5	Optimal	6.2412049770355225	A	73.56600723849004	227.26240656806894	300.82841380655896	0.0	88.36153588910152
LP	../../instancesSurcharges/alpha0_3/Beasley/p19_3.txt	100	10	10	Optimal	25.08445692062378	A	149.9038143623988	486.7025293094509	636.6063436718497	0.0	186.38131511069867
LP	../../instancesSurcharges/alpha0_3/Beasley/p19_4.txt	100	10	15	Optimal	52.653258085250854	A	272.82181477799617	867.450387552397	1140.2722023303932	0.0	303.33402605074184
LP	../../instancesSurcharges/alpha0_3/Beasley/p19_5.txt	100	10	20	Optimal	76.68379497528076	A	297.0551908693989	1016.5236820315943	1313.5788729009932	0.0	377.3707535865557
LP	../../instancesSurcharges/alpha0_3/Beasley/p1_1.txt	50	5	3	Optimal	1.2795860767364502	A	52.80874943935657	151.30120815309425	204.10995759245083	0.0	62.68101491296743
LP	../../instancesSurcharges/alpha0_3/Beasley/p1_2.txt	50	5	5	Optimal	0.777310848236084	A	109.19397764040015	262.5082124846746	371.7021901250747	0.0	113.80512220916104
LP	../../instancesSurcharges/alpha0_3/Beasley/p1_3.txt	50	5	10	Optimal	1.831470012664795	A	201.40304723679668	438.9290038597484	640.332051096545	0.0	295.3811723593543
LP	../../instancesSurcharges/alpha0_3/Beasley/p1_4.txt	50	5	15	Optimal	6.21010422706604	A	301.8222451633404	871.1384739312657	1172.9607190946062	0.0	366.3907986843609
LP	../../instancesSurcharges/alpha0_3/Beasley/p1_5.txt	50	5	20	Optimal	14.91942310333252	A	362.14530114397775	801.6464333133758	1163.7917344573536	0.0	489.30408703580775
LP	../../instancesSurcharges/alpha0_3/Beasley/p20_1.txt	100	10	3	Optimal	4.346094131469727	A	36.58114201504334	205.8379498374326	242.41909185247596	0.0	43.08632946290322
LP	../../instancesSurcharges/alpha0_3/Beasley/p20_2.txt	100	10	5	Optimal	6.322829961776733	A	70.21338288310513	347.55899868320876	417.77238156631387	0.0	74.60344594480799
LP	../../instancesSurcharges/alpha0_3/Beasley/p20_3.txt	100	10	10	Optimal	22.01385998725891	A	160.80480198784835	578.8512794556334	739.6560814434818	0.0	170.75837909550893
LP	../../instancesSurcharges/alpha0_3/Beasley/p20_4.txt	100	10	15	Optimal	58.040233850479126	A	256.31525981294857	840.804953270952	1097.1202130839006	0.0	280.8294233684093
LP	../../instancesSurcharges/alpha0_3/Beasley/p20_5.txt	100	10	20	Optimal	79.27662396430969	A	324.104088718321	1083.7031291473502	1407.8072178656712	0.0	374.9559555109435
