Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
../../instancesSurcharges/alpha0_3/GalvaoData/G1_1.txt	A	INFEASIBLE
../../instancesSurcharges/alpha0_3/GalvaoData/G1_2.txt	A	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G1_3.txt	100	5	10	Optimal	222.04295706748962	A	798.7157030699179	1245.5395517345887	2044.2552548045066	0.0	898.1251065088974
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G1_4.txt	100	5	15	Optimal	506.02248787879944	A	1344.4637820387898	1964.7819196983696	3309.2457017371594	0.0	1417.8115532218105
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G1_5.txt	100	5	20	Optimal	981.9301900863647	A	1359.0886109749044	1833.1735014884853	3192.2621124633897	0.0	1816.2482247946305
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_1.txt	100	5	3	Optimal	48.22416090965271	A	243.37336686352202	395.0	638.373366863522	0.0	245.03469161241546
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_2.txt	100	5	5	Optimal	79.22628712654114	A	235.690319059118	313.9975731163347	549.6878921754527	0.0	385.8757982874882
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_3.txt	100	5	10	Optimal	163.41787981987	A	517.1165988484273	584.1776622221045	1101.2942610705318	0.0	838.8388200833933
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_4.txt	100	5	15	Optimal	336.5486578941345	A	849.3725445886075	1030.829177245981	1880.2017218345886	0.0	1305.7817122897293
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_5.txt	100	5	20	Optimal	730.1143369674683	A	1358.9806606441637	2010.9631858658477	3369.943846510011	0.0	1755.1191894273863
../../instancesSurcharges/alpha0_3/GalvaoData/G3_1.txt	A	INFEASIBLE
../../instancesSurcharges/alpha0_3/GalvaoData/G3_2.txt	A	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G3_3.txt	100	10	10	Optimal	239.88646411895752	A	809.3595007024344	1346.192040507659	2155.551541210093	0.0	843.8365276553995
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G3_4.txt	100	10	15	Optimal	592.5298910140991	A	1365.87464173935	2365.373520611825	3731.248162351175	0.0	1375.0252469934442
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G3_5.txt	100	10	20	Optimal	962.7035698890686	A	1688.5042638296754	2732.572740257745	4421.07700408742	0.0	1746.9180934419946
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_1.txt	100	10	3	Optimal	31.903760194778442	A	188.4762783031336	466.0	654.4762783031335	0.0	218.78196334484795
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_2.txt	100	10	5	Optimal	55.09173917770386	A	317.2656358257485	747.0	1064.2656358257486	0.0	341.80560396897636
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_3.txt	100	10	10	Optimal	210.69435000419617	A	670.421597708603	1170.3212276262498	1840.7428253348528	0.0	740.7239070388848
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_4.txt	100	10	15	Optimal	249.79130101203918	A	1170.314688607465	2362.6662458806595	3532.9809344881246	0.0	1223.4034252982403
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_5.txt	100	10	20	Optimal	499.51690793037415	A	1365.6255311319155	1860.1098348550504	3225.735365986966	0.0	1598.0668244761102
../../instancesSurcharges/alpha0_3/GalvaoData/G5_1.txt	A	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G5_2.txt	150	10	5	Optimal	263.12054896354675	A	505.9335354378891	856.2823163131764	1362.2158517510654	0.0	507.23259468770505
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G5_3.txt	150	10	10	Optimal	1212.7976729869843	A	927.4232375463522	1697.0	2624.423237546352	0.0	939.4783496017968
../../instancesSurcharges/alpha0_3/GalvaoData/G5_4.txt	A	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_1.txt	150	10	3	Optimal	150.37750697135925	A	295.9060993279056	610.0	905.9060993279056	0.0	296.8552199950142
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_2.txt	150	10	5	Optimal	237.665137052536	A	449.4688486718162	921.2356646524061	1370.7045133242223	0.0	454.56762037914564
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_3.txt	150	10	10	Optimal	462.766410112381	A	783.3817304537338	1467.2002672150506	2250.5819976687844	0.0	902.0933261352383
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_4.txt	150	10	15	Optimal	2675.458541870117	A	1384.3870315109277	2516.658427620832	3901.0454591317593	0.0	1422.1033694562398
