Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap	 As_pmedian	 Bs_pmedian	 As+Bs_pmedian
../instancesSurcharges/alpha0_3/Beasley/p10_1.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p10_2.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p10_3.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p10_4.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p10_5.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p11_1.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p11_2.txt	100	10	5	Optimal	50.60391592979431	A	120.0	516.0	636.0	1.0	120.0	0.0	71.48	279.55	351.03
../instancesSurcharges/alpha0_3/Beasley/p11_3.txt	100	10	10	Optimal	875.5667459964752	A	349.0	932.0	1281.0	2537.0	349.0	0.0	190.13	494.75	684.88
../instancesSurcharges/alpha0_3/Beasley/p11_4.txt	100	10	15	Optimal	2240.561975002289	A	519.0	1566.0	2085.0	1016.0	519.0	0.0	271.3	827.83	1099.13
../instancesSurcharges/alpha0_3/Beasley/p11_5.txt	100	10	20	TimeLimit	3600.0492651462555	A	657.0	2132.0	2789.0	1302.0	508.0	0.2267884322678843	362.07	1161.32	1523.39
../instancesSurcharges/alpha0_3/Beasley/p12_1.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p12_2.txt	100	10	5	Optimal	285.9739820957184	A	138.0	514.0	652.0	656.0	138.0	0.0	74.02	262.86	336.88
../instancesSurcharges/alpha0_3/Beasley/p12_3.txt	100	10	10	TimeLimit	3600.0139548778534	A	250.0	1089.0	1339.0	1208.0	229.0	0.084	147.21	589.29	736.5
../instancesSurcharges/alpha0_3/Beasley/p12_4.txt	100	10	15	TimeLimit	3600.015355825424	A	427.0	1592.0	2019.0	2468.0	393.0	0.07962529274004684	216.57	708.88	925.45
../instancesSurcharges/alpha0_3/Beasley/p12_5.txt	100	10	20	TimeLimit	3600.023308992386	A	669.0	2043.0	2712.0	630.0	569.0	0.14947683109118087	371.19	1048.84	1420.03
../instancesSurcharges/alpha0_3/Beasley/p13_1.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p13_2.txt	100	10	5	Optimal	195.8688690662384	A	165.0	506.0	671.0	1845.0	165.0	0.0	90.15	266.88	357.03
../instancesSurcharges/alpha0_3/Beasley/p13_3.txt	100	10	10	Optimal	864.0794970989227	A	327.0	1002.0	1329.0	652.0	327.0	0.0	165.55	534.22	699.77
../instancesSurcharges/alpha0_3/Beasley/p13_4.txt	100	10	15	TimeLimit	3600.0238358974457	A	470.0	1582.0	2052.0	1151.0	367.0	0.21914893617021278	243.21	777.22	1020.43
../instancesSurcharges/alpha0_3/Beasley/p13_5.txt	100	10	20	TimeLimit	3600.0243241786957	A	564.0	2080.0	2644.0	2909.0	531.0	0.05851063829787234	301.91	1066.73	1368.64
../instancesSurcharges/alpha0_3/Beasley/p14_1.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p14_2.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p14_3.txt	100	10	10	Optimal	716.1844389438629	A	378.0	979.0	1357.0	2249.0	378.0	0.0	190.46	520.54	711.0
../instancesSurcharges/alpha0_3/Beasley/p14_4.txt	100	10	15	Optimal	630.2067379951477	A	481.0	1455.0	1936.0	1036.0	481.0	0.0	245.57	708.4	953.97
../instancesSurcharges/alpha0_3/Beasley/p14_5.txt	100	10	20	Optimal	2196.301321029663	A	721.0	2076.0	2797.0	13176.0	721.0	0.0	327.23	1001.59	1328.82
../instancesSurcharges/alpha0_3/Beasley/p15_1.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p15_2.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p15_3.txt	100	10	10	Optimal	1511.2743499279022	A	315.0	1024.0	1339.0	2352.0	315.0	0.0	167.23	579.63	746.86
../instancesSurcharges/alpha0_3/Beasley/p15_4.txt	100	10	15	Optimal	1670.9384191036224	A	423.0	1556.0	1979.0	1572.0	423.0	0.0	218.34	837.11	1055.45
../instancesSurcharges/alpha0_3/Beasley/p15_5.txt	100	10	20	TimeLimit	3600.046185016632	A	635.0	2241.0	2876.0	1331.0	545.0	0.14173228346456693	358.62	1192.38	1551.0
../instancesSurcharges/alpha0_3/Beasley/p16_1.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p16_2.txt	100	10	5	Optimal	383.4119441509247	A	185.0	508.0	693.0	2345.0	185.0	0.0	82.1	265.73	347.83
../instancesSurcharges/alpha0_3/Beasley/p16_3.txt	100	10	10	Optimal	979.62646317482	A	276.0	980.0	1256.0	2290.0	276.0	0.0	161.1	509.1	670.2
../instancesSurcharges/alpha0_3/Beasley/p16_4.txt	A	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p16_5.txt	100	10	20	Optimal	2108.5408511161804	A	696.0	1904.0	2600.0	3336.0	696.0	0.0	358.14	970.61	1328.75
../instancesSurcharges/alpha0_3/Beasley/p17_1.txt	A	INFEASIBLE
