Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha0_3/pmed/pmed10_1.txt	200	67	3	Optimal	9.77026891708374	A	149.0	217.0762100708513	366.0762100708513	0.0	149.0
LP	../../instancesSurcharges/alpha0_3/pmed/pmed10_2.txt	200	67	5	Optimal	27.516533851623535	A	321.0	305.1660480187874	626.1660480187875	0.0	321.0
LP	../../instancesSurcharges/alpha0_3/pmed/pmed10_3.txt	200	67	10	Optimal	21.530752182006836	A	564.0	1080.0	1644.0	0.0	564.0
LP	../../instancesSurcharges/alpha0_3/pmed/pmed10_4.txt	200	67	15	Optimal	38.56569194793701	A	722.6315338220936	1478.1608244522706	2200.7923582743642	0.0	725.0
LP	../../instancesSurcharges/alpha0_3/pmed/pmed10_5.txt	200	67	20	Optimal	68.28504300117493	A	909.0	1974.6754523925601	2883.67545239256	0.0	909.0
LP	../../instancesSurcharges/alpha0_3/pmed/pmed11_1.txt	300	5	3	Optimal	69.65460991859436	A	158.0	186.12163251505893	344.12163251505893	0.0	159.54004293354754
LP	../../instancesSurcharges/alpha0_3/pmed/pmed11_2.txt	300	5	5	Optimal	133.1390151977539	A	239.4159250866397	274.7517260350147	514.1676511216544	0.0	273.7907651342701
LP	../../instancesSurcharges/alpha0_3/pmed/pmed11_3.txt	300	5	10	Optimal	494.302533864975	A	309.6237027487653	383.12052118235096	692.7442239311163	0.0	539.0137283458016
LP	../../instancesSurcharges/alpha0_3/pmed/pmed11_4.txt	300	5	15	Optimal	1556.750086069107	A	569.0826047208831	727.5124304502475	1296.5950351711306	0.0	803.1763301465508
LP	../../instancesSurcharges/alpha0_3/pmed/pmed11_5.txt	300	5	20	Optimal	2487.3935120105743	A	607.9400596975659	724.9172419516664	1332.8573016492323	0.0	1064.6916263192436
LP	../../instancesSurcharges/alpha0_3/pmed/pmed12_1.txt	300	10	3	Optimal	144.23890590667725	A	187.0	221.09394715068152	408.0939471506815	0.0	187.0
LP	../../instancesSurcharges/alpha0_3/pmed/pmed12_2.txt	300	10	5	Optimal	158.19789004325867	A	265.6253185867396	331.77221823357405	597.3975368203137	0.0	288.9980525248016
LP	../../instancesSurcharges/alpha0_3/pmed/pmed12_3.txt	300	10	10	Optimal	212.55923080444336	A	387.0074125944987	591.0619534615321	978.0693660560307	0.0	502.13846030077207
LP	../../instancesSurcharges/alpha0_3/pmed/pmed12_4.txt	300	10	15	Optimal	1194.551038980484	A	615.6879093636315	899.0595129147708	1514.7474222784024	0.0	760.6611208965799
LP	../../instancesSurcharges/alpha0_3/pmed/pmed12_5.txt	300	10	20	Optimal	1146.8225619792938	A	1085.3344583121109	1319.6544990967982	2404.9889574089093	0.0	1112.372610226802
LP	../../instancesSurcharges/alpha0_3/pmed/pmed13_1.txt	300	30	3	Optimal	52.43365812301636	A	153.0	293.21381700655894	446.21381700655894	0.0	153.0
