Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_1.txt	50	5	3	Optimal	0.41272997856140137	A	56.18391828331367	114.08052962747234	170.26444791078603	0.0	65.36150871464413
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_2.txt	50	5	5	Optimal	1.189770221710205	A	124.69676997622679	269.8646048277651	394.5613748039919	0.0	134.330437021818
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_3.txt	50	5	10	Optimal	3.17649507522583	A	323.62093718566877	776.4205288091248	1100.0414659947935	0.0	327.6158293778405
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_4.txt	50	5	15	Optimal	4.127191066741943	A	299.00366880895933	647.0569620194501	946.0606308284094	0.0	434.23284616933785
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_5.txt	50	5	20	Optimal	12.643160820007324	A	390.7642842912761	802.3857705321087	1193.1500548233848	0.0	554.8241108679177
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_1.txt	100	10	3	Optimal	6.29538893699646	A	55.0	200.13183925897278	255.13183925897278	0.0	55.0
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_2.txt	100	10	5	Optimal	10.918370008468628	A	75.94078392657073	311.82706142793387	387.76784535450463	0.0	83.5585141356245
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_3.txt	100	10	10	Optimal	41.314764976501465	A	162.6938279907296	605.1596378504005	767.8534658411301	0.0	192.02800963720443
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_4.txt	100	10	15	Optimal	67.16790199279785	A	229.48628525930363	728.7632152796145	958.2495005389181	0.0	285.44256525322766
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_5.txt	100	10	20	Optimal	85.6365258693695	A	322.99397347611375	1096.8805580686349	1419.8745315447486	0.0	374.91821268389066
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_1.txt	100	10	3	Optimal	36.299383878707886	A	43.10277756996247	165.9266095401578	209.0293871101203	0.0	48.300059297115126
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_2.txt	100	10	5	Optimal	21.591979026794434	A	75.43072724966125	301.34900771519835	376.7797349648596	0.0	94.390045328935
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_3.txt	100	10	10	Optimal	40.27721190452576	A	158.917597487404	534.2808052643543	693.1984027517583	0.0	185.9252678043454
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_4.txt	100	10	15	Optimal	98.3888840675354	A	297.56792767986235	1109.750084895561	1407.3180125754234	0.0	331.30044378447207
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_5.txt	100	10	20	Optimal	405.1173930168152	A	373.1465304965348	1171.0844239594098	1544.2309544559446	0.0	428.15864221215185
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_1.txt	100	10	3	Optimal	72.63500809669495	A	59.65314963843977	237.0	296.6531496384398	0.0	61.37500792961876
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_2.txt	100	10	5	Optimal	32.79586315155029	A	78.09453805332384	301.87797924609526	379.9725172994191	0.0	85.19428673525739
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_3.txt	100	10	10	Optimal	60.08690309524536	A	147.3855896255719	544.0621116926709	691.4477013182428	0.0	181.61011769734918
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_4.txt	100	10	15	Optimal	174.09147596359253	A	250.71040686532814	744.5080579324411	995.2184647977692	0.0	294.6479409830398
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_5.txt	100	10	20	Optimal	660.7495369911194	A	328.63089451101763	857.4980689965124	1186.12896350753	0.0	427.678168386414
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_1.txt	100	10	3	Optimal	50.870070934295654	A	54.0	180.0	234.0	0.0	54.0
