Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_1.txt	50	5	3	Optimal	15.18942403793335	A	92.0	312.0	404.0	100.0	92.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_2.txt	50	5	5	Optimal	43.31885099411011	A	178.0	481.0	659.0	342.0	178.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_3.txt	50	5	10	Optimal	80.78031897544861	A	421.0	1000.0	1421.0	112.0	421.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_4.txt	50	5	15	Optimal	299.20440006256104	A	539.0	1454.0	1993.0	109.0	539.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_5.txt	50	5	20	Optimal	1903.8100130558014	A	763.0	2111.0	2874.0	451.0	763.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_1.txt	100	10	3	Optimal	258.5409460067749	A	62.0	304.0	366.0	1.0	62.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_2.txt	100	10	5	TimeLimit	3600.1479070186615	A	114.0	508.0	622.0	319.0	102.0	0.10526315789473684
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_3.txt	100	10	10	TimeLimit	3600.2542428970337	A	289.0	1107.0	1396.0	86.0	225.0	0.22145328719723184
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_4.txt	100	10	15	TimeLimit	3600.1129310131073	A	391.0	1480.0	1871.0	63.0	324.0	0.17135549872122763
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_5.txt	100	10	20	TimeLimit	3600.1434240341187	A	527.0	2084.0	2611.0	58.0	428.0	0.18785578747628084
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_1.txt	100	10	3	Optimal	1501.6155190467834	A	65.0	343.0	408.0	1971.0	65.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_2.txt	100	10	5	TimeLimit	3600.0656218528748	A	123.0	525.0	648.0	557.0	106.0	0.13821138211382114
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_3.txt	100	10	10	TimeLimit	3600.229351043701	A	239.0	1062.0	1301.0	718.0	218.0	0.08786610878661087
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_4.txt	100	10	15	TimeLimit	3600.0888950824738	A	396.0	1643.0	2039.0	258.0	362.0	0.08585858585858586
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_1.txt	100	10	3	Optimal	2093.485333919525	A	72.0	295.0	367.0	808.0	72.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_2.txt	100	10	5	TimeLimit	3600.018601179123	A	117.0	498.0	615.0	420.0	102.0	0.1282051282051282
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_3.txt	100	10	10	TimeLimit	3600.0460679531097	A	271.0	1190.0	1461.0	254.0	223.0	0.17712177121771217
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_4.txt	100	10	15	TimeLimit	3600.243160009384	A	415.0	1602.0	2017.0	56.0	330.0	0.20481927710843373
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_5.txt	100	10	20	TimeLimit	3601.6905369758606	A	623.0	2098.0	2721.0	53.0	465.0	0.2536115569823435
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_1.txt	100	10	3	TimeLimit	3600.030674934387	A	69.0	327.0	396.0	2084.0	64.0	0.07246376811594203
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_2.txt	100	10	5	TimeLimit	3600.102317094803	A	122.0	557.0	679.0	800.0	104.0	0.14754098360655737
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_3.txt	100	10	10	TimeLimit	3600.114006996155	A	259.0	1001.0	1260.0	299.0	238.0	0.08108108108108109
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_4.txt	100	10	15	TimeLimit	3600.0809898376465	A	386.0	1489.0	1875.0	255.0	335.0	0.13212435233160622
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_5.txt	100	10	20	TimeLimit	3600.1028649806976	A	556.0	2110.0	2666.0	69.0	486.0	0.12589928057553956
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_1.txt	100	10	3	TimeLimit	3600.098051071167	A	69.0	304.0	373.0	3736.0	64.0	0.07246376811594203
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_2.txt	100	10	5	TimeLimit	3600.105784893036	A	120.0	536.0	656.0	1058.0	111.0	0.075
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_3.txt	100	10	10	TimeLimit	3600.040594100952	A	243.0	1056.0	1299.0	654.0	210.0	0.13580246913580246
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_4.txt	100	10	15	TimeLimit	3600.036617040634	A	373.0	1587.0	1960.0	226.0	331.0	0.1126005361930295
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_5.txt	100	10	20	TimeLimit	3600.1699509620667	A	594.0	2034.0	2628.0	131.0	481.0	0.19023569023569023
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_1.txt	100	10	3	Optimal	266.43538784980774	A	69.0	290.0	359.0	120.0	69.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_2.txt	100	10	5	TimeLimit	3600.0135610103607	A	110.0	553.0	663.0	1314.0	95.0	0.13636363636363635
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_3.txt	100	10	10	TimeLimit	3600.045867919922	A	256.0	1006.0	1262.0	979.0	232.0	0.09375
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_4.txt	100	10	15	TimeLimit	3600.038120985031	A	419.0	1550.0	1969.0	132.0	341.0	0.18615751789976134
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_5.txt	100	10	20	TimeLimit	3600.0505089759827	A	573.0	2060.0	2633.0	294.0	448.0	0.2181500872600349
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_1.txt	100	10	3	Optimal	517.5519769191742	A	66.0	334.0	400.0	781.0	66.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_2.txt	100	10	5	TimeLimit	3600.0133559703827	A	116.0	553.0	669.0	1758.0	99.0	0.14655172413793102
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_3.txt	100	10	10	TimeLimit	3600.0338320732117	A	257.0	1121.0	1378.0	527.0	240.0	0.06614785992217899
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_4.txt	100	10	15	TimeLimit	3600.0976569652557	A	401.0	1571.0	1972.0	500.0	393.0	0.0199501246882793
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_5.txt	100	10	20	TimeLimit	3600.0546967983246	A	517.0	2244.0	2761.0	210.0	437.0	0.15473887814313347
