Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.01013493537902832	A	80.0	98.6046511627907	178.6046511627907	0.0	83.34883720930233
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.034124135971069336	A	96.53628144538703	101.33059852643322	197.86687997182025	0.0	119.00876214518449
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.011649131774902344	A	48.86046511627907	48.325581395348834	97.18604651162791	0.0	51.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	0.03662109375	A	85.84899494915025	122.34824414715717	208.19723909630744	0.0	86.00686386594771
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.007498979568481445	A	55.0	46.684500057663506	101.68450005766351	0.0	55.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.04765605926513672	A	97.80287581699346	115.73333333333338	213.53620915032684	0.0	105.09254901960784
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.036859989166259766	A	35.63754340421962	44.16343173792393	79.80097514214356	0.0	56.005847163554634
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.08240914344787598	A	97.16712108966789	108.36060907484213	205.52773016451002	0.0	159.78802573188747
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.024447917938232422	A	43.0	44.0	87.0	0.0	43.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	0.04870915412902832	A	98.20775731806162	123.71507731108304	221.92283462914466	0.0	128.936465360981
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.026242971420288086	A	52.0	42.4517185198024	94.4517185198024	0.0	52.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.06159615516662598	A	182.0	180.26440345368917	362.26440345368917	0.0	187.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.028108835220336914	A	60.31172839506172	136.3684523809524	196.6801807760141	0.0	66.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	0.0558619499206543	A	135.375	323.0	458.375	0.0	139.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	0.04673504829406738	A	52.54516053810596	66.56659974753084	119.1117602856368	0.0	73.56964851930218
