Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.04508805274963379	A	86.0	109.0	195.0	1.0	86.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.20466208457946777	A	133.0	184.0	317.0	1.0	133.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.10457706451416016	A	58.0	114.0	172.0	1.0	58.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	0.6174290180206299	A	104.0	194.0	298.0	10.0	104.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.03653097152709961	A	56.0	106.0	162.0	1.0	56.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.1607990264892578	A	114.0	224.0	338.0	1.0	114.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.680670976638794	A	75.0	110.0	185.0	1.0	75.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.26369619369506836	A	185.0	261.0	446.0	1.0	185.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.2667250633239746	A	48.0	109.0	157.0	8.0	48.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	1.111415147781372	A	147.0	274.0	421.0	28.0	147.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.06698799133300781	A	52.0	122.0	174.0	1.0	52.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.2810080051422119	A	187.0	256.0	443.0	1.0	187.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.18639302253723145	A	66.0	164.0	230.0	1.0	66.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	0.3686509132385254	A	145.0	314.0	459.0	1.0	145.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	1.61558198928833	A	99.0	152.0	251.0	64.0	99.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	2.0692410469055176	A	219.0	300.0	519.0	19.0	219.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	4.0678770542144775	A	75.0	131.0	206.0	330.0	75.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	1.9398870468139648	A	148.0	286.0	434.0	41.0	148.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	1.2624380588531494	A	68.0	162.0	230.0	1.0	68.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	13.361047983169556	A	158.0	346.0	504.0	671.0	158.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	2.215791940689087	A	105.0	156.0	261.0	44.0	105.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	4.922569990158081	A	251.0	383.0	634.0	54.0	251.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	13.883991003036499	A	77.0	153.0	230.0	1516.0	77.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	13.091458082199097	A	192.0	335.0	527.0	473.0	192.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_13_1.txt	40	13	4	Optimal	1.2569530010223389	A	83.0	197.0	280.0	5.0	83.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_13_2.txt	40	13	8	Optimal	15.125046014785767	A	178.0	360.0	538.0	589.0	178.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_4_1.txt	40	4	4	Optimal	6.444962978363037	A	117.0	199.0	316.0	178.0	117.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_4_2.txt	40	4	8	Optimal	18.98344087600708	A	264.0	418.0	682.0	312.0	264.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_8_1.txt	40	8	4	Optimal	3.3189640045166016	A	97.0	203.0	300.0	1.0	97.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_8_2.txt	40	8	8	Optimal	9.963207006454468	A	216.0	370.0	586.0	208.0	216.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_15_1.txt	45	15	4	Optimal	0.5292270183563232	A	83.0	190.0	273.0	1.0	83.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_15_2.txt	45	15	9	Optimal	1.1832709312438965	A	174.0	392.0	566.0	1.0	174.0	0.0
