Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_1.txt	200	67	3	Optimal	45.31788110733032	A	149.0	235.20269422037728	384.2026942203773	0.0	149.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_2.txt	200	67	5	Optimal	44.64489388465881	A	321.0	416.6094618317349	737.609461831735	0.0	321.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_3.txt	200	67	10	Optimal	150.94489693641663	A	564.0	1189.766129032258	1753.766129032258	0.0	564.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_4.txt	200	67	15	Optimal	112.74913191795349	A	720.8571428571429	1627.0	2347.857142857143	0.0	725.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_5.txt	200	67	20	Optimal	243.0016849040985	A	909.0	1933.7223713861106	2842.7223713861104	0.0	909.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_1.txt	300	5	3	Optimal	250.67355394363403	A	158.0	186.12163251505893	344.12163251505893	0.0	159.54004293354757
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_2.txt	300	5	5	Optimal	529.3895218372345	A	233.84607084631202	265.8178232861053	499.66389413241734	0.0	273.79076513427015
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_3.txt	300	5	10	Optimal	1996.986160993576	A	308.18659774587695	394.9990923550922	703.1856901009692	0.0	539.0137283458016
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_1.txt	300	10	3	Optimal	510.53340888023376	A	187.0	225.71480200983734	412.71480200983734	0.0	187.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_2.txt	300	10	5	Optimal	519.0619769096375	A	277.9804800786112	343.36557863867273	621.346058717284	0.0	288.99805252480155
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_3.txt	300	10	10	Optimal	851.3924279212952	A	378.45785655826063	576.2750930957353	954.732949653996	0.0	502.1384603007707
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_4.txt	300	10	15	Optimal	1898.658653974533	A	631.4807698058783	914.1842449497448	1545.665014755623	0.0	760.661120896579
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_1.txt	300	30	3	Optimal	61.938812017440796	A	153.0	328.0	481.0	0.0	153.0
