Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_1.txt	200	67	3	Optimal	76.78434705734253	A	149.0	397.0	546.0	1.0	149.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_2.txt	200	67	5	Optimal	128.01828789710999	A	321.0	754.0	1075.0	1.0	321.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_3.txt	200	67	10	Optimal	167.27774715423584	A	564.0	1265.0	1829.0	1.0	564.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_4.txt	200	67	15	Optimal	565.954891204834	A	725.0	2099.0	2824.0	1.0	725.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_5.txt	200	67	20	Optimal	446.47839403152466	A	909.0	2599.0	3508.0	1.0	909.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_1.txt	300	5	3	TimeLimit	3600.6531341075897	A	185.0	332.0	517.0	1.0	171.0	0.07567567567567568
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_2.txt	300	5	5	TimeLimit	3600.6545190811157	A	301.0	486.0	787.0	1.0	285.0	0.053156146179401995
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_3.txt	300	5	10	TimeLimit	3601.3959019184113	A	650.0	1165.0	1815.0	1.0	558.0	0.14153846153846153
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_4.txt	300	5	15	TimeLimit	3602.920142173767	A	1016.0	1305.0	2321.0	1.0	833.0	0.18011811023622049
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_5.txt	300	5	20	TimeLimit	3600.9445571899414	A	1227.0	1703.0	2930.0	1.0	1103.0	0.10105949470252648
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_1.txt	300	10	3	Optimal	1052.2175209522247	A	193.0	334.0	527.0	1.0	193.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_2.txt	300	10	5	TimeLimit	3600.507103204727	A	314.0	634.0	948.0	6.0	303.0	0.03503184713375796
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_3.txt	300	10	10	TimeLimit	3602.902517080307	A	765.0	1401.0	2166.0	1.0	525.0	0.3137254901960784
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_4.txt	300	10	15	TimeLimit	3602.6125299930573	A	980.0	1771.0	2751.0	1.0	792.0	0.19183673469387755
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_5.txt	300	10	20	TimeLimit	3600.8899960517883	A	1473.0	2106.0	3579.0	1.0	1143.0	0.2240325865580448
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_1.txt	300	30	3	Optimal	196.22056412696838	A	153.0	341.0	494.0	1.0	153.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_2.txt	300	30	5	Optimal	392.0109248161316	A	253.0	544.0	797.0	1.0	253.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_3.txt	300	30	10	Optimal	3342.893841981888	A	461.0	1276.0	1737.0	282.0	461.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_4.txt	300	30	15	TimeLimit	3603.065561056137	A	975.0	2122.0	3097.0	1.0	696.0	0.28615384615384615
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_5.txt	300	30	20	TimeLimit	3601.6696729660034	A	1009.0	2593.0	3602.0	1.0	886.0	0.12190287413280476
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_1.txt	300	60	3	Optimal	157.60216903686523	A	178.0	348.0	526.0	1.0	178.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_2.txt	300	60	5	Optimal	245.81287789344788	A	287.0	648.0	935.0	1.0	287.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_3.txt	300	60	10	Optimal	577.4140758514404	A	581.0	1183.0	1764.0	1.0	581.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_4.txt	300	60	15	Optimal	756.1671350002289	A	742.0	1842.0	2584.0	1.0	742.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_5.txt	300	60	20	Optimal	1185.1596689224243	A	989.0	2684.0	3673.0	1.0	989.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed15_1.txt	300	100	3	Optimal	104.24034094810486	A	131.0	301.0	432.0	1.0	131.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed15_2.txt	300	100	5	Optimal	217.54783606529236	A	235.0	557.0	792.0	1.0	235.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed15_3.txt	300	100	10	Optimal	407.4253680706024	A	498.0	1038.0	1536.0	1.0	498.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed15_4.txt	300	100	15	Optimal	719.4080290794373	A	597.0	1446.0	2043.0	1.0	597.0	0.0
