Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_1.txt	50	5	3	Optimal	1.1085929870605469	AB	55.5	55.5	111.0	0.0	134.10669691906173
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_2.txt	50	5	5	Optimal	2.5746850967407227	AB	114.116281713678	126.04145422372837	240.15773593740636	0.0	284.63088186382356
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_3.txt	50	5	10	Optimal	1.8574559688568115	AB	279.0913871037769	279.0211596841798	558.1125467879567	0.0	655.0485070288637
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_4.txt	50	5	15	Optimal	8.590728998184204	AB	355.3487410217694	350.29197156199365	705.640712583763	0.0	894.713346501628
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_5.txt	50	5	20	Optimal	9.208597898483276	AB	358.41021288206616	378.67819452083955	737.0884074029057	0.0	1106.289750928993
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_1.txt	100	10	3	Optimal	18.867448806762695	AB	56.911849820200985	59.05961026405345	115.97146008425443	0.0	123.0
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_2.txt	100	10	5	Optimal	42.71337389945984	AB	65.96484764013985	67.1045546795055	133.06940231964535	0.0	174.3114042686252
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_3.txt	100	10	10	Optimal	148.18016600608826	AB	154.65658448695098	154.48064192873093	309.1372264156819	0.0	388.9399607206698
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_4.txt	100	10	15	Optimal	146.28598189353943	AB	236.6100059555324	235.86595282742437	472.47595878295675	0.0	582.2152020206358
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_5.txt	100	10	20	Optimal	206.3490891456604	AB	319.7784334314821	320.6198167170613	640.3982501485434	0.0	770.1639277703115
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_1.txt	100	10	3	Optimal	74.7451901435852	AB	40.26092832522376	40.0	80.26092832522376	0.0	99.0
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_2.txt	100	10	5	Optimal	41.29807496070862	AB	78.22244927273069	73.77027435438227	151.99272362711295	0.0	191.50156960418468
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_3.txt	100	10	10	Optimal	197.6174099445343	AB	141.8095903109801	151.45414319838537	293.26373350936547	0.0	374.30987764329615
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_4.txt	100	10	15	Optimal	616.2771100997925	AB	294.44365533238073	299.54167011423317	593.9853254466138	0.0	689.2717101392147
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_5.txt	100	10	20	Optimal	679.7606551647186	AB	354.4920261967877	365.5845744485322	720.0766006453199	0.0	859.4112642766814
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_1.txt	100	10	3	Optimal	173.55742287635803	AB	62.334765565755646	65.95537496614999	128.29014053190565	0.0	133.68863486183608
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_2.txt	100	10	5	Optimal	162.78782415390015	AB	72.97881304689132	78.94297057032628	151.9217836172176	0.0	185.52524140815558
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_3.txt	100	10	10	Optimal	231.18910384178162	AB	151.6493143023224	156.34394155763138	307.9932558599538	0.0	369.5037609355125
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_4.txt	100	10	15	Optimal	322.9693250656128	AB	238.76560847563567	237.53659696025173	476.3022054358874	0.0	590.0445831477624
LP	../../instancesSurcharges/alpha0_1/Beasley/p13_5.txt	100	10	20	Optimal	651.5239248275757	AB	345.52716132279807	344.4718441297437	689.9990054525417	0.0	853.4315919357745
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_1.txt	100	10	3	Optimal	63.855345010757446	AB	48.31799039224218	48.25931669474082	96.577307086983	0.0	119.0
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_2.txt	100	10	5	Optimal	244.74340415000916	AB	80.24287054055448	79.15498737093405	159.39785791148853	0.0	183.79215347932518
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_3.txt	100	10	10	Optimal	278.98080015182495	AB	195.4441593313045	200.0630646049399	395.5072239362444	0.0	451.5477194583761
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_4.txt	100	10	15	Optimal	331.24259305000305	AB	239.86505436417553	226.1155743184849	465.98062868266044	0.0	610.1200296875361
LP	../../instancesSurcharges/alpha0_1/Beasley/p14_5.txt	100	10	20	Optimal	693.8115839958191	AB	368.6722918966612	374.41395940284684	743.086251299508	0.0	903.4477953301879
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_1.txt	100	10	3	Optimal	130.05007696151733	AB	42.218939940287676	41.77414434560637	83.99308428589404	0.0	102.97298833231278
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_2.txt	100	10	5	Optimal	211.75172305107117	AB	80.08597382751267	82.72536406583126	162.81133789334393	0.0	197.87242850976523
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_3.txt	100	10	10	Optimal	129.68478894233704	AB	148.11615111056307	144.24746603592826	292.3636171464913	0.0	369.8459200955464
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_4.txt	100	10	15	Optimal	173.09153699874878	AB	254.69190099578177	256.09543907879146	510.7873400745732	0.0	604.9274991506312
LP	../../instancesSurcharges/alpha0_1/Beasley/p15_5.txt	100	10	20	Optimal	567.4063050746918	AB	311.49219184317167	324.59087254700506	636.0830643901768	0.0	855.8945906676898
LP	../../instancesSurcharges/alpha0_1/Beasley/p16_1.txt	100	10	3	Optimal	117.14894604682922	AB	58.983258309286455	58.69456704849937	117.67782535778582	0.0	124.98125136344639
LP	../../instancesSurcharges/alpha0_1/Beasley/p16_2.txt	100	10	5	Optimal	224.14641499519348	AB	66.45298585613031	67.55020990988949	134.00319576601981	0.0	163.59748754384225
LP	../../instancesSurcharges/alpha0_1/Beasley/p16_3.txt	100	10	10	Optimal	187.28888607025146	AB	174.45241918314326	168.54950056521588	343.0019197483591	0.0	414.7748255158423
LP	../../instancesSurcharges/alpha0_1/Beasley/p16_4.txt	100	10	15	Optimal	496.9603650569916	AB	263.24481717224614	268.7813542383209	532.026171410567	0.0	627.3895993239553
LP	../../instancesSurcharges/alpha0_1/Beasley/p16_5.txt	100	10	20	Optimal	1187.693111896515	AB	322.4215736706086	323.99146410902733	646.4130377796359	0.0	793.3490214430377
LP	../../instancesSurcharges/alpha0_1/Beasley/p17_1.txt	100	10	3	Optimal	162.70522093772888	AB	51.787568437796125	52.816673454348695	104.60424189214481	0.0	113.17831063405029
LP	../../instancesSurcharges/alpha0_1/Beasley/p17_2.txt	100	10	5	Optimal	147.83200001716614	AB	69.98605696764226	69.47622280838713	139.4622797760294	0.0	162.16100292164603
LP	../../instancesSurcharges/alpha0_1/Beasley/p17_3.txt	100	10	10	Optimal	386.02640295028687	AB	167.6992268035632	173.05149272065563	340.7507195242188	0.0	429.0098060119009
LP	../../instancesSurcharges/alpha0_1/Beasley/p17_4.txt	100	10	15	Optimal	536.621631860733	AB	343.3463205275693	343.92719418843086	687.2735147160001	0.0	733.3513958921868
LP	../../instancesSurcharges/alpha0_1/Beasley/p17_5.txt	100	10	20	Optimal	766.3553748130798	AB	306.03039131274886	295.117433316185	601.1478246289339	0.0	793.4638718277852
LP	../../instancesSurcharges/alpha0_1/Beasley/p18_1.txt	100	10	3	Optimal	226.27122402191162	AB	55.2005634012137	56.32876852941883	111.52933193063254	0.0	113.73446013576074
LP	../../instancesSurcharges/alpha0_1/Beasley/p18_2.txt	100	10	5	Optimal	116.84191799163818	AB	72.22079855128402	74.15293395845521	146.37373250973923	0.0	180.29942189644424
LP	../../instancesSurcharges/alpha0_1/Beasley/p18_3.txt	100	10	10	Optimal	289.5142719745636	AB	147.09394745610308	149.78461517008463	296.8785626261877	0.0	372.37920307450486
LP	../../instancesSurcharges/alpha0_1/Beasley/p18_4.txt	100	10	15	Optimal	256.8392939567566	AB	259.20813405395984	252.90381564885453	512.1119497028144	0.0	606.3459372729968
LP	../../instancesSurcharges/alpha0_1/Beasley/p18_5.txt	100	10	20	Optimal	635.6041100025177	AB	294.92992073806056	313.542285384912	608.4722061229726	0.0	752.6636146128013
LP	../../instancesSurcharges/alpha0_1/Beasley/p19_1.txt	100	10	3	Optimal	74.78618216514587	AB	54.39875925838501	55.29360784452624	109.69236710291125	0.0	121.92363242324082
LP	../../instancesSurcharges/alpha0_1/Beasley/p19_2.txt	100	10	5	Optimal	76.15615487098694	AB	72.77827885859433	76.77378353241005	149.55206239100437	0.0	181.40576467757603
LP	../../instancesSurcharges/alpha0_1/Beasley/p19_3.txt	100	10	10	Optimal	211.1114580631256	AB	147.28597290131617	144.63673153896448	291.92270444028065	0.0	374.6347393926969
LP	../../instancesSurcharges/alpha0_1/Beasley/p19_4.txt	100	10	15	Optimal	323.53297901153564	AB	256.25040393935654	256.5095316076926	512.7599355470492	0.0	617.7907196463382
LP	../../instancesSurcharges/alpha0_1/Beasley/p19_5.txt	100	10	20	Optimal	457.7981069087982	AB	302.36206864248265	311.23183556291366	613.5939042053963	0.0	758.5488254908084
LP	../../instancesSurcharges/alpha0_1/Beasley/p1_1.txt	50	5	3	Optimal	3.955432891845703	AB	50.5	50.5	101.0	0.0	128.78840395935205
LP	../../instancesSurcharges/alpha0_1/Beasley/p1_2.txt	50	5	5	Optimal	4.581127882003784	AB	92.68088669675609	96.17979825540324	188.86068495215932	0.0	247.67406717320057
LP	../../instancesSurcharges/alpha0_1/Beasley/p1_3.txt	50	5	10	Optimal	7.301046848297119	AB	195.56108333048252	202.09442060946176	397.6555039399443	0.0	591.091310949066
LP	../../instancesSurcharges/alpha0_1/Beasley/p1_4.txt	50	5	15	Optimal	19.253090858459473	AB	293.7333039449828	287.4857705583034	581.2190745032863	0.0	744.4387988469811
LP	../../instancesSurcharges/alpha0_1/Beasley/p1_5.txt	50	5	20	Optimal	28.774863958358765	AB	349.6720462217944	352.75824513246357	702.430291354258	0.0	981.084042249802
LP	../../instancesSurcharges/alpha0_1/Beasley/p20_1.txt	100	10	3	Optimal	192.19224190711975	AB	51.28442954077721	50.371645876437626	101.65607541721484	0.0	109.44546050862799
LP	../../instancesSurcharges/alpha0_1/Beasley/p20_2.txt	100	10	5	Optimal	87.09553980827332	AB	66.9378919193478	70.34454478519339	137.2824367045412	0.0	162.0936769056834
LP	../../instancesSurcharges/alpha0_1/Beasley/p20_3.txt	100	10	10	Optimal	161.92248678207397	AB	147.24823531090294	148.88209844149992	296.13033375240286	0.0	360.2651452490438
LP	../../instancesSurcharges/alpha0_1/Beasley/p20_4.txt	100	10	15	Optimal	357.9724349975586	AB	234.88243448051855	226.0546856009446	460.93712008146315	0.0	577.286380611142
