Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap	 As_pmedian	 Bs_pmedian	 As+Bs_pmedian
../instancesSurcharges/alpha0_1/pmed/pmed10_1.txt	200	67	3	Optimal	17.063480138778687	AB	149.0	196.0	345.0	1.0	345.0	0.0	70.51	139.25	209.76
../instancesSurcharges/alpha0_1/pmed/pmed10_2.txt	200	67	5	Optimal	22.657747983932495	AB	321.0	400.0	721.0	1.0	721.0	0.0	145.3	246.91	392.21
../instancesSurcharges/alpha0_1/pmed/pmed10_3.txt	200	67	10	Optimal	109.65578699111938	AB	564.0	756.0	1320.0	1.0	1320.0	0.0	225.96	515.67	741.63
../instancesSurcharges/alpha0_1/pmed/pmed10_4.txt	200	67	15	Optimal	200.50279903411865	AB	725.0	1073.0	1798.0	1.0	1798.0	0.0	360.78	744.39	1105.17
../instancesSurcharges/alpha0_1/pmed/pmed10_5.txt	200	67	20	Optimal	315.4823729991913	AB	909.0	1362.0	2271.0	1.0	2271.0	0.0	379.29	870.41	1249.7
../instancesSurcharges/alpha0_1/pmed/pmed11_1.txt	300	5	3	Optimal	2016.5956919193268	AB	189.0	204.0	393.0	628.0	393.0	0.0	105.47	143.74	249.21
../instancesSurcharges/alpha0_1/pmed/pmed11_2.txt	300	5	5	Optimal	2164.7313339710236	AB	306.0	353.0	659.0	59.0	659.0	0.0	164.38	223.94	388.32
../instancesSurcharges/alpha0_1/pmed/pmed11_3.txt	300	5	10	TimeLimit	3600.4459359645844	AB	618.0	700.0	1318.0	1.0	1266.0	0.03945371775417299	308.01	455.19	763.2
../instancesSurcharges/alpha0_1/pmed/pmed11_4.txt	300	5	15	TimeLimit	3600.2210450172424	AB	987.0	1106.0	2093.0	1.0	1886.0	0.0989010989010989	472.79	714.76	1187.55
../instancesSurcharges/alpha0_1/pmed/pmed11_5.txt	300	5	20	TimeLimit	3606.146470785141	AB	1235.0	1417.0	2652.0	1.0	2461.0	0.07202111613876319	581.72	932.06	1513.78
../instancesSurcharges/alpha0_1/pmed/pmed12_1.txt	300	10	3	Optimal	1165.827131986618	AB	197.0	220.0	417.0	1399.0	417.0	0.0	107.92	153.68	261.6
../instancesSurcharges/alpha0_1/pmed/pmed12_2.txt	300	10	5	TimeLimit	3600.090651988983	AB	332.0	369.0	701.0	1.0	689.0	0.017118402282453638	184.88	253.12	438.0
../instancesSurcharges/alpha0_1/pmed/pmed12_3.txt	300	10	10	TimeLimit	3601.3169248104095	AB	591.0	770.0	1361.0	1.0	1254.0	0.07861866274797942	346.31	554.29	900.6
../instancesSurcharges/alpha0_1/pmed/pmed12_4.txt	300	10	15	TimeLimit	3600.2263100147247	AB	922.0	1042.0	1964.0	1.0	1814.0	0.07637474541751528	485.22	797.08	1282.3
../instancesSurcharges/alpha0_1/pmed/pmed12_5.txt	300	10	20	TimeLimit	3600.299138069153	AB	1226.0	1470.0	2696.0	1.0	2559.0	0.0508160237388724	720.58	1036.58	1757.16
../instancesSurcharges/alpha0_1/pmed/pmed13_1.txt	300	30	3	Optimal	172.78545308113098	AB	155.0	173.0	328.0	1.0	328.0	0.0	93.09	136.47	229.56
../instancesSurcharges/alpha0_1/pmed/pmed13_2.txt	300	30	5	Optimal	308.1072950363159	AB	254.0	278.0	532.0	1.0	532.0	0.0	154.47	247.13	401.6
../instancesSurcharges/alpha0_1/pmed/pmed13_3.txt	300	30	10	TimeLimit	3602.3189890384674	AB	494.0	557.0	1051.0	1.0	1025.0	0.024738344433872503	308.41	459.84	768.25
../instancesSurcharges/alpha0_1/pmed/pmed13_4.txt	300	30	15	TimeLimit	3600.2017900943756	AB	1009.0	1141.0	2150.0	1.0	1532.0	0.2874418604651163	331.46	713.03	1044.49
../instancesSurcharges/alpha0_1/pmed/pmed13_5.txt	300	30	20	TimeLimit	3600.3041710853577	AB	953.0	1079.0	2032.0	1.0	1946.0	0.04232283464566929	546.6	831.51	1378.11
../instancesSurcharges/alpha0_1/pmed/pmed14_1.txt	300	60	3	Optimal	47.52970886230469	AB	178.0	199.0	377.0	1.0	377.0	0.0	83.52	135.15	218.67
../instancesSurcharges/alpha0_1/pmed/pmed14_2.txt	300	60	5	Optimal	107.8397970199585	AB	287.0	328.0	615.0	1.0	615.0	0.0	175.29	244.16	419.45
../instancesSurcharges/alpha0_1/pmed/pmed14_3.txt	300	60	10	Optimal	411.4881999492645	AB	581.0	687.0	1268.0	1.0	1268.0	0.0	242.4	505.9	748.3
../instancesSurcharges/alpha0_1/pmed/pmed14_4.txt	300	60	15	Optimal	1024.9853370189667	AB	742.0	1003.0	1745.0	1.0	1745.0	0.0	605.05	871.41	1476.46
