Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha0_1/pmed/pmed10_1.txt	200	67	3	Optimal	28.035330057144165	AB	133.8307638407124	138.66308943089433	272.4938532716067	0.0	302.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed10_2.txt	200	67	5	Optimal	81.33485913276672	AB	232.97710788276942	275.86434352057097	508.8414514033404	0.0	671.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed10_3.txt	200	67	10	Optimal	114.68858098983765	AB	523.3517783350003	585.0756932318081	1108.4274715668084	0.0	1225.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed10_4.txt	200	67	15	Optimal	142.3874499797821	AB	705.1145485961055	714.566471492885	1419.6810200889904	0.0	1534.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed10_5.txt	200	67	20	Optimal	238.835599899292	AB	849.1363281011552	928.4009694110624	1777.5372975122177	0.0	1981.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed11_1.txt	300	5	3	Optimal	470.0531499385834	AB	99.9031667430221	103.50000000000003	203.40316674302213	0.0	322.9489660485606
LP	../../instancesSurcharges/alpha0_1/pmed/pmed11_2.txt	300	5	5	Optimal	583.9180979728699	AB	165.0	174.0	339.0	0.0	561.0987866203911
LP	../../instancesSurcharges/alpha0_1/pmed/pmed11_3.txt	300	5	10	Optimal	1330.0529389381409	AB	308.9076718910065	310.9452313915382	619.8529032825447	0.0	1078.027456691603
LP	../../instancesSurcharges/alpha0_1/pmed/pmed12_1.txt	300	10	3	Optimal	273.72878098487854	AB	154.29464668076707	181.39497660500973	335.6896232857768	0.0	396.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed12_2.txt	300	10	5	Optimal	419.62119793891907	AB	184.76692016729726	184.46088149242644	369.2278016597237	0.0	590.4883760618602
LP	../../instancesSurcharges/alpha0_1/pmed/pmed12_3.txt	300	10	10	Optimal	1856.8992681503296	AB	354.2213497621423	372.50345379121654	726.7248035533589	0.0	1004.7995403784704
LP	../../instancesSurcharges/alpha0_1/pmed/pmed12_4.txt	300	10	15	Optimal	1430.381562948227	AB	484.50781224213875	510.20128199645046	994.7090942385892	0.0	1527.9882507113505
LP	../../instancesSurcharges/alpha0_1/pmed/pmed12_5.txt	300	10	20	Optimal	2754.229813814163	AB	715.8798583294463	726.8772077864136	1442.7570661158597	0.0	2261.3261944430474
LP	../../instancesSurcharges/alpha0_1/pmed/pmed13_1.txt	300	30	3	Optimal	69.62997794151306	AB	157.27058029689607	154.39634801288935	311.6669283097854	0.0	323.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed13_2.txt	300	30	5	Optimal	196.52040815353394	AB	240.31116000508476	250.90691163224997	491.21807163733473	0.0	516.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed13_3.txt	300	30	10	Optimal	1074.5700039863586	AB	460.76158411668956	474.4273683742656	935.1889524909552	0.0	968.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed13_4.txt	300	30	15	Optimal	1418.2133631706238	AB	641.8947066387848	680.8959134258168	1322.7906200646016	0.0	1452.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed13_5.txt	300	30	20	Optimal	1679.238713979721	AB	770.2955347037017	828.2014289652011	1598.496963668903	0.0	1798.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed14_1.txt	300	60	3	Optimal	54.224080085754395	AB	170.0	174.45637354131935	344.45637354131935	0.0	370.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed14_2.txt	300	60	5	Optimal	133.26084303855896	AB	282.813956526453	291.2311780882228	574.0451346146758	0.0	610.0
LP	../../instancesSurcharges/alpha0_1/pmed/pmed14_3.txt	300	60	10	Optimal	187.6617341041565	AB	560.6729050349289	585.743554570313	1146.416459605242	0.0	1231.0
