Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap	 As_pmedian	 Bs_pmedian	 As+Bs_pmedian
../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.0723118782043457	AB	90.0	105.0	195.0	1.0	195.0	0.0	51.82	80.78	132.6
../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.19491314888000488	AB	133.0	184.0	317.0	1.0	317.0	0.0	76.27	148.05	224.32
../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.5600590705871582	AB	62.0	72.0	134.0	8.0	134.0	0.0	32.18	56.16	88.34
../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	1.3017680644989014	AB	104.0	148.0	252.0	20.0	252.0	0.0	51.77	109.32	161.09
../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.09704995155334473	AB	59.0	71.0	130.0	1.0	130.0	0.0	31.62	55.09	86.71
../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.5611798763275146	AB	117.0	140.0	257.0	1.0	257.0	0.0	68.58	111.71	180.29
../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	1.6661639213562012	AB	83.0	98.0	181.0	1.0	181.0	0.0	47.47	67.35	114.82
../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.4516000747680664	AB	190.0	230.0	420.0	1.0	420.0	0.0	110.12	169.93	280.05
../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.66597580909729	AB	51.0	64.0	115.0	1.0	115.0	0.0	31.21	53.99	85.2
../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	2.7390778064727783	AB	148.0	187.0	335.0	121.0	335.0	0.0	89.52	149.94	239.46
../instancesSurcharges/alpha0_2/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.10714888572692871	AB	52.0	74.0	126.0	1.0	126.0	0.0	28.46	56.56	85.02
