Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.03876304626464844	AB	48.97169811320755	50.47169811320755	99.4433962264151	0.0	172.2830188679245
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.04309201240539551	AB	67.13313238369687	63.2844829229636	130.41761530666048	0.0	244.68749962991703
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.014717817306518555	AB	45.5	40.49999999999999	86.0	0.0	107.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	0.03036189079284668	AB	61.951039020259266	64.66283629730962	126.6138753175689	0.0	182.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.01193094253540039	AB	51.274957546168544	46.200680894143005	97.47563844031154	0.0	115.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.044332027435302734	AB	78.85991379310344	71.28183817040782	150.14175196351127	0.0	222.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.03935408592224121	AB	37.171160629295954	31.45295668097591	68.62411731027186	0.0	112.02469928675495
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.09364986419677734	AB	95.05590679179534	96.76142221493669	191.81732900673202	0.0	319.5590691598024
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.027029037475585938	AB	40.5	36.30837047737894	76.80837047737894	0.0	107.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	0.08372998237609863	AB	86.06164524172215	86.92132505175984	172.98297029348197	0.0	268.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.015067815780639648	AB	46.37533074184171	57.603967168262656	103.97929791010436	0.0	126.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.04296302795410156	AB	184.0	194.807100591716	378.807100591716	0.0	396.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.03211379051208496	AB	61.77499999999999	57.997776044119334	119.77277604411933	0.0	133.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	0.08178210258483887	AB	142.42425496740037	138.21476011457213	280.6390150819725	0.0	323.00000000000006
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	0.07127213478088379	AB	57.0	57.5	114.5	0.0	152.42009885352778
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	0.14980292320251465	AB	109.08273393655881	120.15106219411815	229.23379613067698	0.0	385.9492900096673
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	0.08774209022521973	AB	45.5	49.5	95.0	0.0	113.0036374063688
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	0.05617403984069824	AB	96.02089378626549	92.28431033355315	188.30520411981865	0.0	260.1894138511339
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	0.0762491226196289	AB	62.654053289843304	65.71982389909007	128.37387718893336	0.0	139.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	0.2257061004638672	AB	119.86538461538461	125.94565217391306	245.81103678929767	0.0	280.0
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	0.14949917793273926	AB	66.0	65.49999999999996	131.49999999999994	0.0	182.44091866659696
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	0.3342270851135254	AB	134.55497681641458	138.60468335400415	273.15966017041876	0.0	444.66478223606657
LP	../../instancesSurcharges/alpha0_2/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	0.10585713386535645	AB	55.41810344827586	54.0	109.41810344827586	0.0	126.0
