Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
../../instancesSurcharges/alpha0_3/GalvaoData/G1_1.txt	AB	INFEASIBLE
../../instancesSurcharges/alpha0_3/GalvaoData/G1_2.txt	AB	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G1_3.txt	100	5	10	Optimal	315.9972040653229	AB	818.1720161016126	825.1763171218054	1643.348333223418	0.0	1797.9240586148458
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G1_4.txt	100	5	15	Optimal	555.2128469944	AB	1356.007677830181	1360.4675210212677	2716.4751988514486	0.0	2849.9194093630194
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G1_5.txt	100	5	20	Optimal	324.0616500377655	AB	1332.7063869587025	1323.7561813947361	2656.4625683534387	0.0	3637.498056867129
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_1.txt	100	5	3	Optimal	67.33265399932861	AB	227.8245758523425	225.06252494928435	452.88710080162684	0.0	490.21065838399903
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_2.txt	100	5	5	Optimal	86.46172404289246	AB	224.6684224115932	236.33822393196843	461.00664634356167	0.0	771.7515965749752
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_3.txt	100	5	10	Optimal	241.18293404579163	AB	510.8209277773555	519.6694754084768	1030.4904031858323	0.0	1677.677640166784
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_4.txt	100	5	15	Optimal	574.0159630775452	AB	813.7910355686003	820.34762342798	1634.1386589965803	0.0	2611.629195803779
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_5.txt	100	5	20	Optimal	220.37091207504272	AB	1389.5213428379848	1400.4216811979422	2789.943024035927	0.0	3513.123662413855
../../instancesSurcharges/alpha0_3/GalvaoData/G3_1.txt	AB	INFEASIBLE
../../instancesSurcharges/alpha0_3/GalvaoData/G3_2.txt	AB	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G3_3.txt	100	10	10	Optimal	333.2453148365021	AB	834.8665982922685	834.8361549716781	1669.7027532639465	0.0	1695.3912472918435
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G3_4.txt	100	10	15	Optimal	452.12524604797363	AB	1375.361343653215	1373.7675530587624	2749.128896711977	0.0	2763.227662490479
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G3_5.txt	100	10	20	Optimal	750.5339801311493	AB	1717.8975743680196	1729.212102772584	3447.1096771406037	0.0	3501.2277739353995
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_1.txt	100	10	3	Optimal	47.42581796646118	AB	217.88118977982737	220.36306043517283	438.2442502150002	0.0	440.72612087034565
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_2.txt	100	10	5	Optimal	139.7767629623413	AB	318.97843988366424	339.14171102273394	658.1201509063982	0.0	695.9694714363436
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_3.txt	100	10	10	Optimal	238.62432193756104	AB	701.4565235477779	696.0451835351276	1397.5017070829056	0.0	1487.1066666508325
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_4.txt	100	10	15	Optimal	504.9939160346985	AB	1192.3076307781453	1189.482478055629	2381.790108833774	0.0	2449.5926014321553
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_5.txt	100	10	20	Optimal	430.1062591075897	AB	1351.7520708807265	1398.1568716520233	2749.9089425327497	0.0	3201.5348979628507
../../instancesSurcharges/alpha0_3/GalvaoData/G5_1.txt	AB	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G5_2.txt	150	10	5	Optimal	429.66028809547424	AB	528.7539472988889	529.5377774860654	1058.291724784954	0.0	1059.6961329031462
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G5_3.txt	150	10	10	Optimal	1176.0025041103363	AB	929.7556835914876	940.5562039839763	1870.311887575464	0.0	1894.40207297051
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_1.txt	150	10	3	Optimal	173.42167615890503	AB	298.0016538864742	298.0016538864742	596.0033077729483	0.0	596.0033077729483
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_2.txt	150	10	5	Optimal	375.94006991386414	AB	451.92069733184434	450.1871580211243	902.1078553529686	0.0	915.9015106079715
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_3.txt	150	10	10	Optimal	1070.872365951538	AB	800.8351669749011	843.7092216019536	1644.5443885768545	0.0	1807.8237176786834
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_4.txt	150	10	15	Optimal	3452.8066568374634	AB	1409.2302639170482	1424.0831426471889	2833.313406564237	0.0	2862.4777938254547
../../instancesSurcharges/alpha0_3/GalvaoData/G7_1.txt	AB	INFEASIBLE
../../instancesSurcharges/alpha0_3/GalvaoData/G7_2.txt	AB	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G7_3.txt	150	15	10	Optimal	1325.248204946518	AB	907.8785678701095	911.7453268425503	1819.6238947126599	0.0	1828.9964898330284
../../instancesSurcharges/alpha0_3/GalvaoData/G8_1.txt	AB	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G8_2.txt	150	15	5	Optimal	277.6663348674774	AB	407.23589446144564	415.92306508936963	823.1589595508153	0.0	844.3840687844439
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G8_3.txt	150	15	10	Optimal	577.0437579154968	AB	870.9591881759843	865.5520261217638	1736.5112142977482	0.0	1753.9179474611283
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G8_5.txt	150	15	20	Optimal	3364.9538300037384	AB	1734.8665182322218	1755.027174208918	3489.89369244114	0.0	3529.7556151694516
