Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
../../instancesSurcharges/alpha0_3/Lorena/SJC1_1.dat	AB	INFEASIBLE
../../instancesSurcharges/alpha0_3/Lorena/SJC1_2.dat	AB	INFEASIBLE
../../instancesSurcharges/alpha0_3/Lorena/SJC1_3.dat	AB	INFEASIBLE
../../instancesSurcharges/alpha0_3/Lorena/SJC1_4.dat	AB	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC1_5.dat	100	10	20	Optimal	963.4034759998322	AB	10047.617418232701	10344.596307875074	20392.213726107773	0.0	21150.72046820136
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC2_1.dat	200	15	3	Optimal	784.6009089946747	AB	816.2022450356906	773.0713201608662	1589.2735651965568	0.0	1724.3744510231732
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC2_2.dat	200	15	5	Optimal	3176.5412068367004	AB	2086.1603678565925	2078.2846347500285	4164.445002606621	0.0	4201.193956101106
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC3a_1.dat	300	25	3	Optimal	2021.2024009227753	AB	643.2912787572947	674.6853337494259	1317.9766125067206	0.0	1420.0081438464902
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC3b_1.dat	300	30	3	Optimal	332.03016209602356	AB	562.4335921060505	571.412281371539	1133.8458734775895	0.0	1365.0
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC3b_2.dat	300	30	5	Optimal	1056.5996959209442	AB	1031.0782936897322	1036.543651412894	2067.6219451026263	0.0	2361.0
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC4a_1.dat	402	30	3	Optimal	1283.3493039608002	AB	727.2290823328841	709.2479217777432	1436.4770041106271	0.0	1517.0
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC4b_1.dat	402	40	3	Optimal	273.0660409927368	AB	738.6052752587727	693.2249988763435	1431.8302741351163	0.0	1517.0
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC4b_2.dat	402	40	5	Optimal	930.4258458614349	AB	1127.0011960149477	1094.667815323305	2221.669011338253	0.0	2458.0
