Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.05480480194091797	AB	90.0	105.0	195.0	1.0	195.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.15569305419921875	AB	133.0	184.0	317.0	1.0	317.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.2968571186065674	AB	61.0	73.0	134.0	14.0	134.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	0.8298590183258057	AB	104.0	148.0	252.0	91.0	252.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.07474589347839355	AB	59.0	71.0	130.0	1.0	130.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.41817808151245117	AB	117.0	140.0	257.0	1.0	257.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	1.1737661361694336	AB	78.0	103.0	181.0	16.0	181.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.35779714584350586	AB	190.0	230.0	420.0	1.0	420.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.602431058883667	AB	50.0	65.0	115.0	1.0	115.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	1.786679983139038	AB	148.0	187.0	335.0	119.0	335.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.07674384117126465	AB	52.0	74.0	126.0	1.0	126.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.16708087921142578	AB	189.0	213.0	402.0	1.0	402.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.23425912857055664	AB	69.0	89.0	158.0	1.0	158.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	1.5927479267120361	AB	152.0	206.0	358.0	54.0	358.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	1.6142590045928955	AB	100.0	123.0	223.0	62.0	223.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	2.07749605178833	AB	226.0	263.0	489.0	54.0	489.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	8.910706043243408	AB	75.0	103.0	178.0	949.0	178.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	2.5196890830993652	AB	150.0	196.0	346.0	71.0	346.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	2.7559080123901367	AB	71.0	83.0	154.0	115.0	154.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	19.092712879180908	AB	160.0	206.0	366.0	840.0	366.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	2.833782911300659	AB	108.0	131.0	239.0	85.0	239.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	5.959043025970459	AB	255.0	293.0	548.0	56.0	548.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	36.43531107902527	AB	79.0	95.0	174.0	2218.0	174.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	18.067681789398193	AB	196.0	231.0	427.0	1987.0	427.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea40_13_1.txt	40	13	4	Optimal	10.894518852233887	AB	85.0	106.0	191.0	938.0	191.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea40_13_2.txt	40	13	8	Optimal	15.193092107772827	AB	178.0	223.0	401.0	434.0	401.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea40_4_1.txt	40	4	4	Optimal	8.878031969070435	AB	123.0	146.0	269.0	231.0	269.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea40_4_2.txt	40	4	8	Optimal	16.712950944900513	AB	275.0	308.0	583.0	365.0	583.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Aleatoire/alea40_8_1.txt	40	8	4	Optimal	22.23491597175598	AB	108.0	123.0	231.0	1282.0	231.0	0.0
