Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_1.txt	200	67	3	Optimal	24.959482192993164	AB	149.0	196.0	345.0	1.0	345.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_2.txt	200	67	5	Optimal	64.33669090270996	AB	321.0	400.0	721.0	1.0	721.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_3.txt	200	67	10	Optimal	186.41347312927246	AB	564.0	756.0	1320.0	1.0	1320.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_4.txt	200	67	15	Optimal	396.6534478664398	AB	725.0	1073.0	1798.0	1.0	1798.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_5.txt	200	67	20	Optimal	541.8931310176849	AB	909.0	1362.0	2271.0	1.0	2271.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_1.txt	300	5	3	Optimal	2698.9457020759583	AB	189.0	204.0	393.0	702.0	393.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_2.txt	300	5	5	Optimal	3497.7747750282288	AB	306.0	353.0	659.0	91.0	659.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_3.txt	300	5	10	TimeLimit	3600.266566991806	AB	618.0	700.0	1318.0	1.0	1247.0	0.05386949924127466
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_4.txt	300	5	15	TimeLimit	3601.399885892868	AB	1024.0	1078.0	2102.0	1.0	1880.0	0.10561370123691723
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_5.txt	300	5	20	TimeLimit	3600.459029197693	AB	1228.0	1420.0	2648.0	1.0	2459.0	0.07137462235649547
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_1.txt	300	10	3	Optimal	2982.407569885254	AB	197.0	220.0	417.0	3386.0	417.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_2.txt	300	10	5	TimeLimit	3600.2030849456787	AB	332.0	369.0	701.0	774.0	687.0	0.019971469329529243
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_3.txt	300	10	10	TimeLimit	3600.2663168907166	AB	591.0	762.0	1353.0	1.0	1249.0	0.07686622320768663
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_4.txt	300	10	15	TimeLimit	3600.2405779361725	AB	922.0	1046.0	1968.0	1.0	1804.0	0.08333333333333333
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_5.txt	300	10	20	TimeLimit	3600.3116359710693	AB	1244.0	1450.0	2694.0	1.0	2542.0	0.05642167780252413
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_1.txt	300	30	3	Optimal	137.15991497039795	AB	155.0	173.0	328.0	1.0	328.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_2.txt	300	30	5	Optimal	392.9159240722656	AB	254.0	278.0	532.0	1.0	532.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_3.txt	300	30	10	TimeLimit	3600.2521789073944	AB	493.0	562.0	1055.0	1.0	1024.0	0.029383886255924172
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_4.txt	300	30	15	TimeLimit	3600.542825937271	AB	1009.0	1141.0	2150.0	1.0	1531.0	0.287906976744186
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_5.txt	300	30	20	TimeLimit	3600.30370593071	AB	946.0	1093.0	2039.0	1.0	1931.0	0.052967140755272195
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_1.txt	300	60	3	Optimal	73.8229751586914	AB	178.0	199.0	377.0	1.0	377.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_2.txt	300	60	5	Optimal	117.1818630695343	AB	287.0	328.0	615.0	1.0	615.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_3.txt	300	60	10	Optimal	451.7247679233551	AB	581.0	687.0	1268.0	1.0	1268.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_4.txt	300	60	15	Optimal	1067.894817829132	AB	742.0	1003.0	1745.0	1.0	1745.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_5.txt	300	60	20	Optimal	943.8478498458862	AB	989.0	1323.0	2312.0	1.0	2312.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_1.txt	300	100	3	Optimal	41.19234299659729	AB	131.0	158.0	289.0	1.0	289.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_2.txt	300	100	5	Optimal	111.62002992630005	AB	235.0	251.0	486.0	1.0	486.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_3.txt	300	100	10	Optimal	318.90359711647034	AB	498.0	589.0	1087.0	1.0	1087.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_4.txt	300	100	15	Optimal	679.3541069030762	AB	597.0	719.0	1316.0	1.0	1316.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_5.txt	300	100	20	Optimal	2019.1708359718323	AB	988.0	1108.0	2096.0	1.0	2096.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_1.txt	400	5	3	TimeLimit	3600.3032281398773	AB	156.0	165.0	321.0	403.0	313.0	0.024922118380062305
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_2.txt	400	5	5	TimeLimit	3600.2043368816376	AB	235.0	274.0	509.0	1.0	501.0	0.015717092337917484
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_3.txt	400	5	10	TimeLimit	3607.7877469062805	AB	485.0	553.0	1038.0	1.0	994.0	0.04238921001926782
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_4.txt	400	5	15	TimeLimit	3600.4160039424896	AB	750.0	855.0	1605.0	1.0	1518.0	0.05420560747663551
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_5.txt	400	5	20	TimeLimit	3604.093202114105	AB	997.0	1102.0	2099.0	1.0	1972.0	0.060505002382086705
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed17_1.txt	400	10	3	TimeLimit	3600.1385409832	AB	132.0	145.0	277.0	121.0	260.0	0.061371841155234655
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed17_2.txt	400	10	5	TimeLimit	3600.1388459205627	AB	221.0	248.0	469.0	1.0	425.0	0.09381663113006397
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed17_3.txt	400	10	10	TimeLimit	3600.2985858917236	AB	438.0	511.0	949.0	1.0	876.0	0.07692307692307693
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed17_4.txt	400	10	15	TimeLimit	3601.3493299484253	AB	705.0	786.0	1491.0	1.0	1257.0	0.15694164989939638
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed17_5.txt	400	10	20	TimeLimit	3600.602030992508	AB	919.0	991.0	1910.0	1.0	1722.0	0.09842931937172775
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed18_1.txt	400	40	3	Optimal	99.99217486381531	AB	146.0	168.0	314.0	1.0	314.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed18_2.txt	400	40	5	Optimal	207.9467489719391	AB	262.0	276.0	538.0	1.0	538.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed18_3.txt	400	40	10	TimeLimit	3600.475380897522	AB	478.9999613161912	526.0	1004.9999613161913	1.0	996.0	0.008955185733942255
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed18_4.txt	400	40	15	TimeLimit	3607.9620978832245	AB	590.0	719.0	1309.0	1.0	1270.0	0.029793735676088617
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed18_5.txt	400	40	20	TimeLimit	3600.549679040909	AB	1220.0	1276.0	2496.0	1.0	1790.0	0.2828525641025641
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed19_1.txt	400	80	3	Optimal	73.34490299224854	AB	104.0	110.0	214.0	1.0	214.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed19_2.txt	400	80	5	Optimal	219.9240460395813	AB	164.0	180.0	344.0	1.0	344.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed19_3.txt	400	80	10	Optimal	1037.7550420761108	AB	345.0	368.0	713.0	1.0	713.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed19_4.txt	400	80	15	TimeLimit	3600.36634683609	AB	498.0	564.0	1062.0	1.0	1057.0	0.004708097928436911
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed19_5.txt	400	80	20	TimeLimit	3600.5042629241943	AB	669.0	772.0	1441.0	1.0	1392.0000000000002	0.034004163775155985
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed1_1.txt	100	5	3	Optimal	172.81854796409607	AB	393.0	477.0	870.0	1062.0	870.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed1_2.txt	100	5	5	Optimal	453.02221298217773	AB	676.0	801.0	1477.0	1831.0	1477.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed1_3.txt	100	5	10	Optimal	2044.952672958374	AB	1368.0	1734.0	3102.0	3203.0	3102.0	0.0
