Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_1.txt	50	5	3	Optimal	0.781822919845581	AB	52.98865582815964	53.858735625840964	106.8473914540006	0.0	131.25088353636835
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_2.txt	50	5	5	Optimal	2.1315550804138184	AB	121.57210015537086	124.56748907619979	246.13958923157065	0.0	275.47629808360387
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_3.txt	50	5	10	Optimal	4.675528049468994	AB	301.309227105721	298.0566902090144	599.3659173147354	0.0	693.5085667880572
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_4.txt	50	5	15	Optimal	9.192016839981079	AB	322.6525741648387	344.679027144101	667.3316013089398	0.0	870.2946686372443
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_5.txt	50	5	20	Optimal	20.368425130844116	AB	376.9000643011123	380.04286478900826	756.9429290901205	0.0	1110.066836604029
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_1.txt	100	10	3	Optimal	5.755918979644775	AB	58.736252747496664	56.47101990078595	115.20727264828261	0.0	123.0
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_2.txt	100	10	5	Optimal	73.76828002929688	AB	65.21161069129506	63.92296372399815	129.13457441529323	0.0	173.98395375074404
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_3.txt	100	10	10	Optimal	215.93615293502808	AB	162.11833194232563	158.94766405682554	321.06599599915114	0.0	392.7529907253491
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_4.txt	100	10	15	Optimal	292.594614982605	AB	227.14902069160559	230.73430879391364	457.8833294855192	0.0	575.9593077407134
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_5.txt	100	10	20	Optimal	594.1153728961945	AB	325.621723353493	322.70802768314627	648.3297510366392	0.0	770.0028775299664
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_1.txt	100	10	3	Optimal	135.73131394386292	AB	39.28784811734603	41.321702882592554	80.60955099993859	0.0	99.0
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_2.txt	100	10	5	Optimal	44.750783920288086	AB	75.81666693889369	77.42190549632446	153.23857243521815	0.0	190.97157210168368
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_3.txt	100	10	10	Optimal	222.44686102867126	AB	142.33040094694223	153.24060334781825	295.5710042947605	0.0	375.27409158936877
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_4.txt	100	10	15	Optimal	688.9224519729614	AB	295.7453400401241	298.2959453624874	594.0412854026115	0.0	688.4883061763503
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_5.txt	100	10	20	Optimal	811.1619589328766	AB	358.54088826716446	378.3142842714397	736.8551725386042	0.0	865.8208641105884
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_1.txt	100	10	3	Optimal	177.14313793182373	AB	59.263227697819545	62.397363191969724	121.66059088978926	0.0	129.51268288894
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_2.txt	100	10	5	Optimal	135.91063404083252	AB	73.97554997508107	78.30956317919386	152.28511315427494	0.0	180.64022816860177
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_3.txt	100	10	10	Optimal	171.31260180473328	AB	144.85519767627986	151.09574317793016	295.95094085421	0.0	369.09132415920715
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_4.txt	100	10	15	Optimal	267.54849791526794	AB	237.69703662015456	242.78698158626676	480.4840182064213	0.0	592.5854839696318
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_5.txt	100	10	20	Optimal	645.8280320167542	AB	336.7871888845123	338.99116127634267	675.778350160855	0.0	857.7468142385997
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_1.txt	100	10	3	Optimal	62.81627798080444	AB	49.56736487118052	51.05791615002087	100.6252810212014	0.0	119.0
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_2.txt	100	10	5	Optimal	189.95278096199036	AB	79.93173306120345	81.15475791708839	161.08649097829183	0.0	183.6159028221946
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_3.txt	100	10	10	Optimal	297.503564119339	AB	181.46571127034002	193.76527898595668	375.2309902562967	0.0	448.4133323552463
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_4.txt	100	10	15	Optimal	283.46865487098694	AB	225.66521531770212	227.31751458565685	452.982729903359	0.0	605.49579981626
