Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_1.txt	50	5	3	Optimal	81.70849990844727	AB	104.0	157.0	261.0	1195.0	261.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_2.txt	50	5	5	Optimal	201.08941888809204	AB	179.0	276.0	455.0	1282.0	455.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_3.txt	50	5	10	Optimal	429.8347158432007	AB	421.0	648.0	1069.0	847.0	1069.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_4.txt	50	5	15	Optimal	571.0917341709137	AB	539.0	795.0	1334.0	868.0	1334.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_5.txt	50	5	20	TimeLimit	3600.131283044815	AB	775.0	1272.0	2047.0	332.0	1731.0	0.15437225207620908
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_1.txt	100	10	3	Optimal	3369.6715269088745	AB	72.0	95.0	167.0	2376.0	167.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_2.txt	100	10	5	TimeLimit	3600.0180010795593	AB	120.0	179.0	299.0	87.0	257.0	0.14046822742474915
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_3.txt	100	10	10	TimeLimit	3600.150776863098	AB	287.0	395.0	682.0	55.0	564.0	0.17302052785923755
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_4.txt	100	10	15	TimeLimit	3600.223984003067	AB	465.0	561.0	1026.0	164.0	846.0	0.17543859649122806
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_5.txt	100	10	20	TimeLimit	3600.9313609600067	AB	680.0	928.0	1608.0	1.0	1106.0	0.31218905472636815
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_1.txt	100	10	3	TimeLimit	3600.040312051773	AB	78.0	104.0	182.0	742.0	158.0	0.13186813186813187
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_2.txt	100	10	5	TimeLimit	3600.044084072113	AB	130.0	190.0	320.0	668.0	276.0	0.1375
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_3.txt	100	10	10	TimeLimit	3600.2995522022247	AB	264.0	376.0	640.0	73.0	553.0	0.1359375
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_4.txt	100	10	15	TimeLimit	3600.8048560619354	AB	409.0	630.0	1039.0	407.0	904.0	0.12993262752646775
