Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.06197094917297363	AB	90.0	105.0	195.0	1.0	195.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.18900394439697266	AB	133.0	184.0	317.0	1.0	317.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.32248711585998535	AB	61.0	73.0	134.0	14.0	134.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	0.9634509086608887	AB	104.0	148.0	252.0	20.0	252.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.0724949836730957	AB	59.0	71.0	130.0	1.0	130.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.5185530185699463	AB	117.0	140.0	257.0	1.0	257.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.8169000148773193	AB	83.0	98.0	181.0	1.0	181.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.6559979915618896	AB	190.0	230.0	420.0	1.0	420.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.6994709968566895	AB	50.0	65.0	115.0	1.0	115.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	2.3206279277801514	AB	148.0	187.0	335.0	119.0	335.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.0773918628692627	AB	52.0	74.0	126.0	1.0	126.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.21872496604919434	AB	189.0	213.0	402.0	1.0	402.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.3219480514526367	AB	69.0	89.0	158.0	1.0	158.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	1.99674391746521	AB	152.0	206.0	358.0	54.0	358.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	2.42020583152771	AB	100.0	123.0	223.0	214.0	223.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	2.4469189643859863	AB	226.0	263.0	489.0	54.0	489.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	9.878622055053711	AB	75.0	103.0	178.0	952.0	178.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	2.9467051029205322	AB	150.0	196.0	346.0	71.0	346.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	2.8938019275665283	AB	71.0	83.0	154.0	87.0	154.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	23.35871195793152	AB	160.0	206.0	366.0	846.0	366.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	3.160531997680664	AB	108.0	131.0	239.0	116.0	239.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	7.142138957977295	AB	255.0	293.0	548.0	56.0	548.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	44.57264995574951	AB	79.0	95.0	174.0	2218.0	174.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	24.02014708518982	AB	196.0	231.0	427.0	1983.0	427.0	0.0
