Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_1.txt	200	67	3	Optimal	29.04136896133423	AB	133.36455303425066	138.66308943089433	272.027642465145	0.0	302.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_2.txt	200	67	5	Optimal	102.41585302352905	AB	247.5068177448124	272.0495283725231	519.5563461173356	0.0	671.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_3.txt	200	67	10	Optimal	84.21065306663513	AB	523.2843913058452	567.9737156015503	1091.2581069073956	0.0	1225.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_4.txt	200	67	15	Optimal	149.89826202392578	AB	729.6927178049569	750.1317085407262	1479.8244263456832	0.0	1534.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_5.txt	200	67	20	Optimal	185.4897608757019	AB	877.8441803351886	945.2401778098215	1823.0843581450101	0.0	1981.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_1.txt	300	5	3	Optimal	447.6446077823639	AB	94.76729107738905	95.11962821686247	189.88691929425153	0.0	322.9489660485605
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_2.txt	300	5	5	Optimal	593.8053851127625	AB	176.02821805038303	171.930307985552	347.95852603593505	0.0	561.098786620391
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_3.txt	300	5	10	Optimal	2021.1202919483185	AB	305.30768721886227	306.26164602831227	611.5693332471745	0.0	1078.0274566916028
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_1.txt	300	10	3	Optimal	184.50609397888184	AB	152.36036085923143	149.65760354162404	302.0179644008555	0.0	395.99999999999994
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_2.txt	300	10	5	Optimal	454.98264503479004	AB	181.5360634944674	189.57868770841884	371.1147512028863	0.0	590.4883760618601
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_3.txt	300	10	10	Optimal	1370.7996509075165	AB	357.59087739465645	354.2064034826109	711.7972808772673	0.0	1004.7995403784705
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_4.txt	300	10	15	Optimal	2533.566628932953	AB	495.3385479734994	530.3854092970028	1025.723957270502	0.0	1527.98825071135
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_1.txt	300	30	3	Optimal	55.538557052612305	AB	146.23076923076923	140.5	286.7307692307692	0.0	323.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_2.txt	300	30	5	Optimal	154.8447060585022	AB	230.99672486566868	252.38491163731808	483.3816365029868	0.0	516.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_3.txt	300	30	10	Optimal	421.29965019226074	AB	468.93789534936224	472.9404474330388	941.878342782401	0.0	968.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_4.txt	300	30	15	Optimal	1854.4979710578918	AB	646.6447792218775	660.941890905797	1307.5866701276746	0.0	1452.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_5.txt	300	30	20	Optimal	1963.5786559581757	AB	768.8831847787629	804.5655226891388	1573.4487074679018	0.0	1798.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_1.txt	300	60	3	Optimal	54.95874309539795	AB	181.8638919856311	183.0	364.8638919856311	0.0	370.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_2.txt	300	60	5	Optimal	49.78290390968323	AB	291.4012170385396	301.0062151992859	592.4074322378256	0.0	610.0
