Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_1.txt	200	67	3	Optimal	67.15839409828186	AB	149.0	196.0	345.0	1.0	345.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_2.txt	200	67	5	Optimal	178.89164304733276	AB	321.0	400.0	721.0	1.0	721.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_3.txt	200	67	10	Optimal	563.753436088562	AB	564.0	756.0	1320.0	1.0	1320.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_4.txt	200	67	15	Optimal	1252.4371061325073	AB	725.0	1073.0	1798.0	1.0	1798.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_5.txt	200	67	20	Optimal	1775.24076795578	AB	909.0	1362.0	2271.0	1.0	2271.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_1.txt	300	5	3	TimeLimit	3600.4730730056763	AB	188.0	206.0	394.0	1.0	375.0	0.048223350253807105
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_2.txt	300	5	5	TimeLimit	3605.2836129665375	AB	307.0	360.0	667.0	1.0	641.0	0.038980509745127435
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_3.txt	300	5	10	TimeLimit	3601.2361171245575	AB	618.0	700.0	1318.0	1.0	1244.0	0.05614567526555387
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_4.txt	300	5	15	TimeLimit	3600.967260122299	AB	1023.0	1097.0	2120.0	1.0	1879.0	0.11367924528301887
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_5.txt	300	5	20	TimeLimit	3601.560781955719	AB	1235.0	1417.0	2652.0	1.0	2459.0	0.07277526395173455
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_1.txt	300	10	3	TimeLimit	3600.2756819725037	AB	197.0	220.0	417.0	929.0	412.0	0.011990407673860911
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_2.txt	300	10	5	TimeLimit	3600.8793630599976	AB	332.0	369.0	701.0	3.0	680.0	0.029957203994293864
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_3.txt	300	10	10	TimeLimit	3612.8012568950653	AB	727.0	904.0	1631.0	1.0	1213.0	0.2562844880441447
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_4.txt	300	10	15	TimeLimit	3600.5712831020355	AB	1100.0	1195.0	2295.0	1.0	1354.0	0.41002178649237475
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_5.txt	300	10	20	TimeLimit	3602.927309989929	AB	1608.0	1767.0	3375.0	1.0	2537.0	0.2482962962962963
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_1.txt	300	30	3	Optimal	439.08259081840515	AB	155.0	173.0	328.0	1.0	328.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_2.txt	300	30	5	Optimal	1411.7924551963806	AB	254.0	278.0	532.0	1.0	532.0	0.0
