Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_1.txt	50	5	3	Optimal	1.332406997680664	B	55.5	54.82221214509792	110.32221214509792	0.0	67.0533484595309
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_2.txt	50	5	5	Optimal	2.5007779598236084	B	119.42054635140995	122.91786917989315	242.3384155313031	0.0	142.3154409319119
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_3.txt	50	5	10	Optimal	2.0151078701019287	B	278.9154957811215	288.69215728394414	567.6076530650656	0.0	327.5242535144318
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_4.txt	50	5	15	Optimal	9.071022033691406	B	354.61023437134423	358.78043794321883	713.3906723145631	0.0	447.35667325081425
LP	../../instancesSurcharges/alpha0_1/Beasley/p10_5.txt	50	5	20	Optimal	17.742722034454346	B	365.86066687483213	388.48257910800567	754.3432459828377	0.0	553.1448754644964
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_1.txt	100	10	3	Optimal	20.255083084106445	B	58.80763427893858	59.509090909090915	118.3167251880295	0.0	61.5
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_2.txt	100	10	5	Optimal	56.4367618560791	B	65.96898455529296	67.62268236353331	133.59166691882626	0.0	87.15570273134996
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_3.txt	100	10	10	Optimal	127.84801602363586	B	151.66921794644864	156.0431492860769	307.71236723252554	0.0	194.46998036033497
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_4.txt	100	10	15	Optimal	197.609619140625	B	235.39469678053547	233.04076133102953	468.435458111565	0.0	291.10760103331415
LP	../../instancesSurcharges/alpha0_1/Beasley/p11_5.txt	100	10	20	Optimal	269.17469811439514	B	329.0734622605027	329.63561592277864	658.7090781832813	0.0	385.0819638851558
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_1.txt	100	10	3	Optimal	139.20790696144104	B	39.89832611263996	41.28163047708295	81.1799565897229	0.0	49.5
LP	../../instancesSurcharges/alpha0_1/Beasley/p12_2.txt	100	10	5	Optimal	122.24807214736938	B	75.20565531159143	74.1032319822392	149.30888729383062	0.0	95.75078480209223
