Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.019979000091552734	B	48.20346080113008	48.20346080113008	96.40692160226016	0.0	86.22868529916255
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.0735177993774414	B	61.698452045198636	68.35384910045993	130.05230114565856	0.0	122.4202588247527
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.015421152114868164	B	38.0	41.5	79.5	0.0	53.5
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	0.03505420684814453	B	75.7	83.0	158.7	0.0	91.0
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.009753942489624023	B	44.74403927068724	43.04006203153269	87.78410130221994	0.0	57.5
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.033722877502441406	B	72.79048403241951	86.58441818509456	159.3749022175141	0.0	111.0
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.060047149658203125	B	32.229773875614285	31.452956680975888	63.68273055659017	0.0	56.012349643377476
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.11063098907470703	B	97.37422644292438	94.66173901056939	192.03596545349376	0.0	159.77953457990117
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.0309140682220459	B	38.45876578545679	41.34176031504303	79.80052610049982	0.0	53.5
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	0.09042000770568848	B	86.75304478882687	88.2917738725009	175.04481866132778	0.0	134.0
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.020339012145996094	B	44.882352941176464	50.45443349753695	95.3367864387134	0.0	63.0
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.04711198806762695	B	145.13988269086894	149.61282189092702	294.75270458179597	0.0	198.0
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.046478986740112305	B	64.7	63.741659014386286	128.4416590143863	0.0	66.5
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	0.06034398078918457	B	135.7949716949717	146.54848484848486	282.34345654345657	0.0	161.5
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	0.09505891799926758	B	53.71400375994219	54.5	108.21400375994219	0.0	76.21004942676389
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	0.12512803077697754	B	119.5827339365588	123.73778295416288	243.32051689072168	0.0	192.9746450048337
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	0.11774682998657227	B	45.0	47.069202765168065	92.06920276516806	0.0	56.5018187031844
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	0.0722811222076416	B	90.75086502448686	96.5	187.25086502448687	0.0	130.09470692556692
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	0.08190298080444336	B	57.49999999999997	55.49999999999997	112.99999999999994	0.0	69.5
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	0.2608649730682373	B	119.71038179424488	120.08105425544301	239.7914360496879	0.0	140.0
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	0.2175002098083496	B	59.0	58.01591110771706	117.01591110771706	0.0	91.22045933329846
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	0.5013198852539062	B	123.91244815002673	135.03162219787856	258.94407034790527	0.0	222.33239111803329
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	0.10979604721069336	B	46.34267040149392	50.6428571428571	96.98552754435102	0.0	63.0
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	0.19664502143859863	B	117.13747011648098	118.43878339361721	235.57625351009818	0.0	165.47680442075887
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea40_13_1.txt	40	13	4	Optimal	0.09743690490722656	B	68.2777777777778	79.59742019947336	147.87519797725116	0.0	86.0
LP	../../instancesSurcharges/alpha0_1/Aleatoire/alea40_13_2.txt	40	13	8	Optimal	0.27321505546569824	B	130.30282014878517	141.0710743680341	271.3738945168193	0.0	175.0
