Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.08521604537963867	B	99.0	104.0	203.0	1.0	104.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.45688700675964355	B	133.0	184.0	317.0	1.0	184.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.32013511657714844	B	62.0	72.0	134.0	1.0	72.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	1.4776289463043213	B	124.0	144.0	268.0	193.0	144.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.07294392585754395	B	60.0	71.0	131.0	1.0	71.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.43390989303588867	B	130.0	136.0	266.0	1.0	136.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.36008214950561523	B	83.0	98.0	181.0	1.0	98.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.3972358703613281	B	190.0	230.0	420.0	1.0	230.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.10989999771118164	B	63.0	64.0	127.0	1.0	64.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	4.992278099060059	B	175.0	184.0	359.0	975.0	184.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.08842206001281738	B	55.0	74.0	129.0	1.0	74.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.20116686820983887	B	202.0	211.0	413.0	1.0	211.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.3045330047607422	B	84.0	89.0	173.0	1.0	89.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	2.037482976913452	B	187.0	201.0	388.0	60.0	201.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	2.1551401615142822	B	113.0	118.0	231.0	167.0	118.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	2.368072986602783	B	236.0	259.0	495.0	30.0	259.0	0.0
MIP	../../instancesSurcharges/alpha0_1/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	6.449275016784668	B	88.0	95.0	183.0	504.0	95.0	0.0
