Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap	 As_pmedian	 Bs_pmedian	 As+Bs_pmedian
../instancesSurcharges/alpha0_1/pmed/pmed10_1.txt	200	67	3	Optimal	13.021039009094238	B	179.0	196.0	375.0	1.0	196.0	0.0	80.84	134.6	215.44
../instancesSurcharges/alpha0_1/pmed/pmed10_2.txt	200	67	5	Optimal	24.96831703186035	B	380.0	400.0	780.0	1.0	400.0	0.0	141.09	234.0	375.09
../instancesSurcharges/alpha0_1/pmed/pmed10_3.txt	200	67	10	Optimal	99.87244987487793	B	711.0	756.0	1467.0	1.0	756.0	0.0	292.94	525.19	818.13
../instancesSurcharges/alpha0_1/pmed/pmed10_4.txt	200	67	15	Optimal	206.58543801307678	B	972.0	1073.0	2045.0	1.0	1073.0	0.0	422.29	696.21	1118.5
../instancesSurcharges/alpha0_1/pmed/pmed10_5.txt	200	67	20	Optimal	232.07139492034912	B	1169.0	1362.0	2531.0	1.0	1362.0	0.0	365.78	887.77	1253.55
../instancesSurcharges/alpha0_1/pmed/pmed11_1.txt	300	5	3	TimeLimit	3600.0480320453644	B	197.0	206.0	403.0	883.0	200.0	0.02912621359223301	97.78	144.54	242.32
../instancesSurcharges/alpha0_1/pmed/pmed11_2.txt	300	5	5	TimeLimit	3600.08726978302	B	336.0	352.0	688.0	149.0	337.0	0.04261363636363636	170.76	207.62	378.38
../instancesSurcharges/alpha0_1/pmed/pmed11_3.txt	300	5	10	TimeLimit	3600.1362981796265	B	631.0	700.0	1331.0	1.0	647.0	0.07571428571428572	314.64	454.7	769.34
../instancesSurcharges/alpha0_1/pmed/pmed11_4.txt	300	5	15	TimeLimit	3600.2617189884186	B	1007.0	1095.0	2102.0	1.0	949.0	0.13333333333333333	455.45	653.56	1109.01
../instancesSurcharges/alpha0_1/pmed/pmed11_5.txt	300	5	20	TimeLimit	3600.5339488983154	B	1312.0	1399.0	2711.0	1.0	1241.0	0.11293781272337383	620.83	857.57	1478.4
../instancesSurcharges/alpha0_1/pmed/pmed12_1.txt	300	10	3	Optimal	709.5004658699036	B	207.0	216.0	423.0	1.0	216.0	0.0	114.79	152.99	267.78
../instancesSurcharges/alpha0_1/pmed/pmed12_2.txt	300	10	5	TimeLimit	3600.0887179374695	B	349.0	367.0	716.0	662.0	358.0	0.02452316076294278	163.15	246.48	409.63
../instancesSurcharges/alpha0_1/pmed/pmed12_3.txt	300	10	10	TimeLimit	3600.1661899089813	B	791.0	897.0	1688.0	1.0	661.0	0.2630992196209587	329.79	483.84	813.63
../instancesSurcharges/alpha0_1/pmed/pmed12_4.txt	300	10	15	TimeLimit	3600.241112947464	B	1068.0	1179.0	2247.0	1.0	920.0	0.2196776929601357	495.01	783.89	1278.9
../instancesSurcharges/alpha0_1/pmed/pmed12_5.txt	300	10	20	TimeLimit	3608.260463953018	B	1521.0	1632.0	3153.0	1.0	1278.0	0.21691176470588236	672.15	975.25	1647.4
../instancesSurcharges/alpha0_1/pmed/pmed13_1.txt	300	30	3	Optimal	143.3100619316101	B	172.0	173.0	345.0	1.0	173.0	0.0	87.11	134.38	221.49
../instancesSurcharges/alpha0_1/pmed/pmed13_2.txt	300	30	5	Optimal	285.1180739402771	B	267.0	278.0	545.0	1.0	278.0	0.0	146.41	211.91	358.32
../instancesSurcharges/alpha0_1/pmed/pmed13_3.txt	300	30	10	TimeLimit	3600.2164549827576	B	538.0	554.0	1092.0	146.0	540.0	0.02527075812274368	271.24	436.14	707.38
../instancesSurcharges/alpha0_1/pmed/pmed13_4.txt	300	30	15	TimeLimit	3600.2188789844513	B	1011.0	1078.0	2089.0	1.0	805.0	0.2532467532467532	409.64	697.48	1107.12
../instancesSurcharges/alpha0_1/pmed/pmed13_5.txt	300	30	20	TimeLimit	3600.322723865509	B	990.0	1058.0	2048.0	1.0	1011.0	0.0444234404536862	549.99	827.03	1377.02
../instancesSurcharges/alpha0_1/pmed/pmed14_1.txt	300	60	3	Optimal	62.16773700714111	B	186.0	199.0	385.0	1.0	199.0	0.0	76.19	144.64	220.83
../instancesSurcharges/alpha0_1/pmed/pmed14_2.txt	300	60	5	Optimal	144.43851900100708	B	309.0	328.0	637.0	1.0	328.0	0.0	151.49	258.67	410.16
../instancesSurcharges/alpha0_1/pmed/pmed14_3.txt	300	60	10	Optimal	253.66706109046936	B	643.0	687.0	1330.0	1.0	687.0	0.0	303.57	543.94	847.51
../instancesSurcharges/alpha0_1/pmed/pmed14_4.txt	300	60	15	Optimal	803.2693071365356	B	900.0	1003.0	1903.0	1.0	1003.0	0.0	352.36	730.96	1083.32
../instancesSurcharges/alpha0_1/pmed/pmed14_5.txt	300	60	20	Optimal	1382.2493169307709	B	1187.0	1323.0	2510.0	1.0	1323.0	0.0	488.76	893.95	1382.71
../instancesSurcharges/alpha0_1/pmed/pmed15_1.txt	300	100	3	Optimal	44.742435932159424	B	151.0	158.0	309.0	1.0	158.0	0.0	72.58	113.66	186.24
../instancesSurcharges/alpha0_1/pmed/pmed15_2.txt	300	100	5	Optimal	142.29469799995422	B	241.0	251.0	492.0	1.0	251.0	0.0	124.05	209.34	333.39
../instancesSurcharges/alpha0_1/pmed/pmed15_3.txt	300	100	10	Optimal	182.69457483291626	B	554.0	589.0	1143.0	1.0	589.0	0.0	222.35	422.93	645.28
