Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap	 As_pmedian	 Bs_pmedian	 As+Bs_pmedian
../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.1283268928527832	B	99.0	104.0	203.0	1.0	104.0	0.0	51.18	72.29	123.47
../instancesSurcharges/alpha0_2/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.6204638481140137	B	133.0	184.0	317.0	1.0	184.0	0.0	76.27	148.05	224.32
../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.392254114151001	B	62.0	72.0	134.0	1.0	72.0	0.0	32.95	53.96	86.91
../instancesSurcharges/alpha0_2/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	2.0584030151367188	B	132.0	144.0	276.0	305.0	144.0	0.0	58.2	110.02	168.22
../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.051833152770996094	B	60.0	71.0	131.0	1.0	71.0	0.0	33.24	55.52	88.76
../instancesSurcharges/alpha0_2/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.4754180908203125	B	131.0	136.0	267.0	1.0	136.0	0.0	64.01	108.08	172.09
../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	1.2456839084625244	B	83.0	98.0	181.0	1.0	98.0	0.0	47.47	67.35	114.82
../instancesSurcharges/alpha0_2/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.4967539310455322	B	190.0	230.0	420.0	1.0	230.0	0.0	110.12	169.93	280.05
../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.12683606147766113	B	60.0	64.0	124.0	1.0	64.0	0.0	30.79	52.4	83.19
../instancesSurcharges/alpha0_2/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	4.40064001083374	B	179.0	184.0	363.0	575.0	184.0	0.0	101.56	155.53	257.09
../instancesSurcharges/alpha0_2/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.10429787635803223	B	68.0	74.0	142.0	1.0	74.0	0.0	35.98	60.64	96.62
../instancesSurcharges/alpha0_2/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.1599278450012207	B	202.0	211.0	413.0	1.0	211.0	0.0	95.54	146.52	242.06
../instancesSurcharges/alpha0_2/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.2984168529510498	B	82.0	89.0	171.0	1.0	89.0	0.0	42.53	73.74	116.27
../instancesSurcharges/alpha0_2/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	3.242249011993408	B	176.0	201.0	377.0	51.0	201.0	0.0	95.85	162.54	258.39
../instancesSurcharges/alpha0_2/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	2.8663151264190674	B	111.0	118.0	229.0	241.0	118.0	0.0	58.35	94.19	152.54
../instancesSurcharges/alpha0_2/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	3.86824893951416	B	237.0	259.0	496.0	89.0	259.0	0.0	131.75	198.42	330.17
../instancesSurcharges/alpha0_2/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	16.27366805076599	B	90.0	95.0	185.0	1159.0	95.0	0.0	46.52	78.96	125.48
../instancesSurcharges/alpha0_2/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	3.7425549030303955	B	159.0	189.0	348.0	87.0	189.0	0.0	87.05	150.94	237.99
../instancesSurcharges/alpha0_2/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	4.674757957458496	B	79.0	82.0	161.0	162.0	82.0	0.0	42.94	69.37	112.31
../instancesSurcharges/alpha0_2/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	105.68258690834045	B	182.0	203.0	385.0	3836.0	203.0	0.0	93.01	166.31	259.32
../instancesSurcharges/alpha0_2/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	6.54970908164978	B	113.0	128.0	241.0	577.0	128.0	0.0	68.81	97.49	166.3
../instancesSurcharges/alpha0_2/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	7.71429705619812	B	255.0	293.0	548.0	44.0	293.0	0.0	149.98	209.18	359.16
../instancesSurcharges/alpha0_2/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	30.452642917633057	B	86.0	93.0	179.0	1593.0	93.0	0.0	43.82	75.94	119.76
../instancesSurcharges/alpha0_2/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	56.66820287704468	B	205.0	226.0	431.0	1885.0	226.0	0.0	124.66	189.17	313.83
../instancesSurcharges/alpha0_2/Aleatoire/alea40_13_1.txt	40	13	4	Optimal	2.544363021850586	B	95.0	102.0	197.0	1.0	102.0	0.0	47.18	83.85	131.03
../instancesSurcharges/alpha0_2/Aleatoire/alea40_13_2.txt	40	13	8	Optimal	3.843925952911377	B	204.0	214.0	418.0	1.0	214.0	0.0	114.33	176.86	291.19
../instancesSurcharges/alpha0_2/Aleatoire/alea40_4_1.txt	40	4	4	Optimal	37.12657713890076	B	129.0	144.0	273.0	1384.0	144.0	0.0	79.76	119.11	198.87
../instancesSurcharges/alpha0_2/Aleatoire/alea40_4_2.txt	40	4	8	Optimal	30.787271976470947	B	275.0	308.0	583.0	481.0	308.0	0.0	160.77	245.44	406.21
../instancesSurcharges/alpha0_2/Aleatoire/alea40_8_1.txt	40	8	4	Optimal	12.782739162445068	B	108.0	123.0	231.0	607.0	123.0	0.0	59.85	98.46	158.31
../instancesSurcharges/alpha0_2/Aleatoire/alea40_8_2.txt	40	8	8	Optimal	58.708730936050415	B	240.0	257.0	497.0	1356.0	257.0	0.0	134.28	205.67	339.95
../instancesSurcharges/alpha0_2/Aleatoire/alea45_15_1.txt	45	15	4	Optimal	2.8491151332855225	B	107.0	108.0	215.0	1.0	108.0	0.0	60.96	93.71	154.67
../instancesSurcharges/alpha0_2/Aleatoire/alea45_15_2.txt	45	15	9	Optimal	5.412073135375977	B	213.0	234.0	447.0	1.0	234.0	0.0	109.4	190.68	300.08
../instancesSurcharges/alpha0_2/Aleatoire/alea45_4_1.txt	45	4	4	Optimal	28.581403970718384	B	132.0	140.0	272.0	755.0	140.0	0.0	83.89	113.51	197.4
../instancesSurcharges/alpha0_2/Aleatoire/alea45_4_2.txt	45	4	9	Optimal	84.71792817115784	B	288.0	308.0	596.0	939.0	308.0	0.0	179.8	256.25	436.05
../instancesSurcharges/alpha0_2/Aleatoire/alea45_9_1.txt	45	9	4	Optimal	0.7156391143798828	B	129.0	140.0	269.0	1.0	140.0	0.0	67.48	108.44	175.92
../instancesSurcharges/alpha0_2/Aleatoire/alea45_9_2.txt	45	9	9	Optimal	3.0049259662628174	B	246.0	266.0	512.0	1.0	266.0	0.0	152.65	223.37	376.02
../instancesSurcharges/alpha0_2/Aleatoire/alea50_10_1.txt	50	10	5	Optimal	94.29273796081543	B	127.0	128.0	255.0	2309.0	128.0	0.0	73.13	109.25	182.38
../instancesSurcharges/alpha0_2/Aleatoire/alea50_10_2.txt	50	10	10	Optimal	266.48936796188354	B	261.0	282.0	543.0	3592.0	282.0	0.0	143.77	237.42	381.19
../instancesSurcharges/alpha0_2/Aleatoire/alea50_16_1.txt	50	16	5	Optimal	5.3620641231536865	B	111.0	117.0	228.0	145.0	117.0	0.0	62.13	98.08	160.21
../instancesSurcharges/alpha0_2/Aleatoire/alea50_16_2.txt	50	16	10	Optimal	18.317068099975586	B	239.0	252.0	491.0	41.0	252.0	0.0	140.55	215.47	356.02
../instancesSurcharges/alpha0_2/Aleatoire/alea50_5_1.txt	50	5	5	Optimal	102.84734106063843	B	163.0	174.0	337.0	1866.0	174.0	0.0	97.07	140.38	237.45
../instancesSurcharges/alpha0_2/Aleatoire/alea50_5_2.txt	50	5	10	Optimal	241.03371596336365	B	343.0	362.0	705.0	1833.0	362.0	0.0	214.64	313.08	527.72
