Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_1.txt	50	5	3	Optimal	79.37544798851013	B	126.0	147.0	273.0	1182.0	147.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_2.txt	50	5	5	Optimal	127.6325511932373	B	228.0	244.0	472.0	2069.0	244.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_3.txt	50	5	10	TimeLimit	3600.0119881629944	B	446.0	566.0	1012.0	319701.0	561.0	0.0088339222614841
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_4.txt	50	5	15	Optimal	839.2330660820007	B	757.0	783.0	1540.0	2439.0	783.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_5.txt	50	5	20	TimeLimit	3600.0140850543976	B	983.0	1159.0	2142.0	3331.0	1047.0	0.09663503019844694
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_1.txt	100	10	3	Optimal	612.4470210075378	B	79.0	93.0	172.0	1467.0	93.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_2.txt	100	10	5	TimeLimit	3600.0076038837433	B	153.0	179.0	332.0	877.0	142.0	0.20670391061452514
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_3.txt	100	10	10	TimeLimit	3600.0110700130463	B	336.0	374.0	710.0	706.0	310.0	0.1711229946524064
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_4.txt	100	10	15	TimeLimit	3600.093496799469	B	511.0	590.0	1101.0	622.0	463.0	0.21525423728813559
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_5.txt	100	10	20	TimeLimit	3600.094934940338	B	724.0	791.0	1515.0	246.0	594.0	0.24905183312262957
MIP	../../instancesSurcharges/alpha0_3/Beasley/p12_1.txt	100	10	3	TimeLimit	3600.0085711479187	B	89.0	104.0	193.0	4032.0	89.0	0.14423076923076922
MIP	../../instancesSurcharges/alpha0_3/Beasley/p12_2.txt	100	10	5	TimeLimit	3600.026911020279	B	176.0	179.0	355.0	2091.0	155.0	0.1340782122905028
MIP	../../instancesSurcharges/alpha0_3/Beasley/p12_3.txt	100	10	10	TimeLimit	3600.082937002182	B	314.0	362.0	676.0	1130.0	312.0	0.13812154696132597
MIP	../../instancesSurcharges/alpha0_3/Beasley/p12_4.txt	100	10	15	TimeLimit	3600.028939962387	B	544.0	620.0	1164.0	532.0	503.0	0.18870967741935485
MIP	../../instancesSurcharges/alpha0_3/Beasley/p12_5.txt	100	10	20	TimeLimit	3601.0959298610687	B	765.0	870.0	1635.0	607.0	675.0	0.22413793103448276
MIP	../../instancesSurcharges/alpha0_3/Beasley/p13_1.txt	100	10	3	Optimal	537.0453360080719	B	88.0	97.0	185.0	1455.0	97.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p13_2.txt	100	10	5	TimeLimit	3600.008871078491	B	163.0	172.0	335.0	2113.0	156.0	0.09302325581395349
MIP	../../instancesSurcharges/alpha0_3/Beasley/p13_3.txt	100	10	10	TimeLimit	3600.0128078460693	B	377.0	410.0	787.0	1466.0	353.0	0.13902439024390245
