Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
../../instancesSurcharges/alpha0_3/GalvaoData/G1_1.txt	B	INFEASIBLE
../../instancesSurcharges/alpha0_3/GalvaoData/G1_2.txt	B	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G1_3.txt	100	5	10	Optimal	231.38236093521118	B	805.1331257788705	753.8212068334718	1558.9543326123423	0.0	898.9620293074207
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G1_4.txt	100	5	15	Optimal	600.3765089511871	B	1359.1783618586908	1353.5096467978678	2712.688008656559	0.0	1424.959704681509
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G1_5.txt	100	5	20	Optimal	278.81119108200073	B	1284.5953892406342	1352.210542086352	2636.805931326986	0.0	1818.7490284335631
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_1.txt	100	5	3	Optimal	54.45302700996399	B	220.17784674229114	232.9318810235263	453.1097277658174	0.0	245.10532919234782
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_2.txt	100	5	5	Optimal	80.09720301628113	B	246.31811051388394	241.4243262573086	487.7424367711925	0.0	385.87579828748926
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_3.txt	100	5	10	Optimal	279.1668839454651	B	493.4593341836871	526.2303101625894	1019.6896443462765	0.0	838.8388200833954
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_4.txt	100	5	15	Optimal	485.85388708114624	B	819.6330395785998	834.1035394023361	1653.736578980936	0.0	1305.8145979018873
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G2_5.txt	100	5	20	Optimal	675.7793748378754	B	1402.9330893139572	1402.5592008270894	2805.4922901410464	0.0	1756.5618312069287
../../instancesSurcharges/alpha0_3/GalvaoData/G3_1.txt	B	INFEASIBLE
../../instancesSurcharges/alpha0_3/GalvaoData/G3_2.txt	B	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G3_3.txt	100	10	10	Optimal	297.7202639579773	B	829.3799750395168	841.6012235388747	1670.9811985783915	0.0	847.6956236459212
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G3_4.txt	100	10	15	Optimal	601.2597630023956	B	1362.391657423034	1377.6380388035902	2740.0296962266243	0.0	1381.613831245242
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G3_5.txt	100	10	20	Optimal	712.6941418647766	B	1711.3150515738866	1716.5129839073309	3427.8280354812177	0.0	1750.6138869676995
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_1.txt	100	10	3	Optimal	59.123230934143066	B	215.5644685697158	220.363060435168	435.9275290048838	0.0	220.363060435168
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_2.txt	100	10	5	Optimal	97.40977597236633	B	343.2745386075106	344.99636646141573	688.2709050689264	0.0	347.9847357181724
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_3.txt	100	10	10	Optimal	216.50274085998535	B	710.5363517475192	696.3043964866282	1406.8407482341474	0.0	743.5533333254158
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_4.txt	100	10	15	Optimal	514.9335541725159	B	1203.6385243182988	1189.5984264821377	2393.2369508004367	0.0	1224.7963014618529
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G4_5.txt	100	10	20	Optimal	290.3387429714203	B	1400.9588716502856	1360.7796401027258	2761.738511753011	0.0	1600.7674489814287
../../instancesSurcharges/alpha0_3/GalvaoData/G5_1.txt	B	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G5_2.txt	150	10	5	Optimal	374.90958309173584	B	524.7113569991583	529.7406613472068	1054.452018346365	0.0	529.8480664515757
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G5_3.txt	150	10	10	Optimal	1126.0450220108032	B	930.2642924721641	943.8321909890266	1874.0964834611907	0.0	947.2010364852541
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_1.txt	150	10	3	Optimal	260.8257670402527	B	297.65960085261696	298.00165388647406	595.661254739091	0.0	298.00165388647406
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_2.txt	150	10	5	Optimal	481.9984369277954	B	452.70599263430415	452.7153082943198	905.421300928624	0.0	457.9507553039846
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G6_3.txt	150	10	10	Optimal	601.4702270030975	B	795.9566066517357	783.3970016003085	1579.353608252044	0.0	903.9118588393424
../../instancesSurcharges/alpha0_3/GalvaoData/G7_1.txt	B	INFEASIBLE
../../instancesSurcharges/alpha0_3/GalvaoData/G7_2.txt	B	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G7_3.txt	150	15	10	Optimal	1125.5916149616241	B	903.6453638521743	914.4982449165188	1818.1436087686932	0.0	914.4982449165188
../../instancesSurcharges/alpha0_3/GalvaoData/G8_1.txt	B	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G8_2.txt	150	15	5	Optimal	357.5809500217438	B	414.0782437273637	422.19203457663025	836.270278303994	0.0	422.19203457663025
LP	../../instancesSurcharges/alpha0_3/GalvaoData/G8_3.txt	150	15	10	Optimal	811.463152885437	B	871.796298745237	876.9589737305647	1748.7552724758016	0.0	876.9589737305646
