Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
../../instancesSurcharges/alpha0_3/Lorena/SJC1_1.dat	B	INFEASIBLE
../../instancesSurcharges/alpha0_3/Lorena/SJC1_2.dat	B	INFEASIBLE
../../instancesSurcharges/alpha0_3/Lorena/SJC1_3.dat	B	INFEASIBLE
../../instancesSurcharges/alpha0_3/Lorena/SJC1_4.dat	B	INFEASIBLE
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC1_5.dat	100	10	20	Optimal	942.9600520133972	B	10197.998259875156	10201.80347424805	20399.801734123204	0.0	10575.360234100677
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC2_1.dat	200	15	3	Optimal	997.6307470798492	B	760.9050366175888	800.4071137542335	1561.3121503718223	0.0	862.1872254869672
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC2_2.dat	200	15	5	Optimal	2765.814765930176	B	2089.8419034802555	2090.582567678195	4180.424471158451	0.0	2100.5969780506075
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC2_4.dat	200	15	15	Optimal	3539.347827911377	B	3974.16842281557	3864.589226928921	7838.757649744492	0.0	4794.030044975678
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC3a_1.dat	300	25	3	Optimal	2521.5495138168335	B	630.7504988462221	634.5625860093844	1265.3130848556066	0.0	710.0040721753941
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC3a_2.dat	300	25	5	Optimal	2750.0473561286926	B	1103.2289584189232	1103.5054646305625	2206.7344230494855	0.0	1253.8831282518279
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC3b_1.dat	300	30	3	Optimal	414.37572407722473	B	595.7359833200003	560.7134330922632	1156.4494164122634	0.0	682.5
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC3b_2.dat	300	30	5	Optimal	1075.4822340011597	B	1028.4381608509725	1052.5706294099891	2081.0087902609616	0.0	1180.5
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC4a_1.dat	402	30	3	Optimal	1500.1612179279327	B	716.8347825415794	714.2593367673206	1431.0941193089002	0.0	758.5
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC4b_1.dat	402	40	3	Optimal	519.8003299236298	B	717.222588200239	714.9661287160986	1432.1887169163376	0.0	758.5
LP	../../instancesSurcharges/alpha0_3/Lorena/SJC4b_2.dat	402	40	5	Optimal	1214.5279519557953	B	1087.4301850032634	1041.5799731169263	2129.0101581201898	0.0	1229.0
