Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap	 As_pmedian	 Bs_pmedian	 As+Bs_pmedian
../instancesSurcharges/alpha0_3/Beasley/p10_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p10_2.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p10_3.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p10_4.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p10_5.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p11_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p11_2.txt	100	10	5	Optimal	1574.188826084137	B	185.0	206.0	391.0	6582.0	206.0	0.0	90.22	156.49	246.71
../instancesSurcharges/alpha0_3/Beasley/p11_3.txt	100	10	10	Optimal	887.9379880428314	B	379.0	409.0	788.0	716.0	409.0	0.0	199.93	317.03	516.96
../instancesSurcharges/alpha0_3/Beasley/p11_4.txt	100	10	15	TimeLimit	3600.029990196228	B	668.0	695.0	1363.0	10106.0	676.0	0.027338129496402876	296.85	489.03	785.88
../instancesSurcharges/alpha0_3/Beasley/p12_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p12_2.txt	100	10	5	Optimal	1652.8110780715942	B	183.0	204.0	387.0	2783.0	204.0	0.0	79.74	145.13	224.87
../instancesSurcharges/alpha0_3/Beasley/p12_5.txt	100	10	20	TimeLimit	3600.0227329730988	B	763.0	894.0	1657.0	554.0	731.0	0.18232662192393737	369.65	565.9	935.55
../instancesSurcharges/alpha0_3/Beasley/p13_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p13_2.txt	100	10	5	Optimal	2499.2498989105225	B	193.0	206.0	399.0	2775.0	206.0	0.0	80.06	142.59	222.65
../instancesSurcharges/alpha0_3/Beasley/p13_3.txt	100	10	10	TimeLimit	3600.0216541290283	B	378.0	430.0	808.0	5967.0	409.0	0.04883720930232558	173.35	311.36	484.71
../instancesSurcharges/alpha0_3/Beasley/p13_4.txt	100	10	15	TimeLimit	3600.0166161060333	B	625.0	782.0	1407.0	1834.0	505.0	0.35421994884910485	288.46	518.96	807.42
../instancesSurcharges/alpha0_3/Beasley/p14_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p14_2.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p14_3.txt	100	10	10	Optimal	1165.44890999794	B	445.0	502.0	947.0	3897.0	502.0	0.0	190.35	349.07	539.42
../instancesSurcharges/alpha0_3/Beasley/p14_4.txt	100	10	15	Optimal	1279.878046989441	B	548.0	668.0	1216.0	771.0	668.0	0.0	260.19	472.76	732.95
../instancesSurcharges/alpha0_3/Beasley/p14_5.txt	100	10	20	Optimal	3442.313556909561	B	1091.0	1327.0	2418.0	1151.0	1327.0	0.0	359.68	770.06	1129.74
../instancesSurcharges/alpha0_3/Beasley/p15_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p15_2.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p15_3.txt	100	10	10	TimeLimit	3600.029149055481	B	382.0	441.0	823.0	7874.0	407.0	0.07709750566893424	168.38	323.15	491.53
../instancesSurcharges/alpha0_3/Beasley/p15_4.txt	100	10	15	TimeLimit	3600.0223400592804	B	573.0	648.0	1221.0	723.0	522.0	0.19444444444444445	237.25	482.54	719.79
../instancesSurcharges/alpha0_3/Beasley/p16_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p16_2.txt	100	10	5	Optimal	1154.021597146988	B	190.0	218.0	408.0	9231.0	218.0	0.0	80.23	159.02	239.25
../instancesSurcharges/alpha0_3/Beasley/p16_3.txt	100	10	10	TimeLimit	3600.0182859897614	B	322.0	386.0	708.0	2701.0	361.0	0.06476683937823834	160.53	286.3	446.83
../instancesSurcharges/alpha0_3/Beasley/p16_4.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p17_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p17_2.txt	100	10	5	Optimal	602.8156759738922	B	216.0	249.0	465.0	13220.0	249.0	0.0	97.1	180.25	277.35
../instancesSurcharges/alpha0_3/Beasley/p17_3.txt	100	10	10	TimeLimit	3600.0344541072845	B	408.0	450.0	858.0	5929.0	446.0	0.008888888888888889	193.11	321.95	515.06
../instancesSurcharges/alpha0_3/Beasley/p17_4.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p18_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p18_2.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p18_3.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p18_4.txt	100	10	15	TimeLimit	3600.4860968589783	B	563.0	618.0	1181.0	662.0	525.0	0.15048543689320387	263.61	449.24	712.85
../instancesSurcharges/alpha0_3/Beasley/p18_5.txt	100	10	20	TimeLimit	3600.052845954895	B	800.0	876.0	1676.0	660.0	700.0	0.2009132420091324	351.88	618.53	970.41
../instancesSurcharges/alpha0_3/Beasley/p19_1.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p19_2.txt	B	INFEASIBLE
../instancesSurcharges/alpha0_3/Beasley/p19_3.txt	100	10	10	Optimal	2973.6526958942413	B	407.0	442.0	849.0	3133.0	442.0	0.0	194.5	318.5	513.0
