Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_1.txt	200	67	3	Optimal	36.83752083778381	B	177.0	196.0	373.0	1.0	196.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_2.txt	200	67	5	Optimal	59.429768085479736	B	369.0	400.0	769.0	1.0	400.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_3.txt	200	67	10	Optimal	170.46146297454834	B	684.0	756.0	1440.0	1.0	756.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_4.txt	200	67	15	Optimal	327.99845695495605	B	950.0	1073.0	2023.0	1.0	1073.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_5.txt	200	67	20	Optimal	530.800891160965	B	1218.0	1362.0	2580.0	1.0	1362.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_1.txt	300	5	3	TimeLimit	3600.0608389377594	B	191.0	204.0	395.0	322.0	199.0	0.024509803921568627
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_2.txt	300	5	5	TimeLimit	3600.094274044037	B	333.0	351.0	684.0	65.0	336.0	0.042735042735042736
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_3.txt	300	5	10	TimeLimit	3600.178815126419	B	630.0	700.0	1330.0	1.0	645.0	0.07857142857142857
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_4.txt	300	5	15	TimeLimit	3600.3674640655518	B	986.0	1065.0	2051.0	1.0	944.0	0.1136150234741784
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_5.txt	300	5	20	TimeLimit	3600.4574189186096	B	1246.0	1399.0	2645.0	1.0	1236.0	0.11651179413867048
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_1.txt	300	10	3	Optimal	829.6414730548859	B	205.0	216.0	421.0	21.0	216.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_2.txt	300	10	5	TimeLimit	3600.088531970978	B	355.0	367.0	722.0	195.0	356.0	0.02997275204359673
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_3.txt	300	10	10	TimeLimit	3600.185511827469	B	791.0	897.0	1688.0	1.0	659.0	0.2653288740245262
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_4.txt	300	10	15	TimeLimit	3600.361499071121	B	1056.0	1171.0	2227.0	1.0	910.0	0.2228864218616567
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_5.txt	300	10	20	TimeLimit	3600.3496990203857	B	1521.0	1632.0	3153.0	1.0	1262.0	0.2267156862745098
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_1.txt	300	30	3	Optimal	225.69012093544006	B	167.0	173.0	340.0	1.0	173.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_2.txt	300	30	5	Optimal	526.5403938293457	B	269.0	278.0	547.0	1.0	278.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_3.txt	300	30	10	TimeLimit	3600.4819910526276	B	521.0	555.0	1076.0	1.0	539.0	0.02882882882882883
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_4.txt	300	30	15	TimeLimit	3600.2446250915527	B	1009.0	1141.0	2150.0	1.0	791.0	0.3067484662576687
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_5.txt	300	30	20	TimeLimit	3600.377254009247	B	1188.0	1407.0	2595.0	1.0	990.0	0.29637526652452023
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_1.txt	300	60	3	Optimal	56.53776788711548	B	189.0	199.0	388.0	1.0	199.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_2.txt	300	60	5	Optimal	148.48522210121155	B	314.0	328.0	642.0	1.0	328.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_3.txt	300	60	10	Optimal	373.66388487815857	B	616.0	687.0	1303.0	1.0	687.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_4.txt	300	60	15	Optimal	632.854719877243	B	903.0	1003.0	1906.0	1.0	1003.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_5.txt	300	60	20	Optimal	944.6862609386444	B	1191.0	1323.0	2514.0	1.0	1323.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_1.txt	300	100	3	Optimal	61.20950698852539	B	150.0	158.0	308.0	1.0	158.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_2.txt	300	100	5	Optimal	123.23606300354004	B	243.0	251.0	494.0	1.0	251.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_3.txt	300	100	10	Optimal	487.3020248413086	B	558.0	589.0	1147.0	1.0	589.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_4.txt	300	100	15	Optimal	464.49800205230713	B	673.0	719.0	1392.0	1.0	719.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_5.txt	300	100	20	Optimal	1457.3588869571686	B	1053.0	1108.0	2161.0	1.0	1108.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_1.txt	400	5	3	TimeLimit	3600.1104221343994	B	158.0	165.0	323.0	136.0	159.0	0.03636363636363636
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_2.txt	400	5	5	TimeLimit	3600.3859190940857	B	248.0	269.0	517.0	1.0	254.0	0.055762081784386616
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_3.txt	400	5	10	TimeLimit	3601.8458819389343	B	516.0	549.0	1065.0	1.0	489.0	0.1092896174863388
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_4.txt	400	5	15	TimeLimit	3600.4101400375366	B	804.0	860.0	1664.0	1.0	752.0	0.12558139534883722
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed16_5.txt	400	5	20	TimeLimit	3600.595298051834	B	999.0	1091.0	2090.0	1.0	971.0	0.10999083409715857
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed17_1.txt	400	10	3	TimeLimit	3600.2450230121613	B	149.0	152.0	301.0	55.0	132.0	0.13157894736842105
