Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_1.txt	50	5	3	Optimal	1.2321457862854004	B	54.212691204013055	55.20766715934806	109.42035836336112	0.0	65.62544176818432
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_2.txt	50	5	5	Optimal	1.6485159397125244	B	120.13064026011129	126.49285267102655	246.62349293113783	0.0	137.73814904180196
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_3.txt	50	5	10	Optimal	4.450195074081421	B	284.1838884527977	302.70378943603254	586.8876778888302	0.0	346.75428339402856
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_4.txt	50	5	15	Optimal	10.17139196395874	B	331.7165025040967	331.60203248557616	663.3185349896728	0.0	435.14733431862226
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_5.txt	50	5	20	Optimal	23.437726974487305	B	383.2971633699789	386.8799577074736	770.1771210774525	0.0	555.0334183020146
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_1.txt	100	10	3	Optimal	13.668730020523071	B	54.4270003050064	56.25955818823168	110.68655849323808	0.0	61.5
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_2.txt	100	10	5	Optimal	96.2325541973114	B	66.89749570599682	66.45726394317276	133.35475964916958	0.0	86.99197687537202
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_3.txt	100	10	10	Optimal	262.6766140460968	B	155.04637019623695	158.51758391436664	313.5639541106036	0.0	196.37649536267455
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_4.txt	100	10	15	Optimal	365.5145561695099	B	228.21830939695602	238.3121095735502	466.5304189705062	0.0	287.9796538703556
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_5.txt	100	10	20	Optimal	448.70197796821594	B	325.02846545834916	334.3201038683483	659.3485693266975	0.0	385.00143876498305
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_1.txt	100	10	3	Optimal	100.70674395561218	B	37.9156320171213	40.54902142105918	78.46465343818048	0.0	49.5
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_2.txt	100	10	5	Optimal	57.999119997024536	B	76.8975624791249	78.08328212549728	154.98084460462218	0.0	95.48578605084185
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_3.txt	100	10	10	Optimal	263.98845195770264	B	147.19402486974448	148.78765886589326	295.9816837356377	0.0	187.63704579468452
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_4.txt	100	10	15	Optimal	695.58340716362	B	279.0587584091047	284.3696498170407	563.4284082261454	0.0	344.24415308817487
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_5.txt	100	10	20	Optimal	587.6975440979004	B	367.30324742927405	368.27826049152026	735.5815079207944	0.0	432.9104320552936
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_1.txt	100	10	3	Optimal	237.20978498458862	B	56.73600002866192	58.90379650702157	115.63979653568349	0.0	64.75634144447002
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_2.txt	100	10	5	Optimal	236.57267093658447	B	73.13544061492378	76.57631939343553	149.7117600083593	0.0	90.32011408430087
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_3.txt	100	10	10	Optimal	334.04637002944946	B	143.7406359185311	151.82213276076448	295.5627686792956	0.0	184.54566207960352
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_4.txt	100	10	15	Optimal	429.13291096687317	B	241.97423277277338	237.56755763881006	479.5417904115834	0.0	296.2927419848159
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_5.txt	100	10	20	Optimal	904.3290560245514	B	319.8117562199295	339.7754527915099	659.5872090114394	0.0	428.8734071194454
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_1.txt	100	10	3	Optimal	58.89608383178711	B	49.43183587873942	53.49689757337256	102.92873345211197	0.0	59.5
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_2.txt	100	10	5	Optimal	322.3569509983063	B	80.70204070119397	79.25722232659885	159.95926302779282	0.0	91.8079514110973
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_3.txt	100	10	10	Optimal	341.0407328605652	B	184.65700985031833	181.83043050467342	366.48744035499175	0.0	224.20666617762285
LP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_4.txt	100	10	15	Optimal	226.76455998420715	B	230.01041348974047	237.2383912989539	467.2488047886944	0.0	302.74789990813014
