Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_1.txt	50	5	3	Optimal	220.9284257888794	B	126.0	147.0	273.0	1952.0	147.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_2.txt	50	5	5	Optimal	258.53630900382996	B	213.0	244.0	457.0	1355.0	244.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_3.txt	50	5	10	Optimal	1594.799740076065	B	523.0	608.0	1131.0	20737.0	608.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_4.txt	50	5	15	Optimal	2542.8273379802704	B	757.0	783.0	1540.0	1470.0	783.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p10_5.txt	50	5	20	TimeLimit	3600.203593015671	B	981.0	1195.0	2176.0	713.0	930.0	0.2217573221757322
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_1.txt	100	10	3	Optimal	3557.5525879859924	B	83.0	93.0	176.0	1422.0	93.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_2.txt	100	10	5	TimeLimit	3600.0174639225006	B	164.0	179.0	343.0	64.0	139.0	0.22346368715083798
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p11_3.txt	100	10	10	TimeLimit	3600.15745306015	B	349.0	406.0	755.0	209.0	306.0	0.24630541871921183
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_1.txt	100	10	3	TimeLimit	3600.029906988144	B	91.0	108.0	199.0	508.0	85.0	0.21296296296296297
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_2.txt	100	10	5	TimeLimit	3600.05131316185	B	178.0	184.0	362.0	473.0	147.0	0.20108695652173914
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p12_3.txt	100	10	10	TimeLimit	3600.244614839554	B	355.0	434.0	789.0	131.0	294.0	0.3225806451612903
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_1.txt	100	10	3	TimeLimit	3600.076695919037	B	86.0	98.0	184.0	1348.0	94.0	0.04081632653061224
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_2.txt	100	10	5	TimeLimit	3600.0324931144714	B	170.0	181.0	351.0	399.0	147.0	0.1878453038674033
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_3.txt	100	10	10	TimeLimit	3600.3623139858246	B	388.0	437.0	825.0	131.0	342.0	0.21739130434782608
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p13_4.txt	100	10	15	TimeLimit	3600.0883860588074	B	503.0	634.0	1137.0	88.0	455.0	0.2823343848580442
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_1.txt	100	10	3	TimeLimit	3600.0092577934265	B	89.0	96.0	185.0	1789.0	89.0	0.07291666666666667
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_2.txt	100	10	5	TimeLimit	3600.0529310703278	B	154.0	180.0	334.0	784.0	148.0	0.17777777777777778
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_3.txt	100	10	10	TimeLimit	3600.10418510437	B	351.0	384.0	735.0	623.0	336.0	0.125
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_4.txt	100	10	15	TimeLimit	3600.0353150367737	B	586.0	656.0	1242.0	249.0	469.0	0.2850609756097561
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p14_5.txt	100	10	20	TimeLimit	3600.0549421310425	B	690.0	813.0	1503.0	254.0	629.0	0.22632226322263221
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_1.txt	100	10	3	TimeLimit	3600.05539393425	B	95.0	104.0	199.0	1254.0	85.0	0.18269230769230768
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_2.txt	100	10	5	TimeLimit	3600.011986017227	B	164.0	170.0	334.0	912.0	156.0	0.08235294117647059
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_3.txt	100	10	10	TimeLimit	3600.0183770656586	B	346.0	396.0	742.0	591.0	295.0	0.255050505050505
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_4.txt	100	10	15	TimeLimit	3601.391727924347	B	595.0	687.0	1282.0	1339.0	470.0	0.3158660844250364
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p15_5.txt	100	10	20	TimeLimit	3600.034691810608	B	686.0	856.0	1542.0	1553.0	648.0	0.24299065420560748
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_1.txt	100	10	3	Optimal	2373.9173550605774	B	94.0	108.0	202.0	3876.0	108.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_2.txt	100	10	5	TimeLimit	3600.019180059433	B	172.0	178.0	350.0	828.0	143.0	0.19662921348314608
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_3.txt	100	10	10	TimeLimit	3600.0368559360504	B	322.0	360.0	682.0	1034.0	332.0	0.07777777777777778
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_4.txt	100	10	15	TimeLimit	3600.09157204628	B	667.0	768.0	1435.0	133.0	472.0	0.3854166666666667
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p16_5.txt	100	10	20	TimeLimit	3600.02911400795	B	886.0	1072.0	1958.0	1891.0	618.0	0.42350746268656714
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_1.txt	100	10	3	TimeLimit	3600.013787984848	B	97.0	108.0	205.0	2688.0	91.0	0.1574074074074074
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_2.txt	100	10	5	TimeLimit	3600.013205051422	B	163.0	184.0	347.0	179.0	136.0	0.2608695652173913
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_3.txt	100	10	10	TimeLimit	3600.529128074646	B	386.0	445.0	831.0	157.0	323.0	0.27415730337078653
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_4.txt	100	10	15	TimeLimit	3600.2238080501556	B	544.0	674.0	1218.0	287.0	556.0	0.17507418397626112
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p17_5.txt	100	10	20	TimeLimit	3600.1420810222626	B	829.0	1081.0	1910.0	53.0	594.0	0.45050878815911194
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_1.txt	100	10	3	TimeLimit	3600.0143671035767	B	81.0	95.0	176.0	4394.0	91.0	0.042105263157894736
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_2.txt	100	10	5	TimeLimit	3600.011931180954	B	166.0	184.0	350.0	1438.0	160.0	0.13043478260869565
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_3.txt	100	10	10	TimeLimit	3600.0219938755035	B	325.0	360.0	685.0	638.0	293.0	0.18611111111111112
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_4.txt	100	10	15	TimeLimit	3600.099816799164	B	529.0	620.0	1149.0	1438.0	479.0	0.22741935483870968
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p18_5.txt	100	10	20	TimeLimit	3600.0289170742035	B	748.0	865.0	1613.0	519.0	610.0	0.2947976878612717
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p19_1.txt	100	10	3	TimeLimit	3600.010291814804	B	101.0	101.0	202.0	1966.0	85.0	0.15841584158415842
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p19_2.txt	100	10	5	TimeLimit	3600.012493133545	B	157.0	169.0	326.0	1187.0	146.0	0.13609467455621302
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p19_3.txt	100	10	10	TimeLimit	3600.273885011673	B	330.0	371.0	701.0	461.0	306.0	0.1752021563342318
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p19_4.txt	100	10	15	TimeLimit	5888.898241996765	B	724.0	764.0	1488.0	809.0	470.0	0.38481675392670156
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_1.txt	50	5	3	Optimal	158.9843602180481	B	143.0	155.0	298.0	1931.0	155.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_2.txt	50	5	5	Optimal	336.2744891643524	B	238.0	285.0	523.0	2502.0	285.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_3.txt	50	5	10	Optimal	306.85032892227173	B	522.0	592.0	1114.0	1483.0	592.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_4.txt	50	5	15	TimeLimit	3678.8705990314484	B	687.0	793.0	1480.0	533.0	703.0	0.11349306431273644
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p1_5.txt	50	5	20	Optimal	2504.583703994751	B	954.0	1024.0	1978.0	1896.0	1024.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_1.txt	100	10	3	TimeLimit	3600.0510261058807	B	95.0	107.0	202.0	1122.0	83.0	0.22429906542056074
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_2.txt	100	10	5	TimeLimit	3613.8550560474396	B	156.0	175.0	331.0	711.0	139.0	0.2057142857142857
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_3.txt	100	10	10	TimeLimit	12521.801682949066	B	327.0	370.0	697.0	438.0	286.0	0.22702702702702704
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p20_5.txt	100	10	20	TimeLimit	5207.280606985092	B	993.0	1320.0	2313.0	17.0	588.0	0.5545454545454546
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_1.txt	50	5	3	Optimal	36.42844915390015	B	129.0	152.0	281.0	893.0	152.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_2.txt	50	5	5	Optimal	341.35578989982605	B	231.0	266.0	497.0	2697.0	266.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_3.txt	50	5	10	Optimal	170.88258504867554	B	462.0	561.0	1023.0	1194.0	561.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_4.txt	50	5	15	Optimal	1111.6427829265594	B	719.0	801.0	1520.0	2659.0	801.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p2_5.txt	50	5	20	TimeLimit	11921.800714969635	B	798.0	1052.0	1850.0	301.0	865.0	0.17775665399239543
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_1.txt	50	5	3	Optimal	94.65775489807129	B	138.0	152.0	290.0	1417.0	152.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_2.txt	50	5	5	Optimal	168.46573114395142	B	260.0	278.0	538.0	1074.0	278.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_3.txt	50	5	10	Optimal	682.8104300498962	B	502.0	583.0	1085.0	22504.0	583.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p3_5.txt	50	5	20	TimeLimit	56455.37371683121	B	781.0	1118.0	1899.0	1334.0	969.0	0.13327370304114491
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_1.txt	50	5	3	Optimal	120.20891380310059	B	142.0	162.0	304.0	1801.0	162.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Beasley/p4_2.txt	50	5	5	Optimal	196.05827593803406	B	208.0	262.0	470.0	842.0	262.0	0.0
