Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap	 As_pmedian	 Bs_pmedian	 As+Bs_pmedian
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.08329892158508301	B	99.0	104.0	203.0	1.0	104.0	0.0	51.18	72.29	123.47
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.5570518970489502	B	133.0	184.0	317.0	1.0	184.0	0.0	76.27	148.05	224.32
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.3439290523529053	B	62.0	72.0	134.0	1.0	72.0	0.0	32.95	53.96	86.91
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	1.6359269618988037	B	132.0	144.0	276.0	284.0	144.0	0.0	59.83	112.98	172.81
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.05225682258605957	B	60.0	71.0	131.0	1.0	71.0	0.0	33.24	55.52	88.76
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.43352413177490234	B	131.0	136.0	267.0	1.0	136.0	0.0	65.86	108.77	174.63
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.42242002487182617	B	83.0	98.0	181.0	1.0	98.0	0.0	47.47	67.35	114.82
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.4422128200531006	B	190.0	230.0	420.0	1.0	230.0	0.0	110.12	169.93	280.05
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.15084195137023926	B	63.0	64.0	127.0	1.0	64.0	0.0	30.45	50.64	81.09
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	4.156268835067749	B	179.0	184.0	363.0	575.0	184.0	0.0	101.56	155.53	257.09
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.10709214210510254	B	68.0	74.0	142.0	1.0	74.0	0.0	35.98	60.64	96.62
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.16838717460632324	B	202.0	211.0	413.0	1.0	211.0	0.0	95.54	146.52	242.06
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.2903110980987549	B	78.0	89.0	167.0	1.0	89.0	0.0	39.7	73.96	113.66
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	2.9666810035705566	B	176.0	201.0	377.0	51.0	201.0	0.0	95.85	162.54	258.39
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	3.361485004425049	B	113.0	118.0	231.0	40.0	118.0	0.0	64.35	95.99	160.34
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	3.486098051071167	B	237.0	259.0	496.0	89.0	259.0	0.0	131.75	198.42	330.17
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	15.635967016220093	B	90.0	95.0	185.0	1159.0	95.0	0.0	46.52	78.96	125.48
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	3.628735065460205	B	159.0	189.0	348.0	87.0	189.0	0.0	87.05	150.94	237.99
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	3.6307671070098877	B	77.0	82.0	159.0	129.0	82.0	0.0	39.2	68.0	107.2
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	103.59659099578857	B	182.0	203.0	385.0	3836.0	203.0	0.0	93.01	166.31	259.32
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	7.407588958740234	B	117.0	128.0	245.0	639.0	128.0	0.0	70.82	97.01	167.83
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	7.348217010498047	B	255.0	293.0	548.0	44.0	293.0	0.0	149.98	209.18	359.16
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	22.24928307533264	B	85.0	93.0	178.0	1349.0	93.0	0.0	49.49	79.42	128.91
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	55.732110023498535	B	205.0	226.0	431.0	1885.0	226.0	0.0	124.66	189.17	313.83
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_13_1.txt	40	13	4	Optimal	2.5611579418182373	B	95.0	102.0	197.0	1.0	102.0	0.0	47.18	83.85	131.03
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_13_2.txt	40	13	8	Optimal	3.8260679244995117	B	204.0	214.0	418.0	1.0	214.0	0.0	114.33	176.86	291.19
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_4_1.txt	40	4	4	Optimal	36.53851580619812	B	129.0	144.0	273.0	1384.0	144.0	0.0	79.76	119.11	198.87
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_4_2.txt	40	4	8	Optimal	30.263648986816406	B	275.0	308.0	583.0	481.0	308.0	0.0	160.77	245.44	406.21
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_8_1.txt	40	8	4	Optimal	12.621351957321167	B	108.0	123.0	231.0	607.0	123.0	0.0	59.85	98.46	158.31
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_8_2.txt	40	8	8	Optimal	57.548856019973755	B	242.0	257.0	499.0	1241.0	257.0	0.0	144.03	209.74	353.77
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_15_1.txt	45	15	4	Optimal	2.450010061264038	B	107.0	108.0	215.0	1.0	108.0	0.0	60.96	93.71	154.67
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_15_2.txt	45	15	9	Optimal	5.480365037918091	B	213.0	234.0	447.0	1.0	234.0	0.0	109.4	190.68	300.08
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_4_1.txt	45	4	4	Optimal	26.723769903182983	B	132.0	140.0	272.0	755.0	140.0	0.0	83.89	113.51	197.4
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_4_2.txt	45	4	9	Optimal	82.10073208808899	B	285.0	308.0	593.0	942.0	308.0	0.0	179.49	256.22	435.71
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_9_1.txt	45	9	4	Optimal	0.72788405418396	B	129.0	140.0	269.0	1.0	140.0	0.0	67.48	108.44	175.92
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea45_9_2.txt	45	9	9	Optimal	2.8274919986724854	B	246.0	266.0	512.0	1.0	266.0	0.0	152.65	223.37	376.02
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_10_1.txt	50	10	5	Optimal	89.67721605300903	B	127.0	128.0	255.0	2309.0	128.0	0.0	73.13	109.25	182.38
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_10_2.txt	50	10	10	Optimal	266.56796407699585	B	261.0	282.0	543.0	3592.0	282.0	0.0	143.77	237.42	381.19
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_16_1.txt	50	16	5	Optimal	5.168456792831421	B	111.0	117.0	228.0	145.0	117.0	0.0	62.13	98.08	160.21
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_16_2.txt	50	16	10	Optimal	18.315287113189697	B	239.0	252.0	491.0	41.0	252.0	0.0	140.55	215.47	356.02
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_5_1.txt	50	5	5	Optimal	103.31736493110657	B	163.0	174.0	337.0	1866.0	174.0	0.0	97.07	140.38	237.45
../instancesSurcharges/alpha_aleatoire/Aleatoire/alea50_5_2.txt	50	5	10	Optimal	238.81423997879028	B	343.0	362.0	705.0	1833.0	362.0	0.0	214.64	313.08	527.72
