Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.039758920669555664	B	48.97169811320755	48.97169811320755	97.9433962264151	0.0	86.14150943396227
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.060810089111328125	B	62.36135499358431	71.08128862771704	133.44264362130136	0.0	122.39142227524393
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.010521888732910156	B	38.0	41.5	79.5	0.0	53.5
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	0.030907154083251953	B	75.7	83.0	158.7	0.0	91.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.01761007308959961	B	44.74403927068724	43.04006203153269	87.78410130221994	0.0	57.5
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.026582956314086914	B	80.49415204678363	80.0	160.49415204678363	0.0	111.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.04497098922729492	B	32.229773875614285	31.452956680975888	63.68273055659017	0.0	56.012349643377476
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.08064913749694824	B	87.20895464947262	95.3652213942941	182.57417604376673	0.0	159.78802573188747
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.03213310241699219	B	38.45876578545679	41.34176031504303	79.80052610049982	0.0	53.5
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	0.12459492683410645	B	86.51265520094529	88.33882627225142	174.8514814731967	0.0	134.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.021708011627197266	B	44.882352941176464	50.45443349753695	95.3367864387134	0.0	63.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.04391598701477051	B	138.0158233336506	133.3619020184057	271.37772535205625	0.0	198.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.09371089935302734	B	59.0	61.3235294117647	120.3235294117647	0.0	66.5
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	0.06834292411804199	B	142.4771352065656	144.54878048780486	287.0259156943705	0.0	161.5
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_3_1.txt	30	3	3	Optimal	0.07846617698669434	B	56.1286411701178	57.116851028223714	113.24549219834151	0.0	76.21004942676389
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_3_2.txt	30	3	6	Optimal	0.22962689399719238	B	112.86340527052016	111.8790690732669	224.74247434378708	0.0	192.97464500483375
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_6_1.txt	30	6	3	Optimal	0.08806300163269043	B	47.5	46.667664925942105	94.1676649259421	0.0	56.50181870318439
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_6_2.txt	30	6	6	Optimal	0.08741402626037598	B	91.73207205639956	102.36151747825073	194.09358953465028	0.0	130.09470692556695
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_11_1.txt	35	11	3	Optimal	0.09931206703186035	B	49.00811965811964	50.02937851541935	99.03749817353899	0.0	69.5
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_11_2.txt	35	11	7	Optimal	0.2350931167602539	B	112.48505093283997	112.4562998246274	224.94135075746738	0.0	140.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_3_1.txt	35	3	3	Optimal	0.09478592872619629	B	55.0	64.5	119.5	0.0	91.22045933329846
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_3_2.txt	35	3	7	Optimal	0.39914798736572266	B	122.30446416411876	141.851943641863	264.15640780598176	0.0	222.33239111803329
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_7_1.txt	35	7	3	Optimal	0.11840200424194336	B	49.498248761341415	50.17908698068969	99.6773357420311	0.0	63.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea35_7_2.txt	35	7	7	Optimal	0.19776678085327148	B	114.0005555516364	119.97209448616913	233.97265003780552	0.0	165.47680442075884
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_13_1.txt	40	13	4	Optimal	0.0799398422241211	B	68.27777777777777	75.93218954248368	144.20996732026146	0.0	86.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_13_2.txt	40	13	8	Optimal	0.20899105072021484	B	128.55128205128204	139.46871794871794	268.02	0.0	175.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_4_1.txt	40	4	4	Optimal	0.17533302307128906	B	57.82902475678764	63.43959871206058	121.26862346884822	0.0	96.73575800514993
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_4_2.txt	40	4	8	Optimal	0.4604220390319824	B	122.23949750208284	114.86500532564003	237.10450282772285	0.0	216.45189771575306
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_8_1.txt	40	8	4	Optimal	0.1508960723876953	B	74.0103238866397	74.59090909090908	148.60123297754876	0.0	90.0
LP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea40_8_2.txt	40	8	8	Optimal	0.21969103813171387	B	148.01322991078737	160.3036737789231	308.31690368971044	0.0	200.13996226474674
