Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_1.txt	20	2	2	Optimal	0.08153486251831055	B	99.0	104.0	203.0	1.0	104.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_2_2.txt	20	2	4	Optimal	0.4661989212036133	B	133.0	184.0	317.0	1.0	184.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_1.txt	20	4	2	Optimal	0.33675098419189453	B	62.0	72.0	134.0	1.0	72.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_4_2.txt	20	4	4	Optimal	1.5962049961090088	B	124.0	144.0	268.0	281.0	144.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_1.txt	20	6	2	Optimal	0.0467839241027832	B	60.0	71.0	131.0	1.0	71.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea20_6_2.txt	20	6	4	Optimal	0.5174229145050049	B	131.0	136.0	267.0	1.0	136.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_1.txt	25	2	2	Optimal	0.45854997634887695	B	83.0	98.0	181.0	1.0	98.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_2_2.txt	25	2	5	Optimal	0.39946818351745605	B	190.0	230.0	420.0	1.0	230.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_1.txt	25	5	2	Optimal	0.13205289840698242	B	63.0	64.0	127.0	1.0	64.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_5_2.txt	25	5	5	Optimal	3.6325058937072754	B	179.0	184.0	363.0	745.0	184.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_1.txt	25	8	2	Optimal	0.09505105018615723	B	68.0	74.0	142.0	1.0	74.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea25_8_2.txt	25	8	5	Optimal	0.18984699249267578	B	202.0	211.0	413.0	1.0	211.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_1.txt	30	10	3	Optimal	0.25612807273864746	B	83.0	89.0	172.0	1.0	89.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/Aleatoire/alea30_10_2.txt	30	10	6	Optimal	1.9626739025115967	B	187.0	201.0	388.0	60.0	201.0	0.0
