Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_1.txt	200	67	3	Optimal	49.514204025268555	B	113.45462256182594	139.53117583961404	252.98579840143998	0.0	151.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_2.txt	200	67	5	Optimal	102.24636483192444	B	302.64843083919266	297.9123567632891	600.5607876024817	0.0	335.5
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_3.txt	200	67	10	Optimal	145.14222884178162	B	496.60875813362804	551.5140478937806	1048.1228060274086	0.0	612.5
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_4.txt	200	67	15	Optimal	146.0544400215149	B	732.4078291029446	733.8441270860076	1466.2519561889521	0.0	767.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_5.txt	200	67	20	Optimal	304.2306320667267	B	845.7850129846505	900.0966950974183	1745.8817080820688	0.0	990.5
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_1.txt	300	5	3	Optimal	546.30735206604	B	96.11514500008508	96.0	192.11514500008508	0.0	161.47448302428026
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_2.txt	300	5	5	Optimal	390.52585101127625	B	165.45981523628046	168.5	333.95981523628046	0.0	280.5493933101955
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_3.txt	300	5	10	Optimal	1505.0322308540344	B	318.7829898161527	315.5178078028286	634.3007976189813	0.0	539.0137283458015
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_1.txt	300	10	3	Optimal	418.86014318466187	B	167.52226469006786	161.24894634534135	328.77121103540924	0.0	198.00000000000003
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_2.txt	300	10	5	Optimal	469.85038590431213	B	181.69394569665275	187.9046078548906	369.5985535515433	0.0	295.24418803093005
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_3.txt	300	10	10	Optimal	1050.8459000587463	B	344.63316570936405	377.4069679441602	722.0401336535242	0.0	502.39977018923526
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_4.txt	300	10	15	Optimal	2567.8634810447693	B	480.9894972255346	524.0752009974115	1005.064698222946	0.0	763.9941253556758
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_5.txt	300	10	20	Optimal	3024.2439799308777	B	711.308161565831	714.4502485571741	1425.758410123005	0.0	1130.6630972215235
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_1.txt	300	30	3	Optimal	95.6470730304718	B	144.4	156.44950226244345	300.8495022624435	0.0	161.5
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_2.txt	300	30	5	Optimal	158.30695414543152	B	241.09924901851429	243.51817366871637	484.61742268723066	0.0	258.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_3.txt	300	30	10	Optimal	526.4416670799255	B	443.95160230827867	468.72578362028577	912.6773859285645	0.0	484.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_4.txt	300	30	15	Optimal	1284.442708015442	B	653.711818486962	649.3429824457339	1303.0548009326958	0.0	726.0
LP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_5.txt	300	30	20	Optimal	1412.9404029846191	B	710.5285237072136	713.3231984010949	1423.8517221083084	0.0	899.0
