Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_1.txt	200	67	3	Optimal	84.87039303779602	B	177.0	196.0	373.0	1.0	196.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_2.txt	200	67	5	Optimal	181.3894898891449	B	369.0	400.0	769.0	1.0	400.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_3.txt	200	67	10	Optimal	570.0610160827637	B	684.0	756.0	1440.0	1.0	756.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_4.txt	200	67	15	Optimal	1080.3084659576416	B	950.0	1073.0	2023.0	1.0	1073.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed10_5.txt	200	67	20	Optimal	1591.0583789348602	B	1218.0	1362.0	2580.0	1.0	1362.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_1.txt	300	5	3	TimeLimit	3600.3078849315643	B	192.0	206.0	398.0	2.0	195.0	0.05339805825242718
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_2.txt	300	5	5	TimeLimit	3600.33514380455	B	324.0	353.0	677.0	1.0	327.0	0.07365439093484419
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_3.txt	300	5	10	TimeLimit	3600.6382958889008	B	628.0	705.0	1333.0	1.0	617.0	0.12482269503546099
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_4.txt	300	5	15	TimeLimit	3600.9981667995453	B	929.0	1113.0	2042.0	1.0	929.0	0.16531895777178796
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed11_5.txt	300	5	20	TimeLimit	3601.6660809516907	B	1250.0	1407.0	2657.0	1.0	1218.0	0.13432835820895522
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_1.txt	300	10	3	Optimal	2151.150113105774	B	205.0	216.0	421.0	21.0	216.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_2.txt	300	10	5	TimeLimit	3600.1681699752808	B	341.0	376.0	717.0	1.0	352.0	0.06382978723404255
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_3.txt	300	10	10	TimeLimit	3611.9119081497192	B	791.0	897.0	1688.0	1.0	600.0	0.3311036789297659
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_4.txt	300	10	15	TimeLimit	3600.9526720046997	B	1100.0	1195.0	2295.0	1.0	887.0	0.25774058577405856
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed12_5.txt	300	10	20	TimeLimit	4265.782065153122	B	1521.0	1632.0	3153.0	1.0	1255.0	0.23100490196078433
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_1.txt	300	30	3	Optimal	498.45065999031067	B	167.0	173.0	340.0	1.0	173.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_2.txt	300	30	5	Optimal	2004.776004076004	B	269.0	278.0	547.0	1.0	278.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_3.txt	300	30	10	TimeLimit	3600.63973903656	B	537.0	566.0	1103.0	1.0	525.0	0.07243816254416961
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_4.txt	300	30	15	TimeLimit	3600.915740966797	B	1009.0	1141.0	2150.0	1.0	760.0	0.3339176161262051
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed13_5.txt	300	30	20	TimeLimit	3602.3914120197296	B	1188.0	1407.0	2595.0	1.0	948.0	0.326226012793177
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_1.txt	300	60	3	Optimal	193.49083805084229	B	189.0	199.0	388.0	1.0	199.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_2.txt	300	60	5	Optimal	487.33424401283264	B	314.0	328.0	642.0	1.0	328.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_3.txt	300	60	10	Optimal	1163.7894818782806	B	616.0	687.0	1303.0	1.0	687.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_4.txt	300	60	15	Optimal	2246.612095117569	B	903.0	1003.0	1906.0	1.0	1003.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed14_5.txt	300	60	20	Optimal	3026.8680889606476	B	1191.0	1323.0	2514.0	1.0	1323.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed15_1.txt	300	100	3	Optimal	225.2912790775299	B	150.0	158.0	308.0	1.0	158.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed15_2.txt	300	100	5	Optimal	382.97959995269775	B	243.0	251.0	494.0	1.0	251.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed15_3.txt	300	100	10	Optimal	929.382003068924	B	558.0	589.0	1147.0	1.0	589.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed15_4.txt	300	100	15	Optimal	1185.011183977127	B	673.0	719.0	1392.0	1.0	719.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed15_5.txt	300	100	20	Optimal	3340.4721789360046	B	1053.0	1108.0	2161.0	1.0	1108.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed16_1.txt	400	5	3	TimeLimit	3600.3883900642395	B	158.0	165.0	323.0	1.0	158.0	0.04242424242424243
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed16_2.txt	400	5	5	TimeLimit	3600.24827504158	B	248.0	269.0	517.0	1.0	251.0	0.06691449814126393
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed16_3.txt	400	5	10	TimeLimit	3600.91295003891	B	535.0	623.0	1158.0	1.0	486.0	0.21990369181380418
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed16_4.txt	400	5	15	TimeLimit	3601.023638010025	B	942.0	974.0	1916.0	1.0	752.0	0.22792607802874743
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed16_5.txt	400	5	20	TimeLimit	3601.614979982376	B	1288.0	1457.0	2745.0	1.0	971.0	0.3335621139327385
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed17_1.txt	400	10	3	TimeLimit	3600.2149620056152	B	150.0	154.0	304.0	1.0	132.0	0.14285714285714285
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed17_2.txt	400	10	5	TimeLimit	3600.308526992798	B	244.0	252.0	496.0	1.0	214.0	0.15079365079365079
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed17_3.txt	400	10	10	TimeLimit	3600.469929933548	B	471.0	508.0	979.0	1.0	432.0	0.14960629921259844
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed17_4.txt	400	10	15	TimeLimit	3600.6721539497375	B	697.0	752.0	1449.0	1.0	624.0	0.1702127659574468
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed17_5.txt	400	10	20	TimeLimit	3600.701637983322	B	944.0	1012.0	1956.0	1.0	848.0	0.16205533596837945
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed18_1.txt	400	40	3	Optimal	203.03193593025208	B	165.0	168.0	333.0	1.0	168.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed18_2.txt	400	40	5	Optimal	466.41069984436035	B	266.0	276.0	542.0	1.0	276.0	0.0
MIP	../../instancesSurcharges/alpha_aleatoire/pmed/pmed18_3.txt	400	40	10	TimeLimit	3600.7116379737854	B	516.0	531.0	1047.0	1.0	523.0	0.015065913370998116
